"dataset","source","task_type","condition","seed","solver","randomized_seed","rsvd_oversample","rsvd_power","ncomp","fastpls_cv_metric","reference_cv_metric"
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,2,0.765339753640439,0.765339753640439
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,5,0.0568121371781772,0.0568121372116103
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,7,0.0583480365810359,0.0583480366107491
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,10,0.0600866135913022,0.0600866136111327
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,2,0.765339753640439,0.765339753640439
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,5,0.0568121371781772,0.0568121372116103
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,7,0.0583480365810359,0.0583480366107491
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,10,0.0600866135913022,0.0600866136111327
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",7,20,2,2,0.765339753640439,0.765339753640439
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",7,20,2,5,0.0568121371781772,0.0568121372116103
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",7,20,2,7,0.0583480365810359,0.0583480366107491
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",7,20,2,10,0.0600866135913022,0.0600866136111327
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",19,20,2,2,0.765339753640439,0.765339753640439
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",19,20,2,5,0.0568121371781772,0.0568121372116103
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",19,20,2,7,0.0583480365810359,0.0583480366107491
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",19,20,2,10,0.0600866135913022,0.0600866136111327
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,2,0.765339753640439,0.765339753640439
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,5,0.0568121371781772,0.0568121372116103
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,7,0.0583480365810359,0.0583480366107491
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,10,0.0600866135913022,0.0600866136111327
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,2,0.765339753640439,0.765339753640439
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,5,0.0568121371781772,0.0568121372116103
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,7,0.0583480365810359,0.0583480366107491
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,10,0.0600866135913022,0.0600866136111327
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,2,0.828316189213199,0.828316189213199
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,5,0.0576114922189805,0.0576114922138739
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,7,0.0581566727444678,0.0581566727498217
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,10,0.0589682850927184,0.0589682851496207
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,2,0.828316189213199,0.828316189213199
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,5,0.0576114922081722,0.0576114922138739
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,7,0.0581566727326357,0.0581566727498217
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,10,0.0589682851152601,0.0589682851496207
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",7,20,2,2,0.828316189213199,0.828316189213199
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",7,20,2,5,0.0576114922081722,0.0576114922138739
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",7,20,2,7,0.0581566727326357,0.0581566727498217
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",7,20,2,10,0.0589682851152601,0.0589682851496207
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",19,20,2,2,0.828316189213199,0.828316189213199
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",19,20,2,5,0.0576114922081722,0.0576114922138739
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",19,20,2,7,0.0581566727326357,0.0581566727498217
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",19,20,2,10,0.0589682851152601,0.0589682851496207
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,2,0.828316189213199,0.828316189213199
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,5,0.0576114922081722,0.0576114922138739
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,7,0.0581566727326357,0.0581566727498217
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,10,0.0589682851152601,0.0589682851496207
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,2,0.828316189213199,0.828316189213199
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,5,0.0576114922081722,0.0576114922138739
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,7,0.0581566727326357,0.0581566727498217
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,10,0.0589682851152601,0.0589682851496207
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,2,3.9769826684555,3.97698266648595
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,5,3.46229143525215,3.46229137868783
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,7,3.17369112444132,3.17369111147357
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,10,2.63790996514039,2.63790990675857
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,2,3.97698266648595,3.97698266648595
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,5,3.46229137868783,3.46229137868783
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,7,3.17369111147357,3.17369111147357
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,10,2.63790990675857,2.63790990675857
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",7,20,2,2,3.97698266648595,3.97698266648595
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",7,20,2,5,3.46229137868783,3.46229137868783
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",7,20,2,7,3.17369111147357,3.17369111147357
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",7,20,2,10,2.63790990675857,2.63790990675857
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",19,20,2,2,3.97698266648595,3.97698266648595
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",19,20,2,5,3.46229137868783,3.46229137868783
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",19,20,2,7,3.17369111147357,3.17369111147357
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",19,20,2,10,2.63790990675857,2.63790990675857
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,2,3.97698266648595,3.97698266648595
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,5,3.46229137868783,3.46229137868783
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,7,3.17369111147357,3.17369111147357
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,10,2.63790990675857,2.63790990675857
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,2,3.97698266648595,3.97698266648595
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,5,3.46229137868783,3.46229137868783
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,7,3.17369111147357,3.17369111147357
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,10,2.63790990675857,2.63790990675857
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"irlba",NA,NA,NA,2,1.68793873578783,1.68793873578783
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"irlba",NA,NA,NA,5,1.77708707437807,1.77708707437798
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"irlba",NA,NA,NA,7,1.99154212887253,1.99154212887173
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"irlba",NA,NA,NA,10,2.28150087640303,2.28150087639954
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",1,20,2,2,1.68793873578783,1.68793873578783
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",1,20,2,5,1.77708707437834,1.77708707437798
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",1,20,2,7,1.99154212887281,1.99154212887173
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",1,20,2,10,2.28150087640299,2.28150087639954
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",7,20,2,2,1.68793873578783,1.68793873578783
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",7,20,2,5,1.77708707437834,1.77708707437798
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",7,20,2,7,1.99154212887281,1.99154212887173
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",7,20,2,10,2.28150087640299,2.28150087639954
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",19,20,2,2,1.68793873578783,1.68793873578783
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",19,20,2,5,1.77708707437834,1.77708707437798
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",19,20,2,7,1.99154212887281,1.99154212887173
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",19,20,2,10,2.28150087640299,2.28150087639954
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",43,20,2,2,1.68793873578783,1.68793873578783
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",43,20,2,5,1.77708707437834,1.77708707437798
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",43,20,2,7,1.99154212887281,1.99154212887173
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",43,20,2,10,2.28150087640299,2.28150087639954
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",123,20,2,2,1.68793873578783,1.68793873578783
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",123,20,2,5,1.77708707437834,1.77708707437798
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",123,20,2,7,1.99154212887281,1.99154212887173
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",123,20,2,10,2.28150087640299,2.28150087639954
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"irlba",NA,NA,NA,2,1.46594248089805,1.46594248089805
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"irlba",NA,NA,NA,5,0.0531065331082277,0.0531065331082276
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"irlba",NA,NA,NA,7,0.0547758948911185,0.0547758949644583
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"irlba",NA,NA,NA,10,0.0569241266658629,0.0569241267614063
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",1,20,2,2,1.46594248089805,1.46594248089805
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",1,20,2,5,0.0531065331082275,0.0531065331082276
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",1,20,2,7,0.0547758949595769,0.0547758949644583
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",1,20,2,10,0.0569241267400226,0.0569241267614063
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",7,20,2,2,1.46594248089805,1.46594248089805
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",7,20,2,5,0.0531065331082275,0.0531065331082276
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",7,20,2,7,0.0547758949595769,0.0547758949644583
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",7,20,2,10,0.0569241267400226,0.0569241267614063
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",19,20,2,2,1.46594248089805,1.46594248089805
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",19,20,2,5,0.0531065331082275,0.0531065331082276
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",19,20,2,7,0.0547758949595769,0.0547758949644583
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",19,20,2,10,0.0569241267400226,0.0569241267614063
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",43,20,2,2,1.46594248089805,1.46594248089805
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",43,20,2,5,0.0531065331082275,0.0531065331082276
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",43,20,2,7,0.0547758949595769,0.0547758949644583
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",43,20,2,10,0.0569241267400226,0.0569241267614063
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",123,20,2,2,1.46594248089805,1.46594248089805
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",123,20,2,5,0.0531065331082275,0.0531065331082276
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",123,20,2,7,0.0547758949595769,0.0547758949644583
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",123,20,2,10,0.0569241267400226,0.0569241267614063
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"irlba",NA,NA,NA,1,0.516573971078977,0.516573971078977
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"irlba",NA,NA,NA,2,0.736766777901372,0.736766777901372
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"irlba",NA,NA,NA,3,0.803500185391175,0.803500185391175
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",1,20,2,1,0.516573971078977,0.516573971078977
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",1,20,2,2,0.736766777901372,0.736766777901372
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",1,20,2,3,0.803500185391175,0.803500185391175
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",7,20,2,1,0.516573971078977,0.516573971078977
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",7,20,2,2,0.736766777901372,0.736766777901372
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",7,20,2,3,0.803500185391175,0.803500185391175
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",19,20,2,1,0.516573971078977,0.516573971078977
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",19,20,2,2,0.736766777901372,0.736766777901372
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",19,20,2,3,0.803500185391175,0.803500185391175
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",43,20,2,1,0.516573971078977,0.516573971078977
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",43,20,2,2,0.736766777901372,0.736766777901372
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",43,20,2,3,0.803500185391175,0.803500185391175
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",123,20,2,1,0.516573971078977,0.516573971078977
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",123,20,2,2,0.736766777901372,0.736766777901372
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,"rsvd",123,20,2,3,0.803500185391175,0.803500185391175
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,"irlba",NA,NA,NA,1,0.201872851891001,0.201872851891001
