"dataset","source","task_type","condition","seed","solver","randomized_seed","rsvd_oversample","rsvd_power","folds","fastpls_selected_ncomp","reference_selected_ncomp","selected_component_agreement","maximum_cv_curve_absolute_difference","fastpls_selected_metric","reference_selected_metric","status","error_message"
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,5,5,5,TRUE,3.343311044679e-11,0.0568121371781772,0.0568121372116103,"ok",""
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,5,5,5,TRUE,3.343311044679e-11,0.0568121371781772,0.0568121372116103,"ok",""
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",7,20,2,5,5,5,TRUE,3.343311044679e-11,0.0568121371781772,0.0568121372116103,"ok",""
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",19,20,2,5,5,5,TRUE,3.343311044679e-11,0.0568121371781772,0.0568121372116103,"ok",""
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,5,5,5,TRUE,3.343311044679e-11,0.0568121371781772,0.0568121372116103,"ok",""
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,5,5,5,TRUE,3.343311044679e-11,0.0568121371781772,0.0568121372116103,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,5,5,5,TRUE,5.6902274558901e-11,0.0576114922189805,0.0576114922138739,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,5,5,5,TRUE,3.43605491281984e-11,0.0576114922081722,0.0576114922138739,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",7,20,2,5,5,5,TRUE,3.43605491281984e-11,0.0576114922081722,0.0576114922138739,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",19,20,2,5,5,5,TRUE,3.43605491281984e-11,0.0576114922081722,0.0576114922138739,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,5,5,5,TRUE,3.43605491281984e-11,0.0576114922081722,0.0576114922138739,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,5,5,5,TRUE,3.43605491281984e-11,0.0576114922081722,0.0576114922138739,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,5,10,10,TRUE,5.83818220434296e-08,2.63790996514039,2.63790990675857,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",1,20,2,5,10,10,TRUE,4.44089209850063e-16,2.63790990675857,2.63790990675857,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",7,20,2,5,10,10,TRUE,0,2.63790990675857,2.63790990675857,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",19,20,2,5,10,10,TRUE,4.44089209850063e-16,2.63790990675857,2.63790990675857,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",43,20,2,5,10,10,TRUE,8.88178419700125e-16,2.63790990675857,2.63790990675857,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"rsvd",123,20,2,5,10,10,TRUE,4.44089209850063e-16,2.63790990675857,2.63790990675857,"ok",""
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"irlba",NA,NA,NA,5,2,2,TRUE,3.48787665416239e-12,1.68793873578783,1.68793873578783,"ok",""
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",1,20,2,5,2,2,TRUE,3.45146133895469e-12,1.68793873578783,1.68793873578783,"ok",""
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",7,20,2,5,2,2,TRUE,3.45146133895469e-12,1.68793873578783,1.68793873578783,"ok",""
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",19,20,2,5,2,2,TRUE,3.45146133895469e-12,1.68793873578783,1.68793873578783,"ok",""
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",43,20,2,5,2,2,TRUE,3.45146133895469e-12,1.68793873578783,1.68793873578783,"ok",""
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,"rsvd",123,20,2,5,2,2,TRUE,3.45146133895469e-12,1.68793873578783,1.68793873578783,"ok",""
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"irlba",NA,NA,NA,5,5,5,TRUE,9.55433857030563e-11,0.0531065331082277,0.0531065331082276,"ok",""
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",1,20,2,5,5,5,TRUE,2.13836864881856e-11,0.0531065331082275,0.0531065331082276,"ok",""
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",7,20,2,5,5,5,TRUE,2.13836864881856e-11,0.0531065331082275,0.0531065331082276,"ok",""
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",19,20,2,5,5,5,TRUE,2.13836864881856e-11,0.0531065331082275,0.0531065331082276,"ok",""
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,"rsvd",43,20,2,5,5,5,TRUE,2.13836864881856e-11,0.0531065331082275,0.0531065331082276,"ok",""
