"dataset","source","task_type","condition","seed","solver","randomized_seed","rsvd_oversample","rsvd_power","n_train","n_test","p","q","response_rank","ncomp","coefficient_identifiable","fastpls_elapsed_sec","reference_elapsed_sec","prediction_correlation","prediction_relative_error","prediction_max_absolute_error","coefficient_relative_error","score_subspace_max_angle_degrees","projection_subspace_max_angle_degrees","loading_subspace_max_angle_degrees","fastpls_metric","reference_metric","metric_absolute_difference","classification_label_agreement","deterministic_tolerance_pass","approximation_tolerance_pass","status","error_message"
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,240,80,40,5,5,2,TRUE,0.0129999999999999,0.00200000000000022,1,4.31578557322663e-16,3.10862446895044e-15,4.43047168274028e-16,0,0,1.4787793334711e-06,0.766577597209548,0.766577597209548,2.22044604925031e-16,NA,TRUE,NA,"ok",""
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,240,80,40,5,5,5,TRUE,0.0129999999999999,0.00200000000000022,1,2.71456722216617e-10,2.11904360725157e-09,2.56712057019649e-08,0,8.53773646251594e-07,1.4787793334711e-06,0.0583897789395138,0.0583897789710647,3.15508938419917e-11,NA,TRUE,NA,"ok",""
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,240,80,40,5,5,7,TRUE,0.0129999999999999,0.00200000000000022,1,3.09326916199856e-10,2.45277820276613e-09,2.44918175499423e-08,0,1.20741826972573e-06,1.70754729250319e-06,0.0600770340522322,0.0600770341052494,5.30171739843155e-11,NA,TRUE,NA,"ok",""
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,240,80,40,5,5,10,TRUE,0.0129999999999999,0.00200000000000022,0.999999999999999,7.61476535931061e-10,6.51724074707261e-09,5.83833739627981e-08,1.70754729250319e-06,1.4787793334711e-06,1.70754729250319e-06,0.0622969320845714,0.0622969321243132,3.97417793118748e-11,NA,TRUE,NA,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,80,40,300,6,6,2,FALSE,0.00600000000000023,0.000999999999999446,1,5.38939700656609e-16,3.10862446895044e-15,4.81365711408357e-16,0,3.1945284701302e-06,1.70754729250319e-06,0.960274288380754,0.960274288380754,2.22044604925031e-16,NA,TRUE,NA,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,80,40,300,6,6,5,FALSE,0.00600000000000023,0.000999999999999446,1,9.7346293168601e-11,8.15382872332293e-10,1.43366349477003e-08,0,2.9575586669422e-06,1.70754729250319e-06,0.0547282607185099,0.054728260728975,1.04651010079948e-11,NA,TRUE,NA,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,80,40,300,6,6,7,FALSE,0.00600000000000023,0.000999999999999446,0.999999999999999,1.91635301279784e-10,1.57063384520484e-09,1.88212192350714e-08,0,2.41483653945147e-06,1.70754729250319e-06,0.0547387976536849,0.0547387976379691,1.57158105973387e-11,NA,TRUE,NA,"ok",""
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,80,40,300,6,6,10,FALSE,0.00600000000000023,0.000999999999999446,1,7.44412566391565e-10,6.84743084455874e-09,6.64416147773165e-08,0,3.07832465919998e-06,1.70754729250319e-06,0.0575423312218753,0.0575423310661674,1.55707932658622e-10,NA,TRUE,NA,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,180,60,90,40,40,2,TRUE,0.016,0.00399999999999956,0.999999999999999,6.69461590736831e-09,7.60922018727683e-08,6.70538215801894e-09,0,1.70754729250319e-06,1.20741826972573e-06,3.74861314219805,3.7486131425833,3.85250498169398e-10,NA,TRUE,NA,"ok",""
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,"irlba",NA,NA,NA,180,60,90,40,40,5,TRUE,0.016,0.00399999999999956,0.999999999999908,4.40534817443497e-07,6.02845532871044e-06,4.86737071456646e-07,4.74670506357139e-05,5.30714928415112e-05,4.43140599444127e-05,3.2254127581806,3.22541278634905,2.81684595648812e-08,NA,TRUE,NA,"ok",""
