"dataset","source","task_type","condition","seed","n_train","n_test","p","q","x_rank","response_rank","coefficient_identifiable","ncomp_grid"
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",101,240,80,40,5,40,5,TRUE,"2;5;7;10"
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",101,80,40,300,6,80,6,FALSE,"2;5;7;10"
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",101,180,60,90,40,90,40,TRUE,"2;5;7;10"
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",101,180,60,80,8,80,8,TRUE,"2;5;7;10"
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",101,150,50,100,8,90,8,FALSE,"2;5;7;10"
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",101,300,100,40,4,40,3,TRUE,"1;2;3"
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",101,120,60,300,12,119,11,FALSE,"1;3;6;8;10"
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,180,60,120,6,120,5,TRUE,"1;2;3;4;5"
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",202,240,80,40,5,40,5,TRUE,"2;5;7;10"
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",202,80,40,300,6,79,6,FALSE,"2;5;7;10"
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",202,180,60,90,40,90,40,TRUE,"2;5;7;10"
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",202,180,60,80,8,80,8,TRUE,"2;5;7;10"
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",202,150,50,100,8,90,8,FALSE,"2;5;7;10"
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",202,300,100,40,4,40,3,TRUE,"1;2;3"
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",202,120,60,300,12,119,11,FALSE,"1;3;6;8;10"
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",202,180,60,120,6,120,5,TRUE,"1;2;3;4;5"
"syn_reg_p_lt_n_low_q","synthetic","regression","well_conditioned",303,240,80,40,5,40,5,TRUE,"2;5;7;10"
"syn_reg_p_gt_n","synthetic","regression","well_conditioned",303,80,40,300,6,79,6,FALSE,"2;5;7;10"
"syn_reg_high_rank_y","synthetic","regression","well_conditioned",303,180,60,90,40,90,40,TRUE,"2;5;7;10"
"syn_reg_ill_conditioned","synthetic","regression","ill_conditioned",303,180,60,80,8,80,8,TRUE,"2;5;7;10"
"syn_reg_rank_deficient","synthetic","regression","rank_deficient",303,150,50,100,8,90,8,FALSE,"2;5;7;10"
"syn_cls_p_lt_n_low_rank","synthetic","classification","well_conditioned",303,300,100,40,4,40,3,TRUE,"1;2;3"
"syn_cls_p_gt_n_high_rank","synthetic","classification","well_conditioned",303,120,60,300,12,119,11,FALSE,"1;3;6;8;10"
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",303,180,60,120,6,120,5,TRUE,"1;2;3;4;5"
"Breast","real","classification","p_greater_than_n",123,150,70,200,3,149,2,FALSE,"1;2;3;5;8"
"Colon","real","classification","p_much_greater_than_n",123,47,15,2000,2,46,1,FALSE,"1;2;3;5;8"
"MetRef","real","classification","p_less_than_n_multiclass",123,773,100,375,22,375,21,TRUE,"2;5;10;18"
"NMR_spectral_subset","real","regression","p_less_than_n_high_rank_response",123,600,150,300,120,300,120,TRUE,"2;5;10;15"
