"dataset","oversample","power","approximation_tolerance_pass.checks","approximation_tolerance_pass.passed","approximation_tolerance_pass.failed"
"MetRef",10,1,20, 0,20
"synthetic_high_rank_response",10,1,20, 0,20
"MetRef",20,1,20,20, 0
"synthetic_high_rank_response",20,1,20,20, 0
"MetRef",10,2,20, 8,12
"synthetic_high_rank_response",10,2,20,19, 1
"MetRef",20,2,20,20, 0
"synthetic_high_rank_response",20,2,20,20, 0
"MetRef",10,4,20,20, 0
"synthetic_high_rank_response",10,4,20,20, 0
"MetRef",20,4,20,20, 0
"synthetic_high_rank_response",20,4,20,20, 0
