"run_id","experiment","dataset","task_type","method","backend_requested","backend_reported","prediction_backend","svd_method","classifier","precision","ncomp","n_train","n_test","p","q","seed","replicate","requested_oversample","requested_power","control_profile","oversample","power","direction_rule","directions_per_solve","refresh_width","refresh_iterations","fresh_start","kernel","north","fit_sec","prediction_sec","total_sec","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","peak_rss_mb","incremental_peak_rss_mb","metric_name","metric_value","accuracy","q2","rmsd","prediction_checksum","prediction_length","status","warnings","error","package_version"
"component_path__cbmc_citeseq__plssvd__k1__cpu__r1","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",1,7755,862,1000,10,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.09,0.01,0.1,452.88671875,454.96484375,454.96484375,522.1875,69.30078125,"rmsd",1484.73183922093,NA,0.0284026500892736,1484.73183922093,2447976478.01056,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k1__cpu__r2","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",1,7755,862,1000,10,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.0899999999999999,0.00900000000000012,0.099,452.77734375,454.88671875,454.88671875,522.49609375,69.71875,"rmsd",1484.73183922093,NA,0.0284026500892736,1484.73183922093,2447976478.01056,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k1__cpu__r3","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",1,7755,862,1000,10,1003,3,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.09,0.0089999999999999,0.0989999999999999,452.86328125,454.9921875,454.9921875,522.609375,69.74609375,"rmsd",1484.73183922093,NA,0.0284026500892736,1484.73183922093,2447976478.01056,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k1__cpu__r4","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",1,7755,862,1000,10,1004,4,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.094,0.01,0.104,452.80078125,454.9765625,454.9765625,522.58984375,69.7890625,"rmsd",1484.73183922093,NA,0.0284026500892736,1484.73183922093,2447976478.01056,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k1__cpu__r5","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",1,7755,862,1000,10,1005,5,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.0910000000000001,0.01,0.101,452.8125,454.9453125,454.9453125,522.2109375,69.3984375,"rmsd",1484.73183922093,NA,0.0284026500892736,1484.73183922093,2447976478.01056,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k1__cuda__r1","current_release_component_path","cbmc_citeseq","regression","plssvd","cuda","cuda","cuda_flash","rsvd","argmax","float64",1,7755,862,1000,10,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.289,0.0069999999999999,0.296,452.8671875,808.87109375,809.3203125,877.3671875,424.5,"rmsd",1484.73183922093,NA,0.0284026500892736,1484.73183922093,2447976478.01056,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k1__cuda__r2","current_release_component_path","cbmc_citeseq","regression","plssvd","cuda","cuda","cuda_flash","rsvd","argmax","float64",1,7755,862,1000,10,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.28,0.00800000000000001,0.288,452.78515625,808.98046875,809.4296875,877.46875,424.68359375,"rmsd",1484.73183922093,NA,0.0284026500892736,1484.73183922093,2447976478.01056,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k1__cuda__r3","current_release_component_path","cbmc_citeseq","regression","plssvd","cuda","cuda","cuda_flash","rsvd","argmax","float64",1,7755,862,1000,10,1003,3,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.276,0.0069999999999999,0.283,452.85546875,808.8515625,809.3046875,877.55859375,424.703125,"rmsd",1484.73183922093,NA,0.0284026500892736,1484.73183922093,2447976478.01056,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k1__cuda__r4","current_release_component_path","cbmc_citeseq","regression","plssvd","cuda","cuda","cuda_flash","rsvd","argmax","float64",1,7755,862,1000,10,1004,4,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.287,0.00800000000000001,0.295,452.89453125,808.7734375,809.22265625,876.87890625,423.984375,"rmsd",1484.73183922093,NA,0.0284026500892736,1484.73183922093,2447976478.01056,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k1__cuda__r5","current_release_component_path","cbmc_citeseq","regression","plssvd","cuda","cuda","cuda_flash","rsvd","argmax","float64",1,7755,862,1000,10,1005,5,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.287,0.00800000000000001,0.295,452.8203125,808.87890625,809.328125,877.3671875,424.546875,"rmsd",1484.73183922093,NA,0.0284026500892736,1484.73183922093,2447976478.01056,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k2__cpu__r1","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",2,7755,862,1000,10,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.095,0.01,0.105,452.88671875,455,455,522.79296875,69.90625,"rmsd",1204.05930120707,NA,0.361021814491478,1204.05930120707,2437913603.45568,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k2__cpu__r2","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",2,7755,862,1000,10,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.095,0.00900000000000012,0.104,452.765625,454.9375,454.9375,521.88671875,69.12109375,"rmsd",1204.05930120707,NA,0.361021814491478,1204.05930120707,2437913603.45568,8620,"success","","","0.99.39"
