"package_version","dataset","task_type","method","backend_requested","precision","classifier","svd_method","ncomp","n_ok","n_failed","median_fit_sec","iqr_fit_sec","median_prediction_sec","iqr_prediction_sec","median_total_sec","iqr_total_sec","median_metric","median_peak_rss_mb","median_incremental_rss_mb","control_profile","oversample","power","direction_rule","fresh_start","errors"
"0.99.39","cbmc_citeseq","regression","plssvd","cpu","float64","argmax","rsvd",1,5,0,0.09,0.00100000000000011,0.01,0.00099999999999989,0.1,0.00200000000000011,1484.73183922093,522.49609375,69.71875,"not_applicable",32,5,"NA",NA,""
"0.99.39","cbmc_citeseq","regression","plssvd","cuda","float64","argmax","rsvd",1,5,0,0.287,0.00700000000000001,0.00800000000000001,0.00100000000000011,0.295,0.00700000000000001,1484.73183922093,877.3671875,424.546875,"not_applicable",32,5,"NA",NA,""
"0.99.39","cbmc_citeseq","regression","plssvd","cpu","float64","argmax","rsvd",2,5,0,0.095,0,0.00900000000000012,0,0.104,0.00099999999999989,1204.05930120707,522.5234375,69.7578125,"not_applicable",32,5,"NA",NA,""
"0.99.39","cbmc_citeseq","regression","plssvd","cuda","float64","argmax","rsvd",2,5,0,0.27,0.0109999999999999,0.00800000000000001,0.00099999999999989,0.278,0.0119999999999998,1204.05930120707,854,401.19140625,"not_applicable",32,5,"NA",NA,""
"0.99.39","cbmc_citeseq","regression","plssvd","cpu","float64","argmax","rsvd",5,5,0,0.108,1.11022302462516e-16,0.00900000000000012,0.00099999999999989,0.117,0.00100000000000022,1092.52684370828,522.640625,69.7734375,"not_applicable",32,5,"NA",NA,""
"0.99.39","cbmc_citeseq","regression","plssvd","cuda","float64","argmax","rsvd",5,5,0,0.268,0.003,0.018,0,0.286,0.005,1092.52684370828,877.12109375,424.296875,"not_applicable",32,5,"NA",NA,""
"0.99.39","cbmc_citeseq","regression","plssvd","cpu","float64","argmax","rsvd",10,5,0,0.132,0.0170000000000001,0.01,0,0.142,0.0170000000000001,1096.50042330597,524.296875,71.50390625,"not_applicable",32,5,"NA",NA,""
"0.99.39","cbmc_citeseq","regression","plssvd","cuda","float64","argmax","rsvd",10,5,0,0.268,0.00399999999999989,0.00800000000000001,0,0.276,0.00399999999999989,1096.50042330598,856.515625,403.76953125,"not_applicable",32,5,"NA",NA,""
"0.99.39","cbmc_citeseq","regression","simpls","cpu","float64","argmax","rsvd",1,5,0,0.115,0.00100000000000011,0.00900000000000012,2.22044604925031e-16,0.125,0.00100000000000011,1484.73183922093,572.55078125,119.69140625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","simpls","cuda","float64","argmax","rsvd",1,5,0,0.267,0.003,0.012,0.00099999999999989,0.279,0.003,1484.73183922093,858.234375,405.3984375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","simpls","cpu","float64","argmax","rsvd",2,5,0,0.128,0.00199999999999989,0.01,0.00099999999999989,0.137,0.003,1480.64923754435,572.10546875,119.36328125,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
