"run_id","experiment","dataset","task_type","method","backend_requested","backend_reported","prediction_backend","svd_method","classifier","precision","ncomp","n_train","n_test","p","q","seed","replicate","requested_oversample","requested_power","control_profile","oversample","power","direction_rule","directions_per_solve","refresh_width","refresh_iterations","fresh_start","kernel","north","fit_sec","prediction_sec","total_sec","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","peak_rss_mb","incremental_peak_rss_mb","metric_name","metric_value","accuracy","q2","rmsd","prediction_checksum","prediction_length","status","warnings","error","package_version"
"component_path__cbmc_citeseq__plssvd__k1__cpu__r1","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",1,7755,862,1000,10,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.107,0.005,0.112,289.421875,349.5,356.171875,356.21875,66.796875,"rmsd",1484.73183922094,NA,0.0284026500892871,1484.73183922094,2447976478.01056,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k1__cpu__r2","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",1,7755,862,1000,10,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.098,0.004,0.102,293.84375,353.890625,354.421875,354.46875,60.625,"rmsd",1484.73183922094,NA,0.0284026500892871,1484.73183922094,2447976478.01056,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k1__cpu__r3","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",1,7755,862,1000,10,1003,3,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.108,0.004,0.112,290.890625,351,357.765625,357.8125,66.921875,"rmsd",1484.73183922094,NA,0.0284026500892871,1484.73183922094,2447976478.01056,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k1__cpu__r4","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",1,7755,862,1000,10,1004,4,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.099,0.005,0.104,286.265625,346.546875,353.21875,353.28125,67.015625,"rmsd",1484.73183922094,NA,0.0284026500892871,1484.73183922094,2447976478.01056,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k1__cpu__r5","current_release_component_path","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",1,7755,862,1000,10,1005,5,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.102,0.005,0.107,285.578125,345.625,352.296875,352.546875,66.96875,"rmsd",1484.73183922094,NA,0.0284026500892871,1484.73183922094,2447976478.01056,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k1__metal__r1","current_release_component_path","cbmc_citeseq","regression","plssvd","metal","metal","metal","rsvd","argmax","float64",1,7755,862,1000,10,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.666,0.0149999999999999,0.681,286.515625,377.359375,410.25,472.375,185.859375,"rmsd",1484.73183898532,NA,0.0284026503976568,1484.73183898532,2447976474.90663,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k1__metal__r2","current_release_component_path","cbmc_citeseq","regression","plssvd","metal","metal","metal","rsvd","argmax","float64",1,7755,862,1000,10,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.205,0.014,0.219,287.4375,414.28125,440.609375,472.9375,185.5,"rmsd",1484.73183898532,NA,0.0284026503976568,1484.73183898532,2447976474.90663,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k1__metal__r3","current_release_component_path","cbmc_citeseq","regression","plssvd","metal","metal","metal","rsvd","argmax","float64",1,7755,862,1000,10,1003,3,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.203,0.0129999999999999,0.216,283.203125,410.65625,436.984375,469.4375,186.234375,"rmsd",1484.73183898532,NA,0.0284026503976568,1484.73183898532,2447976474.90663,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k1__metal__r4","current_release_component_path","cbmc_citeseq","regression","plssvd","metal","metal","metal","rsvd","argmax","float64",1,7755,862,1000,10,1004,4,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.203,0.015,0.218,286.25,413.765625,440.09375,472.515625,186.265625,"rmsd",1484.73183898532,NA,0.0284026503976568,1484.73183898532,2447976474.90663,8620,"success","","","0.99.39"
"component_path__cbmc_citeseq__plssvd__k1__metal__r5","current_release_component_path","cbmc_citeseq","regression","plssvd","metal","metal","metal","rsvd","argmax","float64",1,7755,862,1000,10,1005,5,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.206,0.015,0.221,285.453125,412.34375,438.671875,471.15625,185.703125,"rmsd",1484.73183898532,NA,0.0284026503976568,1484.73183898532,2447976474.90663,8620,"success","","","0.99.39"
