"package_version","dataset","task_type","method","backend_requested","precision","classifier","svd_method","ncomp","n_ok","n_failed","median_fit_sec","iqr_fit_sec","median_prediction_sec","iqr_prediction_sec","median_total_sec","iqr_total_sec","median_metric","median_peak_rss_mb","median_incremental_rss_mb","control_profile","oversample","power","direction_rule","fresh_start","errors"
"0.99.39","cbmc_citeseq","regression","plssvd","cpu","float64","argmax","rsvd",1,5,0,0.102,0.00800000000000012,0.005,0.001,0.107,0.00800000000000012,1484.73183922094,354.46875,66.921875,"not_applicable",32,5,"NA",NA,""
"0.99.39","cbmc_citeseq","regression","plssvd","metal","float64","argmax","rsvd",1,5,0,0.205,0.003,0.0149999999999999,0.001,0.219,0.003,1484.73183898532,472.375,185.859375,"not_applicable",32,5,"NA",NA,""
"0.99.39","cbmc_citeseq","regression","plssvd","cpu","float64","argmax","rsvd",2,5,0,0.105,0.00399999999999989,0.005,0.001,0.109,0.004,1204.05930120707,355.4375,66.78125,"not_applicable",32,5,"NA",NA,""
"0.99.39","cbmc_citeseq","regression","plssvd","metal","float64","argmax","rsvd",2,5,0,0.207,0.006,0.0139999999999999,0.002,0.222,0.00500000000000023,1204.05936892198,454.34375,167.171875,"not_applicable",32,5,"NA",NA,""
"0.99.39","cbmc_citeseq","regression","plssvd","cpu","float64","argmax","rsvd",5,5,0,0.114,0.002,0.005,0,0.119,0.002,1092.52684370828,356.21875,66.84375,"not_applicable",32,5,"NA",NA,""
"0.99.39","cbmc_citeseq","regression","plssvd","metal","float64","argmax","rsvd",5,5,0,0.216,0.01,0.0170000000000001,0.00300000000000011,0.233,0.0069999999999999,1092.52727754255,471.640625,186,"not_applicable",32,5,"NA",NA,""
"0.99.39","cbmc_citeseq","regression","plssvd","cpu","float64","argmax","rsvd",10,5,0,0.125,0.00599999999999989,0.005,0.001,0.13,0.0069999999999999,1096.50042330597,352.78125,66.84375,"not_applicable",32,5,"NA",NA,""
"0.99.39","cbmc_citeseq","regression","plssvd","metal","float64","argmax","rsvd",10,5,0,0.208,0.015,0.014,0.001,0.222,0.0150000000000001,1096.50040684303,473.375,186.15625,"not_applicable",32,5,"NA",NA,""
"0.99.39","cbmc_citeseq","regression","simpls","cpu","float64","argmax","rsvd",1,5,0,0.067,0.0079999999999999,0.005,0,0.073,0.0079999999999999,1484.73183922094,413.609375,125.6875,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","simpls","metal","float64","argmax","rsvd",1,5,0,0.232,0.0129999999999999,0.0129999999999999,0.002,0.246,0.00599999999999989,1484.73183892948,471.515625,185.640625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","simpls","cpu","float64","argmax","rsvd",2,5,0,0.0690000000000001,0.004,0.005,0.001,0.0740000000000001,0.003,1480.64923754435,411.203125,125.671875,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","simpls","metal","float64","argmax","rsvd",2,5,0,0.275,0.0270000000000001,0.014,0.006,0.289,0.04,1480.64923711883,473.296875,185.53125,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","simpls","cpu","float64","argmax","rsvd",5,5,0,0.0960000000000001,0.004,0.005,0.001,0.101,0.00399999999999989,1114.67303488022,407.515625,123.0625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","simpls","metal","float64","argmax","rsvd",5,5,0,0.364,0.00700000000000001,0.016,0.00099999999999989,0.38,0.004,1114.67307055034,448.703125,155.234375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","simpls","cpu","float64","argmax","rsvd",10,5,0,0.116,0.00300000000000011,0.005,0.001,0.12,0.00300000000000011,1091.41081609295,415.15625,125.78125,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","simpls","metal","float64","argmax","rsvd",10,5,0,0.512,0.015,0.0149999999999999,0.002,0.526,0.013,1091.41087300196,469.25,186.046875,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","simpls","cpu","float64","argmax","rsvd",20,5,0,0.186,0.00400000000000011,0.005,0,0.19,0.004,1099.9607116667,410.65625,125.84375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","simpls","metal","float64","argmax","rsvd",20,5,0,0.809,0.024,0.0130000000000001,0.00199999999999978,0.826,0.0250000000000004,1099.96058388926,479.046875,192.171875,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","simpls","cpu","float64","argmax","rsvd",49,5,0,0.356,0.0069999999999999,0.004,0,0.36,0.0069999999999999,1050.86326616619,410.8125,125.890625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","simpls","metal","float64","argmax","rsvd",49,5,0,1.683,0.063,0.0150000000000001,0.00300000000000011,1.702,0.0660000000000001,1050.86303425771,513.640625,226.359375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","simpls","cpu","float64","argmax","rsvd",50,5,0,0.371,0.011,0.00499999999999989,0.00100000000000011,0.375,0.0109999999999998,1052.0989214988,406.96875,125.671875,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","simpls","metal","float64","argmax","rsvd",50,5,0,1.721,0.0779999999999996,0.0140000000000002,0.00099999999999989,1.735,0.0759999999999998,1052.09890280572,477.96875,186.21875,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cpu","float64","argmax","rsvd",1,5,0,0.196,0.0099999999999999,0.00800000000000001,0.002,0.203,0.0110000000000001,1480.8070048676,465.96875,178.296875,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","metal","float64","argmax","rsvd",1,5,0,0.376,0.0099999999999999,0.028,0.00599999999999978,0.407,0.0139999999999999,1480.80700610744,478.140625,192.765625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cpu","float64","argmax","rsvd",2,5,0,0.193,0.006,0.00700000000000001,0,0.2,0.00700000000000001,1146.2822099557,479.890625,191.65625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","metal","float64","argmax","rsvd",2,5,0,0.391,0.0130000000000001,0.0269999999999999,0.00200000000000022,0.417,0.0110000000000002,1146.28210554096,479.375,193.21875,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cpu","float64","argmax","rsvd",5,5,0,0.205,0.002,0.00700000000000001,0.001,0.211,0.003,1110.73064115455,480.640625,191.828125,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","metal","float64","argmax","rsvd",5,5,0,0.49,0.019,0.0270000000000001,0.004,0.513,0.0149999999999999,1110.73057990601,477.390625,193.34375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cpu","float64","argmax","rsvd",10,5,0,0.234,0.001,0.00700000000000001,0,0.24,0.001,1085.39022184952,477.296875,191.71875,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","metal","float64","argmax","rsvd",10,5,0,0.646,0.0189999999999999,0.0299999999999998,0.006,0.674,0.0239999999999999,1085.39036167794,482.640625,197.28125,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cpu","float64","argmax","rsvd",20,5,0,0.299,0.004,0.0069999999999999,0.00099999999999989,0.305,0.00300000000000011,1094.04583578893,479.25,191.8125,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","metal","float64","argmax","rsvd",20,5,0,0.938,0.023,0.0269999999999999,0.00099999999999989,0.964,0.0240000000000001,1094.04573310273,485.296875,199.359375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cpu","float64","argmax","rsvd",48,5,0,0.471,0.0189999999999998,0.00700000000000012,0.00100000000000011,0.477,0.0199999999999997,1051.00988214629,476.421875,192.234375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","metal","float64","argmax","rsvd",48,5,0,1.734,0.0470000000000002,0.0270000000000001,0.00099999999999989,1.761,0.0460000000000003,1051.01003222134,512.25,222.9375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","cpu","float64","argmax","rsvd",50,5,0,0.485,0.00100000000000011,0.0069999999999999,0.00100000000000011,0.491,0.00200000000000011,1051.84354851596,479.09375,192.21875,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","opls","metal","float64","argmax","rsvd",50,5,0,1.888,0.0409999999999997,0.0270000000000001,0.00099999999999989,1.915,0.0349999999999995,1051.84365636287,494.71875,200.625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","cpu","float64","argmax","rsvd",1,5,0,0.0599999999999999,0.014,0.005,0,0.065,0.0140000000000001,1484.73183922094,411.859375,125.765625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","metal","float64","argmax","rsvd",1,5,0,0.237,0.00900000000000001,0.012,0.001,0.249,0.005,1484.73183892948,471.953125,185.734375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","cpu","float64","argmax","rsvd",2,5,0,0.068,0.00800000000000001,0.005,0.001,0.073,0.00700000000000001,1480.64923754435,414.15625,125.796875,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","metal","float64","argmax","rsvd",2,5,0,0.28,0.032,0.016,0.002,0.296,0.034,1480.64923711883,444.25,184.90625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","cpu","float64","argmax","rsvd",5,5,0,0.092,0.006,0.005,1.11022302462516e-16,0.0959999999999999,0.00599999999999989,1114.67303488022,413.359375,125.9375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","metal","float64","argmax","rsvd",5,5,0,0.355,0.0259999999999999,0.012,0.00099999999999989,0.368,0.0269999999999998,1114.67307055034,474.6875,186.09375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","cpu","float64","argmax","rsvd",10,5,0,0.118,0.006,0.005,0.001,0.123,0.005,1091.41081609295,414.703125,125.703125,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","metal","float64","argmax","rsvd",10,5,0,0.476,0.0089999999999999,0.0149999999999999,0.002,0.489,0.0089999999999999,1091.41087300196,473.53125,186.640625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","cpu","float64","argmax","rsvd",20,5,0,0.181,0.004,0.00499999999999989,0.001,0.185,0.003,1099.9607116667,412.34375,125.765625,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
"0.99.39","cbmc_citeseq","regression","kernelpls","metal","float64","argmax","rsvd",20,5,0,0.801,0.0599999999999999,0.0149999999999999,0.00400000000000023,0.814,0.0560000000000002,1099.96058388926,477.671875,192.109375,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",TRUE,""
