"run_id","experiment","dataset","task_type","method","backend_requested","backend_reported","prediction_backend","svd_method","classifier","precision","ncomp","n_train","n_test","p","q","seed","replicate","requested_oversample","requested_power","control_profile","oversample","power","direction_rule","directions_per_solve","refresh_width","refresh_iterations","fresh_start","kernel","north","fit_sec","prediction_sec","total_sec","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","peak_rss_mb","incremental_peak_rss_mb","metric_name","metric_value","accuracy","q2","rmsd","prediction_checksum","prediction_length","status","warnings","error","package_version"
"component_path__cifar100__kernelpls__k300__metal__r1","current_release_component_path","cifar100","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",300,50000,10000,768,100,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,39.753,0.259,40.012,570.9375,1009.546875,1098.828125,1461.8125,890.875,"accuracy",0.8908,0.8908,0.605148162431021,NA,259303251,10000,"success","","","0.99.39"
"component_path__cifar100__kernelpls__k300__metal__r2","current_release_component_path","cifar100","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",300,50000,10000,768,100,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,40.27,0.234000000000002,40.504,570.375,703.21875,877.75,1370.3125,799.9375,"accuracy",0.8908,0.8908,0.605148162431021,NA,259303251,10000,"success","","","0.99.39"
"component_path__cifar100__kernelpls__k300__metal__r3","current_release_component_path","cifar100","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",300,50000,10000,768,100,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,40.234,0.253,40.487,576.984375,800.375,926.515625,1391.1875,814.203125,"accuracy",0.8908,0.8908,0.605148162431021,NA,259303251,10000,"success","","","0.99.39"
"component_path__cifar100__kernelpls__k300__metal__r4","current_release_component_path","cifar100","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",300,50000,10000,768,100,1004,4,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,40.307,0.247999999999998,40.555,575.453125,703.6875,888.609375,1482.96875,907.515625,"accuracy",0.8908,0.8908,0.605148162431021,NA,259303251,10000,"success","","","0.99.39"
"component_path__cifar100__kernelpls__k300__metal__r5","current_release_component_path","cifar100","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",300,50000,10000,768,100,1005,5,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,40.232,0.242999999999995,40.475,576.484375,653.875,874.609375,1354.203125,777.71875,"accuracy",0.8908,0.8908,0.605148162431021,NA,259303251,10000,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k100__cpu__r1","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",100,3000,797,1000,32,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.86,0.012,1.872,250.9375,297.46875,304.90625,305.0625,54.125,"accuracy",0.962358845671267,0.962358845671267,0.805468231538117,NA,4560307,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k100__cpu__r2","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",100,3000,797,1000,32,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.851,0.0109999999999997,1.862,251.03125,298.671875,304.890625,304.9375,53.90625,"accuracy",0.962358845671267,0.962358845671267,0.805468231538122,NA,4560307,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k100__cpu__r3","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",100,3000,797,1000,32,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.856,0.0110000000000001,1.867,251.234375,301.5,307.71875,307.765625,56.53125,"accuracy",0.962358845671267,0.962358845671267,0.805468231538125,NA,4560307,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k100__cpu__r4","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",100,3000,797,1000,32,1004,4,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.852,0.0100000000000002,1.862,248.734375,297.28125,303.5,303.546875,54.8125,"accuracy",0.962358845671267,0.962358845671267,0.805468231538134,NA,4560307,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k100__cpu__r5","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",100,3000,797,1000,32,1005,5,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.85,0.0110000000000001,1.861,258.40625,306.4375,312.6875,312.734375,54.328125,"accuracy",0.962358845671267,0.962358845671267,0.805468231538119,NA,4560307,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k100__metal__r1","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",100,3000,797,1000,32,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.58,0.0169999999999999,1.597,251.125,343.09375,355.34375,360.828125,109.703125,"accuracy",0.962358845671267,0.962358845671267,0.805468445090971,NA,4560307,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k100__metal__r2","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",100,3000,797,1000,32,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.498,0.0139999999999998,1.512,252.046875,345.609375,357.8125,364.875,112.828125,"accuracy",0.962358845671267,0.962358845671267,0.805468445090971,NA,4560307,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k100__metal__r3","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",100,3000,797,1000,32,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.469,0.0169999999999999,1.486,249.828125,340.78125,359.0625,362.828125,113,"accuracy",0.962358845671267,0.962358845671267,0.805468445090971,NA,4560307,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k100__metal__r4","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",100,3000,797,1000,32,1004,4,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.567,0.016,1.583,252.3125,340.21875,358.53125,362.265625,109.953125,"accuracy",0.962358845671267,0.962358845671267,0.805468445090971,NA,4560307,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k100__metal__r5","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",100,3000,797,1000,32,1005,5,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.588,0.0140000000000002,1.602,252.15625,346.734375,358.71875,366.8125,114.65625,"accuracy",0.962358845671267,0.962358845671267,0.805468445090971,NA,4560307,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k10__cpu__r1","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",10,3000,797,1000,32,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.224,0.01,0.234,252.671875,300.203125,306.421875,306.484375,53.8125,"accuracy",0.731493099121706,0.731493099121706,0.491383363982152,NA,4061244,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k10__cpu__r2","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",10,3000,797,1000,32,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.224,0.01,0.234,249.96875,296.53125,302.75,302.796875,52.828125,"accuracy",0.731493099121706,0.731493099121706,0.491383363982152,NA,4061244,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k10__cpu__r3","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",10,3000,797,1000,32,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.226,0.011,0.237,250.90625,297.375,303.59375,303.71875,52.8125,"accuracy",0.731493099121706,0.731493099121706,0.491383363982152,NA,4061244,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k10__cpu__r4","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",10,3000,797,1000,32,1004,4,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.224,0.011,0.235,252.109375,298.609375,304.828125,304.9375,52.828125,"accuracy",0.731493099121706,0.731493099121706,0.491383363982151,NA,4061244,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k10__cpu__r5","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",10,3000,797,1000,32,1005,5,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.224,0.011,0.235,249.703125,296.453125,303.484375,303.53125,53.828125,"accuracy",0.731493099121706,0.731493099121706,0.491383363982151,NA,4061244,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k10__metal__r1","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",10,3000,797,1000,32,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.276,0.015,0.291,252.09375,315.640625,340.203125,343.296875,91.203125,"accuracy",0.731493099121706,0.731493099121706,0.491383288233094,NA,4061244,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k10__metal__r2","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",10,3000,797,1000,32,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.281,0.016,0.297,249.953125,309.34375,333.90625,337.046875,87.09375,"accuracy",0.731493099121706,0.731493099121706,0.491383288233094,NA,4061244,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k10__metal__r3","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",10,3000,797,1000,32,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.265,0.017,0.282,252.75,314.953125,335.09375,336.609375,83.859375,"accuracy",0.731493099121706,0.731493099121706,0.491383288233094,NA,4061244,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k10__metal__r4","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",10,3000,797,1000,32,1004,4,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.285,0.014,0.299,250.859375,309.984375,334.625,337.765625,86.90625,"accuracy",0.731493099121706,0.731493099121706,0.491383288233094,NA,4061244,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k10__metal__r5","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",10,3000,797,1000,32,1005,5,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.265,0.014,0.279,254.671875,315.6875,334.3125,337.40625,82.734375,"accuracy",0.731493099121706,0.731493099121706,0.491383288233094,NA,4061244,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k190__cpu__r1","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",190,3000,797,1000,32,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,3.511,0.0109999999999992,3.522,250.359375,305.4375,311.65625,311.703125,61.34375,"accuracy",0.963613550815558,0.963613550815558,0.811025787043053,NA,4568563,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k190__cpu__r2","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",190,3000,797,1000,32,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,3.485,0.0120000000000005,3.497,250.140625,298.015625,304.25,304.296875,54.15625,"accuracy",0.963613550815558,0.963613550815558,0.811025787043063,NA,4568563,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k190__cpu__r3","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",190,3000,797,1000,32,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,3.487,0.0110000000000001,3.498,250.578125,300.703125,306.9375,307.09375,56.515625,"accuracy",0.963613550815558,0.963613550815558,0.811025787043082,NA,4568563,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k190__cpu__r4","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",190,3000,797,1000,32,1004,4,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,3.499,0.00999999999999979,3.509,255.171875,305.609375,311.828125,311.9375,56.765625,"accuracy",0.963613550815558,0.963613550815558,0.811025787043139,NA,4568563,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k190__cpu__r5","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",190,3000,797,1000,32,1005,5,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,3.484,0.0110000000000001,3.495,252.734375,302.1875,302.453125,302.5,49.765625,"accuracy",0.963613550815558,0.963613550815558,0.811025787043044,NA,4568563,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k190__metal__r1","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",190,3000,797,1000,32,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,2.831,0.0169999999999999,2.848,252.0625,351.71875,370.015625,374.46875,122.40625,"accuracy",0.963613550815558,0.963613550815558,0.811026245967288,NA,4568563,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k190__metal__r2","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",190,3000,797,1000,32,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,2.804,0.0150000000000001,2.819,254.578125,358.28125,376.765625,381.015625,126.4375,"accuracy",0.963613550815558,0.963613550815558,0.811026245967288,NA,4568563,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k190__metal__r3","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",190,3000,797,1000,32,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,2.808,0.0159999999999996,2.824,253.1875,358.75,377.046875,380.75,127.5625,"accuracy",0.963613550815558,0.963613550815558,0.811026245967288,NA,4568563,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k190__metal__r4","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",190,3000,797,1000,32,1004,4,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,2.7,0.0180000000000002,2.718,239.53125,338.625,356.890625,360.609375,121.078125,"accuracy",0.963613550815558,0.963613550815558,0.811026245967288,NA,4568563,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k190__metal__r5","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",190,3000,797,1000,32,1005,5,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,2.705,0.0150000000000001,2.72,252.34375,351.40625,369.671875,374.125,121.78125,"accuracy",0.963613550815558,0.963613550815558,0.811026245967288,NA,4568563,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k1__cpu__r1","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",1,3000,797,1000,32,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.062,0.0119999999999999,0.074,249.859375,296.375,302.59375,302.671875,52.8125,"accuracy",0.248431618569636,0.248431618569636,0.122874115533974,NA,6532038,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k1__cpu__r2","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",1,3000,797,1000,32,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.061,0.011,0.0720000000000001,248.25,295.71875,301.953125,302.21875,53.96875,"accuracy",0.248431618569636,0.248431618569636,0.122874115533974,NA,6532038,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k1__cpu__r3","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",1,3000,797,1000,32,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.062,0.0109999999999999,0.073,247.765625,295.359375,301.578125,301.625,53.859375,"accuracy",0.248431618569636,0.248431618569636,0.122874115533974,NA,6532038,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k1__cpu__r4","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",1,3000,797,1000,32,1004,4,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.061,0.01,0.0710000000000001,250.15625,297.4375,303.65625,303.703125,53.546875,"accuracy",0.248431618569636,0.248431618569636,0.122874115533974,NA,6532038,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k1__cpu__r5","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",1,3000,797,1000,32,1005,5,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.061,0.0099999999999999,0.071,253.375,299.84375,306.0625,306.109375,52.734375,"accuracy",0.248431618569636,0.248431618569636,0.122874115533974,NA,6532038,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k1__metal__r1","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",1,3000,797,1000,32,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.149,0.015,0.164,249.921875,304.765625,329.203125,332.234375,82.3125,"accuracy",0.248431618569636,0.248431618569636,0.122874162277941,NA,6532038,797,"success","","","0.99.39"
