"run_id","experiment","dataset","task_type","method","backend_requested","backend_reported","prediction_backend","svd_method","classifier","precision","ncomp","n_train","n_test","p","q","seed","replicate","requested_oversample","requested_power","control_profile","oversample","power","direction_rule","directions_per_solve","refresh_width","refresh_iterations","fresh_start","kernel","north","fit_sec","prediction_sec","total_sec","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","peak_rss_mb","incremental_peak_rss_mb","metric_name","metric_value","accuracy","q2","rmsd","prediction_checksum","prediction_length","status","warnings","error","package_version"
"component_path__gtex_v8__kernelpls__k190__metal__r4","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",190,3000,797,1000,32,1004,4,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,2.7,0.0180000000000002,2.718,239.53125,338.625,356.890625,360.609375,121.078125,"accuracy",0.963613550815558,0.963613550815558,0.811026245967288,NA,4568563,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k190__metal__r5","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",190,3000,797,1000,32,1005,5,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,2.705,0.0150000000000001,2.72,252.34375,351.40625,369.671875,374.125,121.78125,"accuracy",0.963613550815558,0.963613550815558,0.811026245967288,NA,4568563,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k1__cpu__r1","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",1,3000,797,1000,32,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.062,0.0119999999999999,0.074,249.859375,296.375,302.59375,302.671875,52.8125,"accuracy",0.248431618569636,0.248431618569636,0.122874115533974,NA,6532038,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k1__cpu__r2","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",1,3000,797,1000,32,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.061,0.011,0.0720000000000001,248.25,295.71875,301.953125,302.21875,53.96875,"accuracy",0.248431618569636,0.248431618569636,0.122874115533974,NA,6532038,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k1__cpu__r3","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",1,3000,797,1000,32,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.062,0.0109999999999999,0.073,247.765625,295.359375,301.578125,301.625,53.859375,"accuracy",0.248431618569636,0.248431618569636,0.122874115533974,NA,6532038,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k1__cpu__r4","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",1,3000,797,1000,32,1004,4,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.061,0.01,0.0710000000000001,250.15625,297.4375,303.65625,303.703125,53.546875,"accuracy",0.248431618569636,0.248431618569636,0.122874115533974,NA,6532038,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k1__cpu__r5","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",1,3000,797,1000,32,1005,5,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.061,0.0099999999999999,0.071,253.375,299.84375,306.0625,306.109375,52.734375,"accuracy",0.248431618569636,0.248431618569636,0.122874115533974,NA,6532038,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k1__metal__r1","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",1,3000,797,1000,32,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.149,0.015,0.164,249.921875,304.765625,329.203125,332.234375,82.3125,"accuracy",0.248431618569636,0.248431618569636,0.122874162277941,NA,6532038,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k1__metal__r2","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",1,3000,797,1000,32,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.133,0.014,0.147,249.625,306.140625,330.578125,333.609375,83.984375,"accuracy",0.248431618569636,0.248431618569636,0.122874162277941,NA,6532038,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k1__metal__r3","current_release_component_path","gtex_v8","classification","kernelpls","metal","metal","metal","rsvd","argmax","float64",1,3000,797,1000,32,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.143,0.015,0.158,253.6875,308.265625,332.703125,335.734375,82.046875,"accuracy",0.248431618569636,0.248431618569636,0.122874162277941,NA,6532038,797,"success","","","0.99.39"
