"run_id","experiment","dataset","task_type","method","backend_requested","backend_reported","prediction_backend","svd_method","classifier","precision","ncomp","n_train","n_test","p","q","seed","replicate","requested_oversample","requested_power","control_profile","oversample","power","direction_rule","directions_per_solve","refresh_width","refresh_iterations","fresh_start","kernel","north","fit_sec","prediction_sec","total_sec","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","peak_rss_mb","incremental_peak_rss_mb","metric_name","metric_value","accuracy","q2","rmsd","prediction_checksum","prediction_length","status","warnings","error","package_version"
"component_path__gtex_v8__kernelpls__k190__metal__r4","current_release_component_path","gtex_v8","classification","kernelpls","metal",NA,NA,"rsvd","argmax","float64",190,3000,797,1000,32,1004,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linear",1,NA,NA,NA,237.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed","","pls() requested backend='metal', which requires a macOS fastPLS build with Apple Metal support. No CPU fallback is performed.","0.99.39"
"component_path__gtex_v8__kernelpls__k190__metal__r5","current_release_component_path","gtex_v8","classification","kernelpls","metal",NA,NA,"rsvd","argmax","float64",190,3000,797,1000,32,1005,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linear",1,NA,NA,NA,253.15625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed","","pls() requested backend='metal', which requires a macOS fastPLS build with Apple Metal support. No CPU fallback is performed.","0.99.39"
"component_path__gtex_v8__kernelpls__k1__cpu__r1","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",1,3000,797,1000,32,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.0680000000000001,0.0119999999999999,0.08,249.609375,296.109375,302.4375,NA,NA,"accuracy",0.248431618569636,0.248431618569636,0.122874115533974,NA,6532038,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k1__cpu__r2","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",1,3000,797,1000,32,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.063,0.0109999999999999,0.074,253.84375,301.78125,302.015625,NA,NA,"accuracy",0.248431618569636,0.248431618569636,0.122874115533974,NA,6532038,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k1__cpu__r3","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",1,3000,797,1000,32,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.062,0.01,0.0720000000000001,253.46875,300.171875,306.390625,NA,NA,"accuracy",0.248431618569636,0.248431618569636,0.122874115533974,NA,6532038,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k1__cpu__r4","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",1,3000,797,1000,32,1004,4,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.06,0.0099999999999999,0.07,249.1875,295.703125,301.921875,NA,NA,"accuracy",0.248431618569636,0.248431618569636,0.122874115533974,NA,6532038,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k1__cpu__r5","current_release_component_path","gtex_v8","classification","kernelpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",1,3000,797,1000,32,1005,5,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.063,0.0109999999999999,0.074,259.28125,305.765625,312.046875,NA,NA,"accuracy",0.248431618569636,0.248431618569636,0.122874115533974,NA,6532038,797,"success","","","0.99.39"
"component_path__gtex_v8__kernelpls__k1__metal__r1","current_release_component_path","gtex_v8","classification","kernelpls","metal",NA,NA,"rsvd","argmax","float64",1,3000,797,1000,32,1001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linear",1,NA,NA,NA,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed","","pls() requested backend='metal', which requires a macOS fastPLS build with Apple Metal support. No CPU fallback is performed.","0.99.39"
"component_path__gtex_v8__kernelpls__k1__metal__r2","current_release_component_path","gtex_v8","classification","kernelpls","metal",NA,NA,"rsvd","argmax","float64",1,3000,797,1000,32,1002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linear",1,NA,NA,NA,250.65625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed","","pls() requested backend='metal', which requires a macOS fastPLS build with Apple Metal support. No CPU fallback is performed.","0.99.39"
"component_path__gtex_v8__kernelpls__k1__metal__r3","current_release_component_path","gtex_v8","classification","kernelpls","metal",NA,NA,"rsvd","argmax","float64",1,3000,797,1000,32,1003,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"linear",1,NA,NA,NA,251.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"failed","","pls() requested backend='metal', which requires a macOS fastPLS build with Apple Metal support. No CPU fallback is performed.","0.99.39"
