"package_version","dataset","family","task_type","selection_metric","selected_ncomp","selected_metric","grid_min","grid_max","intrinsic_limit","selection_status","kfold","seed","control_profile","oversample","power","elapsed_sec","n_train","p","q","status","error"
"0.99.39","cbmc_citeseq","plssvd","regression","rmsd",10,1266.10278444764,1,10,10,"rank_limited",10,123,"not_applicable",32,5,1.354,7755,1000,10,"success",""
"0.99.39","cbmc_citeseq","simpls","regression","rmsd",49,1129.70739117127,1,100,1000,"interior",10,123,"ordinary_fast",32,5,6.693,7755,1000,10,"success",""
"0.99.39","cbmc_citeseq","opls","regression","rmsd",48,1129.76036046648,1,100,1000,"interior",10,123,"ordinary_fast",32,5,7.881,7755,1000,10,"success",""
"0.99.39","cbmc_citeseq","kernelpls","regression","rmsd",49,1129.70739117127,1,100,1000,"interior",10,123,"ordinary_fast",32,5,6.502,7755,1000,10,"success",""
"0.99.39","ccle","plssvd","classification","accuracy",17,0.696526508226691,1,17,17,"rank_limited",10,123,"not_applicable",32,5,0.14,547,1000,18,"success",""
"0.99.39","ccle","simpls","classification","accuracy",26,0.723948811700183,1,100,491,"interior",10,123,"ordinary_fast",32,5,5.653,547,1000,18,"success",""
"0.99.39","ccle","opls","classification","accuracy",25,0.705667276051188,1,100,491,"interior",10,123,"ordinary_fast",32,5,5.783,547,1000,18,"success",""
"0.99.39","ccle","kernelpls","classification","accuracy",26,0.723948811700183,1,100,491,"interior",10,123,"ordinary_fast",32,5,5.649,547,1000,18,"success",""
"0.99.39","cifar100","plssvd","classification","accuracy",99,0.87666,1,99,99,"rank_limited",10,123,"not_applicable",32,5,66.236,50000,768,100,"success",""
"0.99.39","cifar100","simpls","classification","accuracy",263,0.89226,1,300,768,"interior",10,123,"ordinary_fast",32,5,232.134,50000,768,100,"success",""
"0.99.39","cifar100","opls","classification","accuracy",286,0.89194,1,300,768,"interior",10,123,"ordinary_fast",32,5,274.057,50000,768,100,"success",""
"0.99.39","cifar100","kernelpls","classification","accuracy",263,0.89226,1,300,768,"interior",10,123,"ordinary_fast",32,5,231.299,50000,768,100,"success",""
"0.99.39","gtex_v8","plssvd","classification","accuracy",30,0.952,1,31,31,"interior",10,123,"not_applicable",32,5,1.368,3000,1000,32,"success",""
"0.99.39","gtex_v8","simpls","classification","accuracy",190,0.971666666666667,1,200,1000,"interior",10,123,"ordinary_fast",32,5,37.568,3000,1000,32,"success",""
"0.99.39","gtex_v8","opls","classification","accuracy",179,0.97,1,200,1000,"interior",10,123,"ordinary_fast",32,5,38.545,3000,1000,32,"success",""
"0.99.39","gtex_v8","kernelpls","classification","accuracy",190,0.971666666666667,1,200,1000,"interior",10,123,"ordinary_fast",32,5,37.565,3000,1000,32,"success",""
"0.99.39","metref","plssvd","classification","accuracy",21,0.76843467011643,1,21,21,"rank_limited",10,123,"not_applicable",32,5,0.098,773,375,22,"success",""
"0.99.39","metref","simpls","classification","accuracy",118,0.992238033635188,1,200,375,"interior",10,123,"ordinary_fast",32,5,6.03,773,375,22,"success",""
"0.99.39","metref","opls","classification","accuracy",118,0.990944372574386,1,200,375,"interior",10,123,"ordinary_fast",32,5,6.078,773,375,22,"success",""
"0.99.39","metref","kernelpls","classification","accuracy",118,0.992238033635188,1,200,375,"interior",10,123,"ordinary_fast",32,5,6.024,773,375,22,"success",""
"0.99.39","prism","plssvd","regression","rmsd",7,0.539574051376958,1,100,430,"interior",10,123,"not_applicable",32,5,48.462,479,1000,4686,"success",""
"0.99.39","prism","simpls","regression","rmsd",6,0.5404072142753,1,100,430,"interior",10,123,"high_response_stable",48,6,1175.588,479,1000,4686,"success",""
"0.99.39","prism","opls","regression","rmsd",5,0.542018277247297,1,100,430,"interior",10,123,"high_response_stable",48,6,1255.311,479,1000,4686,"success",""
"0.99.39","prism","kernelpls","regression","rmsd",6,0.5404072142753,1,100,430,"interior",10,123,"high_response_stable",48,6,1175.599,479,1000,4686,"success",""
"0.99.39","retina","plssvd","classification","accuracy",11,0.929336666369074,1,11,11,"rank_limited",10,123,"not_applicable",32,5,0.591,22402,50,12,"success",""
