"dataset","family","selected_components","selection_status","grid_min","grid_max","intrinsic_limit","selection_metric","cross_validated_metric"
"cbmc_citeseq","plssvd",10,"rank_limited",1,10,10,"rmsd",1266.10278444764
"cbmc_citeseq","simpls",49,"interior",1,100,1000,"rmsd",1129.70739117127
"cbmc_citeseq","opls",48,"interior",1,100,1000,"rmsd",1129.76036046648
"cbmc_citeseq","kernelpls",49,"interior",1,100,1000,"rmsd",1129.70739117127
"ccle","plssvd",17,"rank_limited",1,17,17,"accuracy",0.696526508226691
"ccle","simpls",26,"interior",1,100,491,"accuracy",0.723948811700183
"ccle","opls",25,"interior",1,100,491,"accuracy",0.705667276051188
"ccle","kernelpls",26,"interior",1,100,491,"accuracy",0.723948811700183
"cifar100","plssvd",99,"rank_limited",1,99,99,"accuracy",0.87666
"cifar100","simpls",263,"interior",1,300,768,"accuracy",0.89226
"cifar100","opls",286,"interior",1,300,768,"accuracy",0.89194
"cifar100","kernelpls",263,"interior",1,300,768,"accuracy",0.89226
"gtex_v8","plssvd",30,"interior",1,31,31,"accuracy",0.952
"gtex_v8","simpls",190,"interior",1,200,1000,"accuracy",0.971666666666667
"gtex_v8","opls",179,"interior",1,200,1000,"accuracy",0.97
"gtex_v8","kernelpls",190,"interior",1,200,1000,"accuracy",0.971666666666667
"metref","plssvd",21,"rank_limited",1,21,21,"accuracy",0.76843467011643
"metref","simpls",118,"interior",1,200,375,"accuracy",0.992238033635188
"metref","opls",118,"interior",1,200,375,"accuracy",0.990944372574386
"metref","kernelpls",118,"interior",1,200,375,"accuracy",0.992238033635188
"prism","plssvd",7,"interior",1,100,430,"rmsd",0.539574051376958
"prism","simpls",6,"interior",1,100,430,"rmsd",0.5404072142753
"prism","opls",5,"interior",1,100,430,"rmsd",0.542018277247297
"prism","kernelpls",6,"interior",1,100,430,"rmsd",0.5404072142753
"retina","plssvd",11,"rank_limited",1,11,11,"accuracy",0.929336666369074
"retina","simpls",30,"interior",1,50,50,"accuracy",0.968663512186412
"retina","opls",22,"interior",1,50,50,"accuracy",0.951879296491385
"retina","kernelpls",30,"interior",1,50,50,"accuracy",0.968663512186412
"tabula","plssvd",31,"rank_limited",1,31,31,"accuracy",0.782087404831845
"tabula","simpls",44,"interior",1,50,50,"accuracy",0.802369961832824
"tabula","opls",47,"interior",1,50,50,"accuracy",0.800171852207102
"tabula","kernelpls",44,"interior",1,50,50,"accuracy",0.802369961832824
"tcga_brca","plssvd",3,"interior",1,4,4,"accuracy",0.822751322751323
"tcga_brca","simpls",7,"interior",1,100,679,"accuracy",0.863756613756614
"tcga_brca","opls",5,"interior",1,100,679,"accuracy",0.80952380952381
"tcga_brca","kernelpls",7,"interior",1,100,679,"accuracy",0.863756613756614
"tcga_hnsc_methylation","plssvd",1,"rank_limited",1,1,1,"accuracy",0.984615384615385
"tcga_hnsc_methylation","simpls",2,"interior",1,100,467,"accuracy",0.988461538461539
"tcga_hnsc_methylation","opls",1,"lower_grid_boundary",1,100,467,"accuracy",0.988461538461539
"tcga_hnsc_methylation","kernelpls",2,"interior",1,100,467,"accuracy",0.988461538461539
"tcga_pan_cancer","plssvd",30,"interior",1,31,31,"accuracy",0.892333333333333
"tcga_pan_cancer","simpls",185,"interior",1,200,850,"accuracy",0.939333333333333
"tcga_pan_cancer","opls",182,"interior",1,200,850,"accuracy",0.939333333333333
"tcga_pan_cancer","kernelpls",185,"interior",1,200,850,"accuracy",0.939333333333333
