"scenario_id","design_partition","factor_name","factor_value","task_type","route","backend","svd_method","xprod_requested","xprod_used","requested_oversample","requested_power","rsvd_control_profile","direction_rule","directions_per_solve","candidate_block_refresh","fresh_start","refresh_width","refresh_iterations","effective_oversample","effective_power","n_train","n_test","p","q","class_count","latent_rank","max_ncomp","requested_prefixes","crosscov_mb","median_fit_sec","iqr_fit_sec","median_prediction_sec","iqr_prediction_sec","median_total_sec","iqr_total_sec","median_incremental_rss_mb","median_process_peak_rss_mb","median_gpu_process_peak_mb","median_model_size_mb","median_prediction_relative_error","min_prediction_correlation","min_label_agreement","median_metric_absolute_difference","numerical_failures","completed_runs"
"35_class_count_5","one_factor","class_count",5,"classification","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,400,5,5,20,4,1,0.0152587890625,0.01,0.000499999999999999,0.002,0,0.012,5e-04,6.78100000000001,232.156,NA,0.0528106689453125,0,1,1,0,0,3
"35_class_count_5","one_factor","class_count",5,"classification","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,5,5,20,4,1,0.0152587890625,0.011,5e-04,0.002,0,0.013,0.000499999999999999,6.70287500000001,227.031,NA,0.0578994750976562,NA,NA,1,0,0,3
"35_class_count_5","one_factor","class_count",5,"classification","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,5,5,20,4,1,0.0152587890625,0.0589999999999999,0.00850000000000006,0.005,5e-04,0.064,0.00800000000000005,21.17225,248.141,NA,0.12506103515625,NA,NA,1,0,0,3
"36_class_count_10","one_factor","class_count",10,"classification","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,400,10,10,20,4,1,0.030517578125,0.012,5e-04,0.002,5e-04,0.013,5e-04,6.90649999999999,236.969,NA,0.0701751708984375,0,1,1,0,0,3
"36_class_count_10","one_factor","class_count",10,"classification","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,10,10,20,4,1,0.030517578125,0.015,5e-04,0.002,5e-04,0.016,5e-04,12.875,240.25,NA,0.0752639770507812,NA,NA,1,0,0,3
"36_class_count_10","one_factor","class_count",10,"classification","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,10,10,20,4,1,0.030517578125,0.0579999999999999,0.0025,0.006,0.001,0.063,0.00200000000000005,18.531125,243.719,NA,0.141044616699219,NA,NA,1,0,0,3
"37_class_count_25","one_factor","class_count",25,"classification","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,400,25,25,20,4,1,0.0762939453125,0.016,5e-04,0.003,5e-04,0.019,0.001,13.328375,237.344,NA,0.122245788574219,0,1,1,0,0,3
"37_class_count_25","one_factor","class_count",25,"classification","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,25,25,20,4,1,0.0762939453125,0.03,0.001,0.002,5e-04,0.032,5e-04,6.890625,234.375,NA,0.127334594726562,NA,NA,1,0,0,3
"37_class_count_25","one_factor","class_count",25,"classification","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,25,25,20,4,1,0.0762939453125,0.065,0.0035,0.004,5e-04,0.069,0.003,20.984625,247.594,NA,0.188674926757812,NA,NA,1,0,0,3
"38_class_count_50","one_factor","class_count",50,"classification","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,400,50,50,20,4,1,0.152587890625,0.025,0.001,0.004,0,0.029,0.000999999999999997,13.031625,238.891,NA,0.213386535644531,0,1,1,0,0,3
