"run_id","scenario_id","factor_name","design_partition","factor_value","task_type","n_train","n_test","p","q","latent_rank","class_count","max_ncomp","requested_prefixes","route","backend","svd_method","xprod","requested_oversample","requested_power","replicate","reference"
"01_n_500__cpu_irlba_explicit__rep1","01_n_500","n","one_factor",500,"regression",500,100,400,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"01_n_500__cuda_rsvd_auto__rep1","01_n_500","n","one_factor",500,"regression",500,100,400,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"01_n_500__cpu_irlba_explicit__rep2","01_n_500","n","one_factor",500,"regression",500,100,400,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"01_n_500__cuda_rsvd_auto__rep2","01_n_500","n","one_factor",500,"regression",500,100,400,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"01_n_500__cpu_irlba_explicit__rep3","01_n_500","n","one_factor",500,"regression",500,100,400,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"01_n_500__cuda_rsvd_auto__rep3","01_n_500","n","one_factor",500,"regression",500,100,400,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"02_n_1000__cpu_irlba_explicit__rep1","02_n_1000","n","one_factor",1000,"regression",1000,200,400,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"02_n_1000__cuda_rsvd_auto__rep1","02_n_1000","n","one_factor",1000,"regression",1000,200,400,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"02_n_1000__cpu_irlba_explicit__rep2","02_n_1000","n","one_factor",1000,"regression",1000,200,400,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"02_n_1000__cuda_rsvd_auto__rep2","02_n_1000","n","one_factor",1000,"regression",1000,200,400,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"02_n_1000__cpu_irlba_explicit__rep3","02_n_1000","n","one_factor",1000,"regression",1000,200,400,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"02_n_1000__cuda_rsvd_auto__rep3","02_n_1000","n","one_factor",1000,"regression",1000,200,400,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"03_n_2000__cpu_irlba_explicit__rep1","03_n_2000","n","one_factor",2000,"regression",2000,400,400,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"03_n_2000__cuda_rsvd_auto__rep1","03_n_2000","n","one_factor",2000,"regression",2000,400,400,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"03_n_2000__cpu_irlba_explicit__rep2","03_n_2000","n","one_factor",2000,"regression",2000,400,400,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"03_n_2000__cuda_rsvd_auto__rep2","03_n_2000","n","one_factor",2000,"regression",2000,400,400,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"03_n_2000__cpu_irlba_explicit__rep3","03_n_2000","n","one_factor",2000,"regression",2000,400,400,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"03_n_2000__cuda_rsvd_auto__rep3","03_n_2000","n","one_factor",2000,"regression",2000,400,400,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"04_n_5000__cpu_irlba_explicit__rep1","04_n_5000","n","one_factor",5000,"regression",5000,1000,400,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"04_n_5000__cuda_rsvd_auto__rep1","04_n_5000","n","one_factor",5000,"regression",5000,1000,400,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"04_n_5000__cpu_irlba_explicit__rep2","04_n_5000","n","one_factor",5000,"regression",5000,1000,400,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"04_n_5000__cuda_rsvd_auto__rep2","04_n_5000","n","one_factor",5000,"regression",5000,1000,400,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"04_n_5000__cpu_irlba_explicit__rep3","04_n_5000","n","one_factor",5000,"regression",5000,1000,400,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"04_n_5000__cuda_rsvd_auto__rep3","04_n_5000","n","one_factor",5000,"regression",5000,1000,400,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"05_n_10000__cpu_irlba_explicit__rep1","05_n_10000","n","one_factor",10000,"regression",10000,2000,400,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"05_n_10000__cuda_rsvd_auto__rep1","05_n_10000","n","one_factor",10000,"regression",10000,2000,400,100,30,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
