"run_id","package_version","source_archive_sha256","cpu_profile","requested_blas_threads","reported_blas_threads","loaded_blas_library","scenario_id","design_partition","factor_name","factor_value","factor_label","task_type","method","route","backend","svd_method","xprod_requested","xprod_used","precision","n_train","n_test","p","q","class_count","latent_rank","max_ncomp","requested_prefixes","crosscov_mb","replicate","data_seed","fit_seed","oversample","power","rsvd_control_profile","rsvd_case_audit_available","rsvd_case_audit_certified","rsvd_deterministic_fallbacks","rsvd_audit_max_attempts","rsvd_effective_oversample","rsvd_effective_power","rsvd_max_triplet_residual","rsvd_max_omitted_direction_ratio","direction_rule","directions_per_solve","candidate_block_refresh","fresh_start","refresh_width","refresh_iterations","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","process_peak_rss_mb","incremental_peak_rss_mb","gpu_process_peak_mb","gpu_total_baseline_mb","gpu_total_peak_mb","gpu_total_incremental_mb","fit_sec","prediction_sec","total_sec","model_size_mb","input_size_mb","rmsd","q2","accuracy","prediction_relative_error","prediction_correlation","label_agreement","score_relative_error","score_correlation","metric_absolute_difference","numerical_status","status","warnings","error"
"35_class_count_5__cpu_irlba_explicit__rep1","0.99.39",NA,"concurrent_numerical_reference",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","35_class_count_5","one_factor","class_count",5,5,"classification","simpls","cpu_irlba_explicit","cpu","irlba","explicit",FALSE,"float64",2000,400,400,5,5,20,4,1,0.0152587890625,1,10035,124,32,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fresh_per_component",1,FALSE,TRUE,NA,NA,378.53125,392.60546875,392.60546875,393.078,14.54675,NA,1152,1152,0,0.018,0.003,0.021,0.0528106689453125,7.33570861816406,NA,NA,0.67,0,1,1,0,1,0,"deterministic_reference","success",NA,NA
"35_class_count_5__cpu_irlba_explicit__rep2","0.99.39",NA,"concurrent_numerical_reference",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","35_class_count_5","one_factor","class_count",5,5,"classification","simpls","cpu_irlba_explicit","cpu","irlba","explicit",FALSE,"float64",2000,400,400,5,5,20,4,1,0.0152587890625,2,10035,125,32,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fresh_per_component",1,FALSE,TRUE,NA,NA,378.41796875,392.4921875,392.4921875,392.965,14.54703125,NA,1152,1152,0,0.02,0.003,0.023,0.0528106689453125,7.33570861816406,NA,NA,0.67,0,1,1,0,1,0,"deterministic_reference","success",NA,NA
"35_class_count_5__cpu_irlba_explicit__rep3","0.99.39",NA,"concurrent_numerical_reference",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","35_class_count_5","one_factor","class_count",5,5,"classification","simpls","cpu_irlba_explicit","cpu","irlba","explicit",FALSE,"float64",2000,400,400,5,5,20,4,1,0.0152587890625,3,10035,126,32,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fresh_per_component",1,FALSE,TRUE,NA,NA,378.48828125,392.5625,392.5625,393.035,14.54671875,NA,1152,1152,0,0.018,0.002,0.02,0.0528106689453125,7.33570861816406,NA,NA,0.67,0,1,1,0,1,0,"deterministic_reference","success",NA,NA
"35_class_count_5__cuda_rsvd_auto__rep1","0.99.39",NA,"concurrent_numerical_reference",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","35_class_count_5","one_factor","class_count",5,5,"classification","simpls","cuda_rsvd_auto","cuda","rsvd","auto",FALSE,"float64",2000,400,400,5,5,20,4,1,0.0152587890625,1,10035,124,NA,NA,"ordinary_fast",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,382.953125,733.765625,733.765625,733.766,350.812875,202,1152,1362,210,0.252,0.00300000000000011,0.255,0.0582046508789062,7.33570861816406,NA,NA,0.67,NA,NA,1,1.63861086319537e-15,1,0,"within_tolerance","success",NA,NA
"35_class_count_5__cuda_rsvd_auto__rep2","0.99.39",NA,"concurrent_numerical_reference",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","35_class_count_5","one_factor","class_count",5,5,"classification","simpls","cuda_rsvd_auto","cuda","rsvd","auto",FALSE,"float64",2000,400,400,5,5,20,4,1,0.0152587890625,2,10035,125,NA,NA,"ordinary_fast",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,382.8984375,733.73828125,733.73828125,733.738,350.8395625,202,1152,1362,210,0.252,0.004,0.256,0.0582046508789062,7.33570861816406,NA,NA,0.67,NA,NA,1,1.48664040832692e-15,1,0,"within_tolerance","success",NA,NA
"35_class_count_5__cuda_rsvd_auto__rep3","0.99.39",NA,"concurrent_numerical_reference",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","35_class_count_5","one_factor","class_count",5,5,"classification","simpls","cuda_rsvd_auto","cuda","rsvd","auto",FALSE,"float64",2000,400,400,5,5,20,4,1,0.0152587890625,3,10035,126,NA,NA,"ordinary_fast",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,382.96875,733.7890625,733.7890625,733.789,350.82025,202,1152,1362,210,0.248,0.00300000000000011,0.251,0.0582046508789062,7.33570861816406,NA,NA,0.67,NA,NA,1,1.60789152145862e-15,1,0,"within_tolerance","success",NA,NA
"36_class_count_10__cpu_irlba_explicit__rep1","0.99.39",NA,"concurrent_numerical_reference",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","36_class_count_10","one_factor","class_count",10,10,"classification","simpls","cpu_irlba_explicit","cpu","irlba","explicit",FALSE,"float64",2000,400,400,10,10,20,4,1,0.030517578125,1,10036,124,32,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fresh_per_component",1,FALSE,TRUE,NA,NA,378.90234375,393.0078125,393.0078125,393.449,14.54665625,NA,1152,1152,0,0.021,0.00300000000000011,0.0240000000000001,0.0701751708984375,7.33639526367188,NA,NA,0.4575,0,1,1,0,1,0,"deterministic_reference","success",NA,NA
"36_class_count_10__cpu_irlba_explicit__rep2","0.99.39",NA,"concurrent_numerical_reference",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","36_class_count_10","one_factor","class_count",10,10,"classification","simpls","cpu_irlba_explicit","cpu","irlba","explicit",FALSE,"float64",2000,400,400,10,10,20,4,1,0.030517578125,2,10036,125,32,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fresh_per_component",1,FALSE,TRUE,NA,NA,378.8984375,392.9921875,392.9921875,393.445,14.5465625,NA,1152,1152,0,0.021,0.003,0.024,0.0701751708984375,7.33639526367188,NA,NA,0.4575,0,1,1,0,1,0,"deterministic_reference","success",NA,NA
"36_class_count_10__cpu_irlba_explicit__rep3","0.99.39",NA,"concurrent_numerical_reference",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","36_class_count_10","one_factor","class_count",10,10,"classification","simpls","cpu_irlba_explicit","cpu","irlba","explicit",FALSE,"float64",2000,400,400,10,10,20,4,1,0.030517578125,3,10036,126,32,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fresh_per_component",1,FALSE,TRUE,NA,NA,378.80078125,392.87890625,392.87890625,393.348,14.54721875,NA,1152,1152,0,0.021,0.003,0.024,0.0701751708984375,7.33639526367188,NA,NA,0.4575,0,1,1,0,1,0,"deterministic_reference","success",NA,NA
"36_class_count_10__cuda_rsvd_auto__rep1","0.99.39",NA,"concurrent_numerical_reference",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","36_class_count_10","one_factor","class_count",10,10,"classification","simpls","cuda_rsvd_auto","cuda","rsvd","auto",FALSE,"float64",2000,400,400,10,10,20,4,1,0.030517578125,1,10036,124,NA,NA,"ordinary_fast",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,383.35546875,734.23828125,734.2421875,734.238,350.88253125,202,1152,1362,210,0.247,0.004,0.251,0.0755691528320312,7.33639526367188,NA,NA,0.4575,NA,NA,1,3.08120826546049e-06,0.999999999992632,0,"within_tolerance","success",NA,NA
