"scenario_id","design_partition","factor_name","factor_value","task_type","route","backend","svd_method","xprod_requested","xprod_used","requested_oversample","requested_power","rsvd_control_profile","direction_rule","directions_per_solve","candidate_block_refresh","fresh_start","refresh_width","refresh_iterations","effective_oversample","effective_power","n_train","n_test","p","q","class_count","latent_rank","max_ncomp","requested_prefixes","crosscov_mb","median_fit_sec","iqr_fit_sec","median_prediction_sec","iqr_prediction_sec","median_total_sec","iqr_total_sec","median_incremental_rss_mb","median_process_peak_rss_mb","median_gpu_process_peak_mb","median_model_size_mb","median_prediction_relative_error","min_prediction_correlation","min_label_agreement","median_metric_absolute_difference","numerical_failures","completed_runs"
"35_class_count_5","one_factor","class_count",5,"classification","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,400,5,5,20,4,1,0.0152587890625,0.018,0.001,0.003,5e-04,0.021,0.0015,14.54675,393.035,NA,0.0528106689453125,0,1,1,0,0,3
"35_class_count_5","one_factor","class_count",5,"classification","cuda_rsvd_auto","cuda","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,5,5,20,4,1,0.0152587890625,0.252,0.002,0.00300000000000011,0.000499999999999945,0.255,0.0025,350.82025,733.766,202,0.0582046508789062,NA,NA,1,0,0,3
"36_class_count_10","one_factor","class_count",10,"classification","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,400,10,10,20,4,1,0.030517578125,0.021,0,0.003,5.46437894932694e-17,0.024,4.85722573273506e-17,14.54665625,393.445,NA,0.0701751708984375,0,1,1,0,0,3
"36_class_count_10","one_factor","class_count",10,"classification","cuda_rsvd_auto","cuda","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,10,10,20,4,1,0.030517578125,0.252,0.0045,0.004,0.000499999999999945,0.256,0.004,350.867625,734.113,202,0.0755691528320312,NA,NA,1,0,0,3
"37_class_count_25","one_factor","class_count",25,"classification","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,400,25,25,20,4,1,0.0762939453125,0.027,5e-04,0.00499999999999989,0.000499999999999945,0.0310000000000001,0.000500000000000049,14.54675,394.535,NA,0.122245788574219,0,1,1,0,0,3
"37_class_count_25","one_factor","class_count",25,"classification","cuda_rsvd_auto","cuda","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,25,25,20,4,1,0.0762939453125,0.255,0.002,0.00600000000000001,0.000499999999999946,0.261,0.0025,364.2145625,748.641,202,0.127639770507812,NA,NA,1,0,0,3
"38_class_count_50","one_factor","class_count",50,"classification","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,400,50,50,20,4,1,0.152587890625,0.037,0.00149999999999995,0.0069999999999999,0,0.0439999999999999,0.00149999999999995,14.54696875,395.879,NA,0.213386535644531,0,1,1,0,0,3
"38_class_count_50","one_factor","class_count",50,"classification","cuda_rsvd_auto","cuda","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,50,50,20,4,1,0.152587890625,0.26,0.001,0.0069999999999999,1.09287578986539e-16,0.267,0.001,365.73096875,751.438,204,0.218780517578125,NA,NA,1,0,0,3
"39_class_count_100","one_factor","class_count",100,"classification","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,400,100,100,20,4,1,0.30517578125,0.0549999999999999,5e-04,0.012,0.001,0.0659999999999999,0.001,14.54709375,398.645,NA,0.4100341796875,0,1,1,0,0,3
"39_class_count_100","one_factor","class_count",100,"classification","cuda_rsvd_auto","cuda","rsvd","auto","FALSE",NA,NA,"sparse_high_class_stable","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,64,7,2000,400,400,100,100,20,4,1,0.30517578125,0.284,0.0045,0.0069999999999999,1.09287578986539e-16,0.291,0.0045,365.2813125,753.836,208,0.415443420410156,NA,NA,1,0,0,3
