"run_id","scenario_id","factor_name","design_partition","factor_value","task_type","n_train","n_test","p","q","latent_rank","class_count","max_ncomp","requested_prefixes","route","backend","svd_method","xprod","requested_oversample","requested_power","replicate","reference"
"01_n_500__cpu_irlba_explicit__rep1","01_n_500","n","one_factor",500,"regression",500,100,400,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"01_n_500__cpu_rsvd_auto__rep1","01_n_500","n","one_factor",500,"regression",500,100,400,100,30,NA,20,1,"cpu_rsvd_auto","cpu","rsvd","auto",NA,NA,1,FALSE
"01_n_500__metal_rsvd_auto__rep1","01_n_500","n","one_factor",500,"regression",500,100,400,100,30,NA,20,1,"metal_rsvd_auto","metal","rsvd","auto",NA,NA,1,FALSE
"02_n_2000__cpu_irlba_explicit__rep1","02_n_2000","n","one_factor",2000,"regression",2000,400,400,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"02_n_2000__cpu_rsvd_auto__rep1","02_n_2000","n","one_factor",2000,"regression",2000,400,400,100,30,NA,20,1,"cpu_rsvd_auto","cpu","rsvd","auto",NA,NA,1,FALSE
"02_n_2000__metal_rsvd_auto__rep1","02_n_2000","n","one_factor",2000,"regression",2000,400,400,100,30,NA,20,1,"metal_rsvd_auto","metal","rsvd","auto",NA,NA,1,FALSE
"03_p_100__cpu_irlba_explicit__rep1","03_p_100","p","one_factor",100,"regression",2000,400,100,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"03_p_100__cpu_rsvd_auto__rep1","03_p_100","p","one_factor",100,"regression",2000,400,100,100,30,NA,20,1,"cpu_rsvd_auto","cpu","rsvd","auto",NA,NA,1,FALSE
"03_p_100__metal_rsvd_auto__rep1","03_p_100","p","one_factor",100,"regression",2000,400,100,100,30,NA,20,1,"metal_rsvd_auto","metal","rsvd","auto",NA,NA,1,FALSE
"04_p_1000__cpu_irlba_explicit__rep1","04_p_1000","p","one_factor",1000,"regression",2000,400,1000,100,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"04_p_1000__cpu_rsvd_auto__rep1","04_p_1000","p","one_factor",1000,"regression",2000,400,1000,100,30,NA,20,1,"cpu_rsvd_auto","cpu","rsvd","auto",NA,NA,1,FALSE
"04_p_1000__metal_rsvd_auto__rep1","04_p_1000","p","one_factor",1000,"regression",2000,400,1000,100,30,NA,20,1,"metal_rsvd_auto","metal","rsvd","auto",NA,NA,1,FALSE
"05_q_25__cpu_irlba_explicit__rep1","05_q_25","q","one_factor",25,"regression",2000,400,400,25,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"05_q_25__cpu_rsvd_auto__rep1","05_q_25","q","one_factor",25,"regression",2000,400,400,25,30,NA,20,1,"cpu_rsvd_auto","cpu","rsvd","auto",NA,NA,1,FALSE
"05_q_25__metal_rsvd_auto__rep1","05_q_25","q","one_factor",25,"regression",2000,400,400,25,30,NA,20,1,"metal_rsvd_auto","metal","rsvd","auto",NA,NA,1,FALSE
"06_q_500__cpu_irlba_explicit__rep1","06_q_500","q","one_factor",500,"regression",2000,400,400,500,30,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"06_q_500__cpu_rsvd_auto__rep1","06_q_500","q","one_factor",500,"regression",2000,400,400,500,30,NA,20,1,"cpu_rsvd_auto","cpu","rsvd","auto",NA,NA,1,FALSE
"06_q_500__metal_rsvd_auto__rep1","06_q_500","q","one_factor",500,"regression",2000,400,400,500,30,NA,20,1,"metal_rsvd_auto","metal","rsvd","auto",NA,NA,1,FALSE
