"run_id","package_version","source_archive_sha256","cpu_profile","requested_blas_threads","reported_blas_threads","loaded_blas_library","scenario_id","design_partition","factor_name","factor_value","factor_label","task_type","method","route","backend","svd_method","xprod_requested","xprod_used","precision","n_train","n_test","p","q","class_count","latent_rank","max_ncomp","requested_prefixes","crosscov_mb","replicate","data_seed","fit_seed","oversample","power","rsvd_control_profile","rsvd_case_audit_available","rsvd_case_audit_certified","rsvd_deterministic_fallbacks","rsvd_audit_max_attempts","rsvd_effective_oversample","rsvd_effective_power","rsvd_max_triplet_residual","rsvd_max_omitted_direction_ratio","direction_rule","directions_per_solve","candidate_block_refresh","fresh_start","refresh_width","refresh_iterations","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","process_peak_rss_mb","incremental_peak_rss_mb","gpu_process_peak_mb","gpu_total_baseline_mb","gpu_total_peak_mb","gpu_total_incremental_mb","fit_sec","prediction_sec","total_sec","model_size_mb","input_size_mb","rmsd","q2","accuracy","prediction_relative_error","prediction_correlation","label_agreement","score_relative_error","score_correlation","metric_absolute_difference","numerical_status","status","warnings","error"
"13_class_count_5__cpu_irlba_explicit__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","13_class_count_5","one_factor","class_count",5,5,"classification","simpls","cpu_irlba_explicit","cpu","irlba","explicit",FALSE,"float64",2000,400,400,5,5,20,4,1,0.0152587890625,1,10013,124,32,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fresh_per_component",1,FALSE,TRUE,NA,NA,225.3125,232.078125,232.15625,232.078,6.7655,NA,NA,NA,NA,0.00900000000000001,0.001,0.01,0.0528106689453125,7.33570861816406,NA,NA,0.65,0,1,1,0,1,0,"deterministic_reference","success",NA,NA
"13_class_count_5__cpu_rsvd_auto__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","13_class_count_5","one_factor","class_count",5,5,"classification","simpls","cpu_rsvd_auto","cpu","rsvd","auto",FALSE,"float64",2000,400,400,5,5,20,4,1,0.0152587890625,1,10013,124,NA,NA,"ordinary_fast",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,228.671875,235.421875,235.5,235.422,6.750125,NA,NA,NA,NA,0.011,0.002,0.013,0.0578994750976562,7.33570861816406,NA,NA,0.65,NA,NA,1,7.5924326800441e-16,1,0,"within_tolerance","success",NA,NA
"13_class_count_5__metal_rsvd_auto__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","13_class_count_5","one_factor","class_count",5,5,"classification","simpls","metal_rsvd_auto","metal","rsvd","auto",FALSE,"float64",2000,400,400,5,5,20,4,1,0.0152587890625,1,10013,124,NA,NA,"ordinary_fast",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,231.453125,247.375,247.734375,247.734,16.280875,NA,NA,NA,NA,0.056,0.006,0.062,0.12506103515625,7.33570861816406,NA,NA,0.65,NA,NA,1,1.0654757414861e-07,0.99999999999999,0,"within_tolerance","success",NA,NA
"14_class_count_50__cpu_irlba_explicit__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","14_class_count_50","one_factor","class_count",50,50,"classification","simpls","cpu_irlba_explicit","cpu","irlba","explicit",FALSE,"float64",2000,400,400,50,50,20,4,1,0.152587890625,1,10014,124,32,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fresh_per_component",1,FALSE,TRUE,NA,NA,223.53125,236.578125,236.6875,236.672,13.14075,NA,NA,NA,NA,0.025,0.004,0.029,0.213386535644531,7.3411865234375,NA,NA,0.1725,0,1,1,0,1,0,"deterministic_reference","success",NA,NA
"14_class_count_50__cpu_rsvd_auto__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","14_class_count_50","one_factor","class_count",50,50,"classification","simpls","cpu_rsvd_auto","cpu","rsvd","auto",FALSE,"float64",2000,400,400,50,50,20,4,1,0.152587890625,1,10014,124,NA,NA,"ordinary_fast",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,226.890625,227.8125,227.890625,227.812,0.921375000000012,NA,NA,NA,NA,0.054,0.004,0.058,0.218475341796875,7.3411865234375,NA,NA,0.1725,NA,NA,1,3.80711588556647e-06,0.999999999990441,0,"within_tolerance","success",NA,NA
"14_class_count_50__metal_rsvd_auto__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","14_class_count_50","one_factor","class_count",50,50,"classification","simpls","metal_rsvd_auto","metal","rsvd","auto",FALSE,"float64",2000,400,400,50,50,20,4,1,0.152587890625,1,10014,124,NA,NA,"ordinary_fast",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,226.75,246.5,246.53125,246.641,19.891,NA,NA,NA,NA,0.062,0.005,0.067,0.268211364746094,7.3411865234375,NA,NA,0.1725,NA,NA,1,2.7021437408418e-06,0.999999999995186,0,"within_tolerance","success",NA,NA
"15_crosscov_mb_4_0__cpu_irlba_explicit__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","15_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,4,"regression","simpls","cpu_irlba_explicit","cpu","irlba","explicit",FALSE,"float64",1500,300,1000,524,NA,20,10,1,3.997802734375,1,10015,124,32,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fresh_per_component",1,FALSE,TRUE,NA,NA,257.46875,297.625,297.703125,298.266,40.79725,NA,NA,NA,NA,0.467,0.0489999999999999,0.516,4.14591217041016,20.9302520751953,0.822214214420182,0.329465196766159,NA,0,1,NA,NA,NA,0,"deterministic_reference","success",NA,NA
"15_crosscov_mb_4_0__cpu_rsvd_auto__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","15_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,4,"regression","simpls","cpu_rsvd_auto","cpu","rsvd","auto",FALSE,"float64",1500,300,1000,524,NA,20,10,1,3.997802734375,1,10015,124,NA,NA,"high_response_stable",FALSE,NA,NA,NA,48,6,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,263.0625,299.734375,299.8125,299.812,36.7495,NA,NA,NA,NA,2.917,0.0489999999999999,2.966,4.15101623535156,20.9302520751953,0.82221309013958,0.329467030518825,NA,8.93134266591747e-05,0.99999999601529,NA,NA,NA,1.12428060183856e-06,"within_tolerance","success",NA,NA
"15_crosscov_mb_4_0__cpu_rsvd_explicit__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","15_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,4,"regression","simpls","cpu_rsvd_explicit","cpu","rsvd","explicit",FALSE,"float64",1500,300,1000,524,NA,20,10,1,3.997802734375,1,10015,124,32,5,"explicit",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,257.515625,293.59375,293.6875,293.656,36.140375,NA,NA,NA,NA,1.732,0.0489999999999999,1.781,4.1510009765625,20.9302520751953,0.82221309013958,0.329467030518826,NA,8.93134266601232e-05,0.99999999601529,NA,NA,NA,1.12428060183856e-06,"within_tolerance","success",NA,NA
"15_crosscov_mb_4_0__cpu_rsvd_implicit__rep1","0.99.39",NA,"reference_1",1,1,"/Library/Frameworks/R.framework/Versions/4.6/Resources/lib/libRblas.0.dylib","15_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,4,"regression","simpls","cpu_rsvd_implicit","cpu","rsvd","implicit",TRUE,"float64",1500,300,1000,524,NA,20,10,1,3.997802734375,1,10015,124,32,5,"explicit",FALSE,NA,NA,NA,32,5,NA,NA,"fresh_oversampled_sketch_per_component",1,FALSE,TRUE,NA,NA,262.8125,271.796875,271.890625,271.875,9.0625,NA,NA,NA,NA,6.189,0.048,6.237,4.15129089355469,20.9302520751953,0.82221309013958,0.329467030518826,NA,8.93134266788552e-05,0.999999996015291,NA,NA,NA,1.12428060217162e-06,"within_tolerance","success",NA,NA
