"scenario_id","design_partition","factor_name","factor_value","task_type","route","backend","svd_method","xprod_requested","xprod_used","requested_oversample","requested_power","rsvd_control_profile","direction_rule","directions_per_solve","candidate_block_refresh","fresh_start","refresh_width","refresh_iterations","effective_oversample","effective_power","n_train","n_test","p","q","class_count","latent_rank","max_ncomp","requested_prefixes","crosscov_mb","median_fit_sec","iqr_fit_sec","median_prediction_sec","iqr_prediction_sec","median_total_sec","iqr_total_sec","median_incremental_rss_mb","median_process_peak_rss_mb","median_gpu_process_peak_mb","median_model_size_mb","median_prediction_relative_error","min_prediction_correlation","min_label_agreement","median_metric_absolute_difference","numerical_failures","completed_runs"
"13_class_count_5","one_factor","class_count",5,"classification","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,400,5,5,20,4,1,0.0152587890625,0.00900000000000001,0,0.001,0,0.01,0,6.7655,232.078,NA,0.0528106689453125,0,1,1,0,0,1
"13_class_count_5","one_factor","class_count",5,"classification","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,5,5,20,4,1,0.0152587890625,0.011,0,0.002,0,0.013,0,6.750125,235.422,NA,0.0578994750976562,NA,NA,1,0,0,1
"13_class_count_5","one_factor","class_count",5,"classification","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,5,5,20,4,1,0.0152587890625,0.056,0,0.006,0,0.062,0,16.280875,247.734,NA,0.12506103515625,NA,NA,1,0,0,1
"14_class_count_50","one_factor","class_count",50,"classification","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,2000,400,400,50,50,20,4,1,0.152587890625,0.025,0,0.004,0,0.029,0,13.14075,236.672,NA,0.213386535644531,0,1,1,0,0,1
"14_class_count_50","one_factor","class_count",50,"classification","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,50,50,20,4,1,0.152587890625,0.054,0,0.004,0,0.058,0,0.921375000000012,227.812,NA,0.218475341796875,NA,NA,1,0,0,1
"14_class_count_50","one_factor","class_count",50,"classification","metal_rsvd_auto","metal","rsvd","auto","FALSE",NA,NA,"ordinary_fast","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,2000,400,400,50,50,20,4,1,0.152587890625,0.062,0,0.005,0,0.067,0,19.891,246.641,NA,0.268211364746094,NA,NA,1,0,0,1
"15_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,"regression","cpu_irlba_explicit","cpu","irlba","explicit","FALSE",32,5,NA,"fresh_per_component",1,"FALSE","TRUE",NA,NA,NA,NA,1500,300,1000,524,NA,20,10,1,3.997802734375,0.467,0,0.0489999999999999,0,0.516,0,40.79725,298.266,NA,4.14591217041016,0,1,NA,0,0,1
"15_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,"regression","cpu_rsvd_auto","cpu","rsvd","auto","FALSE",NA,NA,"high_response_stable","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,48,6,1500,300,1000,524,NA,20,10,1,3.997802734375,2.917,0,0.0489999999999999,0,2.966,0,36.7495,299.812,NA,4.15101623535156,8.93134266591747e-05,0.99999999601529,NA,1.12428060183856e-06,0,1
"15_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,"regression","cpu_rsvd_explicit","cpu","rsvd","explicit","FALSE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,524,NA,20,10,1,3.997802734375,1.732,0,0.0489999999999999,0,1.781,0,36.140375,293.656,NA,4.1510009765625,8.93134266601232e-05,0.99999999601529,NA,1.12428060183856e-06,0,1
"15_crosscov_mb_4_0","one_factor","crosscov_mb",3.997802734375,"regression","cpu_rsvd_implicit","cpu","rsvd","implicit","TRUE",32,5,"explicit","fresh_oversampled_sketch_per_component",1,"FALSE","TRUE",NA,NA,32,5,1500,300,1000,524,NA,20,10,1,3.997802734375,6.189,0,0.048,0,6.237,0,9.0625,271.875,NA,4.15129089355469,8.93134266788552e-05,0.999999996015291,NA,1.12428060217162e-06,0,1
