"dataset","comparison_profile","implementation","repetitions_completed","median_process_peak_rss_mb","iqr_process_peak_rss_mb","median_prefit_process_rss_mb","iqr_prefit_process_rss_mb","median_baseline_corrected_peak_increment_mb","iqr_baseline_corrected_peak_increment_mb","median_final_process_rss_mb","median_fit_object_mb","median_coefficient_path_mb","median_score_outputs_mb","median_loading_outputs_mb","median_fitted_outputs_mb","theoretical_cross_covariance_mb","theoretical_final_coefficient_mb","theoretical_coefficient_path_mb","theoretical_fitted_path_mb","theoretical_residual_path_mb","theoretical_train_scores_mb","theoretical_test_scores_mb","theoretical_largest_retained_name","theoretical_largest_retained_mb"
"ccle","complete_workflow","fastpls",50,511.5078125,0,400.41015625,0,111.09765625,0,444.28125,0.392913818359375,0.137542724609375,0,0,0,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625
"cifar100","complete_workflow","fastpls",10,2995.57421875,0,1917.05859375,0,1078.515625,0,2155.86328125,2.53443908691406,0.586151123046875,0,0,0,0.5859375,0.5859375,154.1015625,10032.6538085938,10032.6538085938,100.326538085938,7.62939453125,"final coefficient matrix (p x q)",0.5859375
"gtex_v8","complete_workflow","fastpls",30,680.421875,0,435.23828125,0,245.18359375,0,613.0625,1.86763000488281,0.244354248046875,0,0,0,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"final coefficient matrix (p x q)",0.244140625
"metref","complete_workflow","fastpls",50,505.71484375,0,401.828125,0,103.88671875,0,438.37109375,0.503463745117188,0.0631561279296875,0,0,0,0.0629425048828125,0.0629425048828125,7.42721557617188,15.3099670410156,15.3099670410156,0.695907592773438,0.01678466796875,"final coefficient matrix (p x q)",0.0629425048828125
"retina","complete_workflow","fastpls",50,614.0859375,0,447.68359375,0,166.40234375,0,546.69140625,0.057281494140625,0.004791259765625,0,0,0,0.00457763671875,0.00457763671875,0.1373291015625,61.5289306640625,61.5289306640625,5.12741088867188,2.05133056640625,"final coefficient matrix (p x q)",0.00457763671875
"tabula","complete_workflow","fastpls",30,791.953125,0,504.91796875,0,287.03515625,0,724.515625,0.0936737060546875,0.012420654296875,0,0,0,0.01220703125,0.01220703125,0.537109375,537.5712890625,537.5712890625,16.7991027832031,12.221435546875,"final coefficient matrix (p x q)",0.01220703125
"tcga_brca","complete_workflow","fastpls",50,516.296875,0,402.16015625,0,114.13671875,0,448.84765625,0.132392883300781,0.038360595703125,0,0,0,0.03814697265625,0.03814697265625,0.26702880859375,0.201873779296875,0.201873779296875,0.040374755859375,0.00335693359375,"final coefficient matrix (p x q)",0.03814697265625
"tcga_hnsc_methylation","complete_workflow","fastpls",50,502.953125,0,398.3046875,0,104.6484375,0,435.40234375,0.0580978393554688,0.01214599609375,0,0,0,0.011932373046875,0.011932373046875,0.02386474609375,0.015869140625,0.015869140625,0.0079345703125,0.000885009765625,"final coefficient matrix (p x q)",0.011932373046875
"tcga_pan_cancer","complete_workflow","fastpls",30,668.65234375,0,432.55078125,0,236.1015625,0,601.41015625,1.57804870605469,0.207733154296875,0,0,0,0.20751953125,0.20751953125,38.39111328125,135.498046875,135.498046875,4.23431396484375,0.23974609375,"final coefficient matrix (p x q)",0.20751953125
"ccle","estimator_kernel","fastpls",50,509.16015625,0,400.90625,0,108.25390625,0,441.44921875,3.80620574951172,3.57077026367188,0,0,0,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"coefficient path (p x q x A)",3.570556640625
"cifar100","estimator_kernel","fastpls",10,2978.09765625,0,1915.875,0,1062.22265625,0,2224.0859375,155.916854858398,154.101776123047,0,0,0,0.5859375,0.5859375,154.1015625,10032.6538085938,10032.6538085938,100.326538085938,7.62939453125,"coefficient path (p x q x A)",154.1015625
"gtex_v8","estimator_kernel","fastpls",30,719.890625,0,454.35546875,0,265.53515625,0,651.98828125,47.9435882568359,46.3869323730469,0,0,0,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"coefficient path (p x q x A)",46.38671875
