"dataset","comparison_profile","implementation","function_name","package_version","fastpls_source_archive_sha256","estimator","solver","precision","cpu_profile","requested_blas_threads","reported_blas_threads","loaded_blas_library","output_contract","timing_mode","measurement_scope","phase_timing_enabled","runtime_initialization_policy","batch_iterations","iteration","timeout_sec","split_seed","replicate","n_train","n_test","p","q","ncomp","requested_ncomp","effective_ncomp","fit_sec","prediction_sec","total_sec","preprocess_crosscov_sec","estimator_sec","coefficient_path_sec","fitted_values_sec","model_assembly_sec","cpp_total_sec","r_wrapper_fit_overhead_sec","accuracy","fit_object_mb","prediction_object_mb","coefficient_path_mb","score_outputs_mb","loading_outputs_mb","fitted_outputs_mb","variance_outputs_mb","prefit_process_rss_mb","final_process_rss_mb","theoretical_cross_covariance_mb","theoretical_final_coefficient_mb","theoretical_coefficient_path_mb","theoretical_fitted_path_mb","theoretical_residual_path_mb","theoretical_train_scores_mb","theoretical_test_scores_mb","theoretical_largest_retained_name","theoretical_largest_retained_mb","status","warning_message","error_message","process_peak_rss_mb","user_cpu_sec","system_cpu_sec","baseline_corrected_peak_increment_mb"
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,1,10000,123,1,547,71,1000,18,26,26,26,0.0569345951080322,0.00334596633911133,0.0602805614471436,0.005879326,0.024858147,0.000176497,0,5.6717e-05,0.030984815,0.0259497801080322,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,2,10000,123,1,547,71,1000,18,26,26,26,0.05735182762146,0.00125837326049805,0.058610200881958,0.005736469,0.025086362,0.000242812,0,6.053e-05,0.031141432,0.02621039562146,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,3,10000,123,1,547,71,1000,18,26,26,26,0.0514247417449951,0.00142168998718262,0.0528464317321777,0.004642137,0.025045007,0.000189106,0,5.4984e-05,0.029945677,0.0214790647449951,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,4,10000,123,1,547,71,1000,18,26,26,26,0.0504589080810547,0.00163912773132324,0.0520980358123779,0.004502694,0.024458305,0.00017761,0,5.1493e-05,0.029203619,0.0212552890810547,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,5,10000,123,1,547,71,1000,18,26,26,26,0.0589907169342041,0.00164484977722168,0.0606355667114258,0.005436023,0.024569189,0.000174055,0,0.001401959,0.031594359,0.0273963579342041,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,6,10000,123,1,547,71,1000,18,26,26,26,0.0556013584136963,0.00150012969970703,0.0571014881134033,0.005366201,0.024660429,0.000178714,0,5.442e-05,0.030273477,0.0253278814136963,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,7,10000,123,1,547,71,1000,18,26,26,26,0.0506064891815186,0.00148510932922363,0.0520915985107422,0.00475666,0.024294996,0.000175333,0,5.4285e-05,0.029294325,0.0213121641815186,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,8,10000,123,1,547,71,1000,18,26,26,26,0.050541877746582,0.00144600868225098,0.051987886428833,0.005088754,0.024163325,0.000178997,0,5.2601e-05,0.029497696,0.021044181746582,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,9,10000,123,1,547,71,1000,18,26,26,26,0.0590462684631348,0.00141811370849609,0.0604643821716309,0.005833605,0.026251134,0.000181662,0,5.6004e-05,0.032336033,0.0267102354631348,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
"ccle","complete_workflow","fastpls","fastPLS::pls","0.99.39",,"deterministic SIMPLS","IRLBA","float64","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","ordinary public fit object plus final test predictions","steady_process_batch","phase_decomposition",TRUE,"one untimed complete fit and prediction before measured iterations",50,10,10000,123,1,547,71,1000,18,26,26,26,0.0551543235778809,0.00130748748779297,0.0564618110656738,0.005466293,0.02437962,0.000173954,0,5.1486e-05,0.030084388,0.0250699355778809,0.71830985915493,0.392913818359375,0.0019378662109375,0.137542724609375,0,0,0,0.001983642578125,400.41015625,444.28125,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,"success",,,511.5078125,3.67,0.2,111.09765625
