"dataset","comparison_profile","implementation","timing_mode","cpu_profile","measurement_scope","requested_blas_threads","reported_blas_threads","loaded_blas_library","function_name","estimator","solver","output_contract","repetitions_attempted","repetitions_completed","median_fit_sec","iqr_fit_sec","median_prediction_sec","iqr_prediction_sec","median_total_sec","iqr_total_sec","median_preprocess_crosscov_sec","median_estimator_sec","median_coefficient_path_sec","median_fitted_values_sec","median_model_assembly_sec","median_cpp_total_sec","median_r_wrapper_fit_overhead_sec","median_accuracy","median_fit_object_mb","median_process_peak_rss_mb","iqr_process_peak_rss_mb","median_prefit_process_rss_mb","iqr_prefit_process_rss_mb","median_baseline_corrected_peak_increment_mb","iqr_baseline_corrected_peak_increment_mb","median_final_process_rss_mb","median_coefficient_path_mb","median_score_outputs_mb","median_loading_outputs_mb","median_fitted_outputs_mb","theoretical_cross_covariance_mb","theoretical_final_coefficient_mb","theoretical_coefficient_path_mb","theoretical_fitted_path_mb","theoretical_residual_path_mb","theoretical_train_scores_mb","theoretical_test_scores_mb","theoretical_largest_retained_name","theoretical_largest_retained_mb","failures","failure_messages"
"ccle","complete_workflow","fastpls","steady_process_batch","reference_1","phase_decomposition",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",50,50,0.0514520406723023,0.00239360332489012,0.00137758255004883,0.00018483400344849,0.0528329610824585,0.00237536430358887,0.0047454335,0.0245871255,0.000178693,0,5.2514e-05,0.029790081,0.0216184956309814,0.71830985915493,0.392913818359375,511.5078125,0,400.41015625,0,111.09765625,0,444.28125,0.137542724609375,0,0,0,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"final coefficient matrix (p x q)",0.1373291015625,0,"NA"
"cifar100","complete_workflow","fastpls","steady_process_batch","reference_1","phase_decomposition",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",10,10,30.6383618116378,0.107921361923246,1.12292146682739,0.0107257366180427,31.7594797611237,0.105414271354647,2.2982591045,13.320957685,0.011260742,0,0.000252475,15.633505728,15.0255439307704,0.8912,2.53443908691406,2995.57421875,0,1917.05859375,0,1078.515625,0,2155.86328125,0.586151123046875,0,0,0,0.5859375,0.5859375,154.1015625,10032.6538085938,10032.6538085938,100.326538085938,7.62939453125,"final coefficient matrix (p x q)",0.5859375,0,"NA"
"gtex_v8","complete_workflow","fastpls","steady_process_batch","reference_1","phase_decomposition",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",30,30,1.60972392559052,0.0688552856445377,0.0611821413040162,0.00228989124298096,1.67032480239869,0.0687202811241152,0.0539259075,0.9061818305,0.003278316,0,0.000214893,0.9646828715,0.642825901786194,0.963613550815558,1.86763000488281,680.421875,0,435.23828125,0,245.18359375,0,613.0625,0.244354248046875,0,0,0,0.244140625,0.244140625,46.38671875,139.16015625,139.16015625,4.3487548828125,0.194580078125,"final coefficient matrix (p x q)",0.244140625,0,"NA"
"metref","complete_workflow","fastpls","steady_process_batch","reference_1","phase_decomposition",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",50,50,0.103801012039185,0.0026856064796445,0.00246059894561767,0.0001797080039978,0.106351613998413,0.002490639686584,0.0030451985,0.0615378005,0.000369541,0,6.5352e-05,0.0651287475,0.0390787387230834,0.97,0.503463745117188,505.71484375,0,401.828125,0,103.88671875,0,438.37109375,0.0631561279296875,0,0,0,0.0629425048828125,0.0629425048828125,7.42721557617188,15.3099670410156,15.3099670410156,0.695907592773438,0.01678466796875,"final coefficient matrix (p x q)",0.0629425048828125,0,"NA"
"retina","complete_workflow","fastpls","steady_process_batch","reference_1","phase_decomposition",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",50,50,0.0992671251296997,0.0108563303947446,0.0245723724365235,0.00188177824020385,0.12351644039154,0.0126904249191288,0.033091839,0.0011434385,1.0289e-05,0,3.46805e-05,0.0342776765,0.0648934431296997,0.967776488440596,0.057281494140625,614.0859375,0,447.68359375,0,166.40234375,0,546.69140625,0.004791259765625,0,0,0,0.00457763671875,0.00457763671875,0.1373291015625,61.5289306640625,61.5289306640625,5.12741088867188,2.05133056640625,"final coefficient matrix (p x q)",0.00457763671875,0,"NA"
"tabula","complete_workflow","fastpls","steady_process_batch","reference_1","phase_decomposition",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",30,30,0.325774073600769,0.0347722172737115,0.0965431928634644,0.0047121047973633,0.422176361083984,0.0349968671798712,0.11010654,0.0025895645,3.1611e-05,0,4.38205e-05,0.1128131215,0.207501588204528,0.800435486126371,0.0936737060546875,791.953125,0,504.91796875,0,287.03515625,0,724.515625,0.012420654296875,0,0,0,0.01220703125,0.01220703125,0.537109375,537.5712890625,537.5712890625,16.7991027832031,12.221435546875,"final coefficient matrix (p x q)",0.01220703125,0,"NA"
"tcga_brca","complete_workflow","fastpls","steady_process_batch","reference_1","phase_decomposition",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",50,50,0.0298830270767211,0.0110747218132019,0.00104618072509765,0.000204265117645267,0.0307776927947998,0.0111687779426575,0.00381042,0.004446986,1.7735e-05,0,4.42935e-05,0.008373949,0.0213986444828491,0.852272727272727,0.132392883300781,516.296875,0,402.16015625,0,114.13671875,0,448.84765625,0.038360595703125,0,0,0,0.03814697265625,0.03814697265625,0.26702880859375,0.201873779296875,0.201873779296875,0.040374755859375,0.00335693359375,"final coefficient matrix (p x q)",0.03814697265625,0,"NA"
"tcga_hnsc_methylation","complete_workflow","fastpls","steady_process_batch","reference_1","phase_decomposition",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",50,50,0.0105286836624146,0.00338536500930782,0.000478029251098633,1.62720680236819e-05,0.0110131502151489,0.00339955091476444,0.001526462,0.0006723565,2.8515e-06,0,3.47725e-05,0.0022552515,0.00831577345904541,1,0.0580978393554688,502.953125,0,398.3046875,0,104.6484375,0,435.40234375,0.01214599609375,0,0,0,0.011932373046875,0.011932373046875,0.02386474609375,0.015869140625,0.015869140625,0.0079345703125,0.000885009765625,"final coefficient matrix (p x q)",0.011932373046875,0,"NA"
"tcga_pan_cancer","complete_workflow","fastpls","steady_process_batch","reference_1","phase_decomposition",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","ordinary public fit object plus final test predictions",30,30,1.29187548160553,0.0614684224128725,0.0640038251876831,0.00248664617538449,1.35807538032532,0.0607425570487952,0.0399177365,0.727450266,0.002741588,0,0.0001784445,0.771199308,0.518056334811401,0.940936863543788,1.57804870605469,668.65234375,0,432.55078125,0,236.1015625,0,601.41015625,0.207733154296875,0,0,0,0.20751953125,0.20751953125,38.39111328125,135.498046875,135.498046875,4.23431396484375,0.23974609375,"final coefficient matrix (p x q)",0.20751953125,0,"NA"
"ccle","estimator_kernel","fastpls","steady_process_batch","reference_1","phase_decomposition",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0","fastPLS::pls","deterministic SIMPLS","IRLBA","coefficient path plus final test predictions; scores/loadings/fitted arrays suppressed",50,50,0.0323112010955811,0.00120472908020017,0.00216805934906006,0.000160992145538333,0.034416913986206,0.0013813972473145,0.0046723255,0.0246801245,0.0004042405,0,0.0004007505,0.0305739605,0.00174705200830078,0.71830985915493,3.80620574951172,509.16015625,0,400.90625,0,108.25390625,0,441.44921875,3.57077026367188,0,0,0,0.1373291015625,0.1373291015625,3.570556640625,1.95309448242188,1.95309448242188,0.108505249023438,0.0097503662109375,"coefficient path (p x q x A)",3.570556640625,0,"NA"
