"dataset","comparison_profile","timing_mode","cpu_profile","requested_blas_threads","reported_blas_threads","loaded_blas_library","repetitions_completed","median_preprocess_crosscov_sec","median_estimator_sec","median_coefficient_path_sec","median_fitted_values_sec","median_model_assembly_sec","median_cpp_total_sec","median_r_wrapper_fit_overhead_sec","median_prediction_sec","median_total_sec"
"ccle","complete_workflow","steady_process_batch","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0",50,0.0047454335,0.0245871255,0.000178693,0,5.2514e-05,0.029790081,0.0216184956309814,0.00137758255004883,0.0528329610824585
"cifar100","complete_workflow","steady_process_batch","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0",10,2.2982591045,13.320957685,0.011260742,0,0.000252475,15.633505728,15.0255439307704,1.12292146682739,31.7594797611237
"gtex_v8","complete_workflow","steady_process_batch","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0",30,0.0539259075,0.9061818305,0.003278316,0,0.000214893,0.9646828715,0.642825901786194,0.0611821413040162,1.67032480239869
"metref","complete_workflow","steady_process_batch","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0",50,0.0030451985,0.0615378005,0.000369541,0,6.5352e-05,0.0651287475,0.0390787387230834,0.00246059894561767,0.106351613998413
"retina","complete_workflow","steady_process_batch","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0",50,0.033091839,0.0011434385,1.0289e-05,0,3.46805e-05,0.0342776765,0.0648934431296997,0.0245723724365235,0.12351644039154
"tabula","complete_workflow","steady_process_batch","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0",30,0.11010654,0.0025895645,3.1611e-05,0,4.38205e-05,0.1128131215,0.207501588204528,0.0965431928634644,0.422176361083984
"tcga_brca","complete_workflow","steady_process_batch","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0",50,0.00381042,0.004446986,1.7735e-05,0,4.42935e-05,0.008373949,0.0213986444828491,0.00104618072509765,0.0307776927947998
"tcga_hnsc_methylation","complete_workflow","steady_process_batch","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0",50,0.001526462,0.0006723565,2.8515e-06,0,3.47725e-05,0.0022552515,0.00831577345904541,0.000478029251098633,0.0110131502151489
"tcga_pan_cancer","complete_workflow","steady_process_batch","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0",30,0.0399177365,0.727450266,0.002741588,0,0.0001784445,0.771199308,0.518056334811401,0.0640038251876831,1.35807538032532
"ccle","estimator_kernel","steady_process_batch","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0",50,0.0046723255,0.0246801245,0.0004042405,0,0.0004007505,0.0305739605,0.00174705200830078,0.00216805934906006,0.034416913986206
"cifar100","estimator_kernel","steady_process_batch","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0",10,2.3108411675,13.5122433515,0.027798244,0,0.0488229075,15.8828862295,0.0937531075444342,16.3158997297287,32.3271927833557
"gtex_v8","estimator_kernel","steady_process_batch","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0",30,0.0660755125,0.9064001725,0.008359618,0,0.0475469615,1.0519422705,0.0125297038820801,0.26776385307312,1.3363778591156
"metref","estimator_kernel","steady_process_batch","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0",50,0.0034621705,0.0618485365,0.001003148,0,0.002198997,0.068031933,0.00348697526275635,0.0125004053115845,0.0843747854232788
"retina","estimator_kernel","steady_process_batch","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0",50,0.0330892395,0.0011340755,2.7482e-05,0,4.4023e-05,0.034301404,0.00390295022265625,0.132529377937317,0.17033338546753
"tabula","estimator_kernel","steady_process_batch","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0",30,0.1106891725,0.002581278,7.75815e-05,0,7.7798e-05,0.113427596,0.0103748266218261,1.06219935417175,1.19412589073182
"tcga_brca","estimator_kernel","steady_process_batch","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0",50,0.0022937515,0.0043864225,3.49085e-05,0,0.000119393,0.006884694,0.00154313467553711,0.000928878784179688,0.00932931900024414
"tcga_hnsc_methylation","estimator_kernel","steady_process_batch","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0",50,0.001290977,0.0006262755,3.0435e-06,0,2.3676e-05,0.001944944,0.00184300710772705,0.000391244888305664,0.00417876243591309
"tcga_pan_cancer","estimator_kernel","steady_process_batch","reference_1",1,1,"/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.10.0",30,0.054491942,0.731425734,0.00696468649999999,0,0.0133706035,0.818759169,0.0151389503927002,0.30014979839325,1.15660440921783
