dataset,implementation,package_version,algorithm,solver,precision,ncomp,repetitions,accuracy,median_fit_sec,iqr_fit_sec,median_prediction_sec,median_total_sec,iqr_total_sec,median_peak_rss_mb,median_incremental_peak_rss_mb
breast,IKPLS_numpy_alg1,6.1.2,Improved Kernel PLS algorithm 1,eigendecomposition,float64,10,3,0.9428571428571428,0.0005343339871615,0.0024973750114441,2.779200440272689e-05,0.0005621259915642,0.0025050205003936,129.703125,0.8125
breast,IKPLS_numpy_alg2,6.1.2,Improved Kernel PLS algorithm 2,eigendecomposition,float64,10,3,0.9428571428571428,0.0006419999990612,0.00018579198513179996,3.204098902642727e-05,0.0006740409880876,0.00019091699505224997,130.203125,1.015625
breast,fastPLS_cpu_irlba,0.99.39,SIMPLS,IRLBA,float64,10,3,0.942857142857143,0.004,0.0019999999999999996,0.001,0.004,0.002,185.375,1.984375
breast,fastPLS_cpu_rsvd,0.99.39,SIMPLS,RSVD,float64,10,3,0.942857142857143,0.004,0.0005000000000000004,0.0,0.005,0.0004999999999999996,187.0,0.984375
cifar100,IKPLS_numpy_alg1,6.1.2,Improved Kernel PLS algorithm 1,eigendecomposition,float64,50,3,0.7095,0.7122057499946095,0.004886292008450255,0.0078671670053154,0.7200729169999249,0.0046636665356345475,595.40625,76.34375
cifar100,IKPLS_numpy_alg2,6.1.2,Improved Kernel PLS algorithm 2,eigendecomposition,float64,50,3,0.7095,0.1574264170485548,0.0015019374841358513,0.0080639580264687,0.1654903750750236,0.0016131039883476028,581.625,62.015625
cifar100,fastPLS_cpu_irlba,0.99.39,SIMPLS,IRLBA,float64,50,3,0.7077,2.775,0.09050000000000047,0.25,3.022,0.0950000000000002,1258.8125,624.265625
cifar100,fastPLS_cpu_rsvd,0.99.39,SIMPLS,RSVD,float64,50,3,0.7083,3.909,0.032500000000000195,0.260000000000001,4.176,0.03449999999999953,1259.828125,624.296875
metref,IKPLS_numpy_alg1,6.1.2,Improved Kernel PLS algorithm 1,eigendecomposition,float64,22,3,0.75,0.0026259999722242,0.0001714795071166,4.199997056275606e-05,0.0026697079301811,0.00017035452765410027,133.953125,2.296875
metref,IKPLS_numpy_alg2,6.1.2,Improved Kernel PLS algorithm 2,eigendecomposition,float64,22,3,0.75,0.0026708749937824,8.641651947980007e-05,4.1207997128367424e-05,0.0027120829909108,9.043756290339974e-05,134.96875,3.203125
metref,fastPLS_cpu_irlba,0.99.39,SIMPLS,IRLBA,float64,22,3,0.77,0.017,0.0015000000000000013,0.001,0.018,0.0014999999999999979,192.78125,3.828125
metref,fastPLS_cpu_rsvd,0.99.39,SIMPLS,RSVD,float64,22,3,0.77,0.0710000000000001,0.001500000000000043,0.001,0.0720000000000001,0.001500000000000043,189.171875,1.59375
