dataset,implementation,precision,ncomp,fit_sec,predict_sec,model_total_sec,preprocess_sec,total_including_preprocess_sec,top1_accuracy,top5_accuracy,rmsd,peak_process_rss_mib,status,notes
ImageNet,IKPLS 6.1.2 cross-product,float32,100,42.03825943393167,6.141495025949553,48.179754459881224,10.195505414973013,58.37525987485424,0.6291136584307547,0.8640167587234633,,8295.52734375,success,IKPLS cross-product formulation; one CPU thread; centred float32 arrays; blocked prediction
ImageNet,IKPLS 6.1.2 cross-product,float32,200,57.14206729491707,6.13001342501957,63.27208071993664,10.195505414973013,73.46758613490965,0.7021734414067085,0.9136242873452433,,8683.8828125,success,IKPLS cross-product formulation; one CPU thread; centred float32 arrays; blocked prediction
ImageNet,IKPLS 6.1.2 cross-product,float32,500,101.50135544699151,6.127803663956001,107.62915911094751,10.195505414973013,117.82466452592053,0.7660714095181868,0.9463806207698627,,9862.51171875,success,IKPLS cross-product formulation; one CPU thread; centred float32 arrays; blocked prediction
ImageNet,IKPLS 6.1.2 cross-product,float32,1000,176.61947357305326,6.147564613027498,182.76703818608075,10.195505414973013,192.96254360105377,0.7998911678824329,0.9561435019045621,,11821.4296875,success,IKPLS cross-product formulation; one CPU thread; centred float32 arrays; blocked prediction
ImageNet,fastPLS 0.99.39 SIMPLS CUDA-rSVD argmax,float32,100,986.264,252.098,1238.362,,1238.362,0.629792970014262,0.86393495680503,,17229.511719,success,One maximal 1000-component fit supplied all prefixes; timing is shared and is not a per-prefix refit
ImageNet,fastPLS 0.99.39 SIMPLS CUDA-rSVD argmax,float32,200,986.264,252.098,1238.362,,1238.362,0.702635800076111,0.913197494727333,,17229.511719,success,One maximal 1000-component fit supplied all prefixes; timing is shared and is not a per-prefix refit
ImageNet,fastPLS 0.99.39 SIMPLS CUDA-rSVD argmax,float32,500,986.264,252.098,1238.362,,1238.362,0.765989607599754,0.94639484719046,,17229.511719,success,One maximal 1000-component fit supplied all prefixes; timing is shared and is not a per-prefix refit
ImageNet,fastPLS 0.99.39 SIMPLS CUDA-rSVD argmax,float32,1000,986.264,252.098,1238.362,,1238.362,0.799887611277284,0.956125718878816,,17229.511719,success,One maximal 1000-component fit supplied all prefixes; timing is shared and is not a per-prefix refit
NMR,IKPLS 6.1.2 cross-product,float32,1,48.71993840101641,2.1151383359683678,50.835076736984774,,50.835076736984774,,,0.0021132704953857892,4232.4453125,success,First component collapsed under the IKPLS float32 stability criterion
NMR,IKPLS 6.1.2 cross-product,float32,5,nan,nan,nan,,nan,,,nan,2381.19921875,failed,"MemoryError: Unable to allocate 645. MiB for an array with shape (13000, 13000) and data type float32"
