dataset,train_n,test_n,p,q,method,solver,backend,classifier,precision,ncomp_requested,ncomp_effective,oversample,power,control_profile,effective_oversample,effective_power,seed,replicate,fit_time_sec,fit_predict_time_sec,top5_prediction_time_sec,total_time_sec,top1_accuracy,top5_accuracy,balanced_accuracy,macro_f1,rss_before_data_mb,rss_before_fit_mb,rss_after_fit_mb,rss_after_top5_mb,gpu_before_fit_mb,gpu_after_fit_mb,gpu_after_top5_mb,gpu_peak_mb,gpu_incremental_peak_mb,process_peak_rss_mb,incremental_peak_rss_mb,executed_estimator,prediction_backend,classifier_train_backend,model_gpu_resident,fit_residency,prediction_residency,audit_status,loaded_package_path,loaded_package_version,status,error
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,argmax,float32,100,100,,,ordinary_fast,32,5,123,1,986.264,986.264,252.098,1238.362,0.629792970014262,0.86393495680503,0.626273661652959,0.576762970477441,354.76953125,5411.62890625,9487.57421875,13376.1484375,828,1022,1022,1033.000000,205.000000,17229.511719,16874.742188,simpls,float32_cuda,,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,argmax,float32,200,200,,,ordinary_fast,32,5,123,1,986.264,986.264,252.098,1238.362,0.702635800076111,0.913197494727333,0.699217204731191,0.658791227897634,354.76953125,5411.62890625,9487.57421875,13376.1484375,828,1022,1022,1033.000000,205.000000,17229.511719,16874.742188,simpls,float32_cuda,,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,argmax,float32,300,300,,,ordinary_fast,32,5,123,1,986.264,986.264,252.098,1238.362,0.731935113295657,0.930511048593896,0.72893286895333,0.694030850782299,354.76953125,5411.62890625,9487.57421875,13376.1484375,828,1022,1022,1033.000000,205.000000,17229.511719,16874.742188,simpls,float32_cuda,,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,argmax,float32,400,400,,,ordinary_fast,32,5,123,1,986.264,986.264,252.098,1238.362,0.751603139771026,0.940149448548372,0.74901949546047,0.719464890586732,354.76953125,5411.62890625,9487.57421875,13376.1484375,828,1022,1022,1033.000000,205.000000,17229.511719,16874.742188,simpls,float32_cuda,,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,argmax,float32,500,500,,,ordinary_fast,32,5,123,1,986.264,986.264,252.098,1238.362,0.765989607599754,0.94639484719046,0.763703016460993,0.739056346197015,354.76953125,5411.62890625,9487.57421875,13376.1484375,828,1022,1022,1033.000000,205.000000,17229.511719,16874.742188,simpls,float32_cuda,,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,argmax,float32,600,600,,,ordinary_fast,32,5,123,1,986.264,986.264,252.098,1238.362,0.777968253742438,0.950406697798817,0.775859198024365,0.755440035043167,354.76953125,5411.62890625,9487.57421875,13376.1484375,828,1022,1022,1033.000000,205.000000,17229.511719,16874.742188,simpls,float32_cuda,,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,argmax,float32,700,700,,,ordinary_fast,32,5,123,1,986.264,986.264,252.098,1238.362,0.787023370452436,0.952654472253145,0.785141604452163,0.768018466739096,354.76953125,5411.62890625,9487.57421875,13376.1484375,828,1022,1022,1033.000000,205.000000,17229.511719,16874.742188,simpls,float32_cuda,,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,argmax,float32,800,800,,,ordinary_fast,32,5,123,1,986.264,986.264,252.098,1238.362,0.793226089832733,0.954414991802025,0.791505338804536,0.776870928717388,354.76953125,5411.62890625,9487.57421875,13376.1484375,828,1022,1022,1033.000000,205.000000,17229.511719,16874.742188,simpls,float32_cuda,,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,argmax,float32,900,900,,,ordinary_fast,32,5,123,1,986.264,986.264,252.098,1238.362,0.797284176308031,0.955478416741652,0.795683606370959,0.782504792799304,354.76953125,5411.62890625,9487.57421875,13376.1484375,828,1022,1022,1033.000000,205.000000,17229.511719,16874.742188,simpls,float32_cuda,,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
imagenet,1000000,281167,1024,1000,simpls,rsvd,cuda,argmax,float32,1000,1000,,,ordinary_fast,32,5,123,1,986.264,986.264,252.098,1238.362,0.799887611277284,0.956125718878816,0.79833573424727,0.786018426189254,354.76953125,5411.62890625,9487.57421875,13376.1484375,828,1022,1022,1033.000000,205.000000,17229.511719,16874.742188,simpls,float32_cuda,,FALSE,hybrid_host_simpls_cuda_rsvd,host_score_projection_cuda_lda,approximate_workflow_result,/home/chiamaka/Rlib_fastPLS_0.99.39_topk/fastPLS,0.99.39,success,
