"family","ncomp","mean","se"
"PLS-SVD",1,0.00188248484707682,1.42341739324125e-05
"PLS-SVD",2,0.0016271301576529,1.51586534227475e-05
"PLS-SVD",3,0.00155280516868486,1.47356721991501e-05
"PLS-SVD",5,0.00150843646686262,2.05426560406924e-05
"PLS-SVD",10,0.00153547957867447,2.29675517674174e-05
"PLS-SVD",25,0.00160665353990076,2.77990241901697e-05
"PLS-SVD",50,0.00162772581390516,2.81859384412268e-05
"PLS-SVD",75,0.00163492109811905,2.81509489264925e-05
"PLS-SVD",100,0.00163727808783082,2.8288769931318e-05
"PLS-SVD",125,0.00163848225797725,2.83895579802368e-05
"PLS-SVD",150,0.00163903341141287,2.84126464409186e-05
"PLS-SVD",165,0.00163924286449232,2.84212141904223e-05
"PLS-SVD",175,0.00163934782493171,2.84245452607508e-05
"PLS-SVD",200,0.00163957371909312,2.84376141600037e-05
"PLS-SVD",250,0.00163982795222683,2.84558905763847e-05
"PLS-SVD",300,0.00163995912497298,2.84611913533792e-05
"SIMPLS",1,0.0018344200284199,1.30100117428982e-05
"SIMPLS",2,0.00145664435122628,1.10879462515405e-05
"SIMPLS",3,0.00137201051849538,1.21240075382378e-05
"SIMPLS",5,0.00127203576818103,1.75429593903613e-05
"SIMPLS",10,0.00113116189757311,1.41367798405421e-05
"SIMPLS",25,0.00099552869957277,2.73191517337372e-05
"SIMPLS",50,0.000924127784364641,3.6318414359834e-05
"SIMPLS",75,0.000932518070900705,5.16777905729748e-05
"SIMPLS",100,0.000937901541415697,4.3225100075743e-05
"SIMPLS",125,0.00098177986555999,5.02767026177392e-05
"SIMPLS",150,0.00101774732244263,5.32972343185308e-05
"SIMPLS",165,0.00104001310372742,5.70679153989156e-05
"SIMPLS",175,0.00104863875147168,5.43155020614855e-05
"SIMPLS",200,0.00109574978504181,6.70734950446671e-05
"SIMPLS",250,0.00114535415987835,7.19397994934667e-05
"SIMPLS",300,0.00116038595040786,7.25185701006413e-05
