"ncomp","n_success","RMSD_mean","RMSD_se","RMSD_median","RMSD_q25","RMSD_q75","RMSD_min","RMSD_max","Q2_median","Q2_q25","Q2_q75","one_se_eligible"
1,5,0.0018344200284199,1.30100117428979e-05,0.0018289432648465,0.00181360816394087,0.00184281267757275,0.00180668348517207,0.0018800525505673,0.51680377372036,0.458775942753194,0.519927484367078,FALSE
2,5,0.00145664435122628,1.10879462515402e-05,0.0014546250923228,0.00143991564556256,0.00146618244128107,0.0014292998128555,0.00149319876410946,0.674571816121584,0.670835384279317,0.700499764693385,FALSE
3,5,0.00137201051849538,1.21240075382382e-05,0.00137541406961947,0.00135494619566555,0.00137870345941391,0.00133966159203426,0.00141132727574371,0.710329652435192,0.709279679476213,0.725422594301212,FALSE
5,5,0.00127203576818103,1.75429593903609e-05,0.001274802124415,0.00124536729905913,0.00130035091359789,0.00122174202064209,0.00131791648319104,0.754986236505575,0.751158579210619,0.75574458475833,FALSE
10,5,0.00113116189757311,1.41367798405416e-05,0.00112796042137072,0.00110709965830417,0.0011467794173746,0.00109764032477051,0.00117632966604554,0.805183903388798,0.798810694171938,0.810030952234063,FALSE
25,5,0.00099552869957277,2.73191517337371e-05,0.00101003282111715,0.000936546574536471,0.00102066955056004,0.000933022365739977,0.00107737218591021,0.849514940544071,0.843790267690342,0.856023962019344,FALSE
50,5,0.000924127784364641,3.6318414359834e-05,0.000926105332974691,0.000860507106822014,0.000950315476812003,0.000839350127385099,0.0010443608778294,0.868671832166655,0.868187825873835,0.88435741792234,TRUE
75,5,0.000932518070900704,5.16777905729741e-05,0.000913606753085532,0.000851809242820451,0.000930130381478731,0.0008397655493912,0.00112727842772761,0.87372784874422,0.872192683173288,0.884242918953971,TRUE
100,5,0.000937901541415697,4.32251000757428e-05,0.00089858271358744,0.000859296475141946,0.000993711693283893,0.000858053887542014,0.00107986293752319,0.876361640345957,0.855874535639762,0.879146123519011,TRUE
125,5,0.000981779865559991,5.027670261774e-05,0.000923764848377503,0.000902653965134739,0.0010201828179747,0.000899659482529345,0.00116263821378366,0.867141977985112,0.848093650023644,0.869334787325614,FALSE
150,5,0.00101774732244263,5.32972343185309e-05,0.000973223413342632,0.000937253043501919,0.00106022011323208,0.000912153777439538,0.001205886264697,0.85496854227788,0.83593649074431,0.855806668040034,FALSE
165,5,0.00104001310372742,5.70679153989155e-05,0.000992810353561223,0.000945673921331093,0.00109119536458215,0.000931399410069642,0.00123898646909301,0.849072037080251,0.826209935746189,0.853203978898348,FALSE
175,5,0.00104863875147169,5.43155020614864e-05,0.00100065013228561,0.000965070909608946,0.00108389205982756,0.000948741283310077,0.00124483937232623,0.84667900482839,0.828528483577699,0.847120269575836,FALSE
200,5,0.00109574978504181,6.70734950446661e-05,0.00104629706045633,0.00100578732806185,0.0010953979304039,0.000978990967231841,0.00135227563905515,0.832371782995256,0.824868708228489,0.833948127247673,FALSE
250,5,0.00114535415987835,7.19397994934673e-05,0.00111357806021852,0.00102615821055515,0.00114628525001247,0.00102411933544636,0.00141662994315924,0.810120339314386,0.808219111148107,0.827153691971769,FALSE
300,5,0.00116038595040786,7.25185701006405e-05,0.00112445673630253,0.00105663880199975,0.00116588377274059,0.00102242362383669,0.00143252681715973,0.806392304189754,0.801605131803549,0.828409511766847,FALSE
