"component","fast_metric","reference_metric","family","case"
1,1.76607241877477,1.76607241877477,"OPLS","synthetic_regression_p_lt_n"
2,1.42610146682847,1.42610146682847,"OPLS","synthetic_regression_p_lt_n"
3,1.21828383466424,1.21828383466424,"OPLS","synthetic_regression_p_lt_n"
4,1.0244387091406,1.0244387091406,"OPLS","synthetic_regression_p_lt_n"
5,1.02461742181968,1.02461742181964,"OPLS","synthetic_regression_p_lt_n"
1,1.82747728404012,1.82747728404012,"kernelPLS_rbf","synthetic_regression_p_lt_n"
2,1.53778519694073,1.53778519694073,"kernelPLS_rbf","synthetic_regression_p_lt_n"
3,1.3454426310156,1.3454426310156,"kernelPLS_rbf","synthetic_regression_p_lt_n"
4,1.20490150251814,1.20490150251814,"kernelPLS_rbf","synthetic_regression_p_lt_n"
5,0.989412349124501,0.989412349124501,"kernelPLS_rbf","synthetic_regression_p_lt_n"
1,1.96728524843054,1.96728524843054,"kernelPLS_poly","synthetic_regression_p_lt_n"
2,1.59396775776661,1.59396775776661,"kernelPLS_poly","synthetic_regression_p_lt_n"
3,1.35052020209046,1.35052020209046,"kernelPLS_poly","synthetic_regression_p_lt_n"
4,1.12881983337775,1.12881983337775,"kernelPLS_poly","synthetic_regression_p_lt_n"
5,0.892295565904635,0.892295565904635,"kernelPLS_poly","synthetic_regression_p_lt_n"
1,1.85107259356478,1.85107259356478,"OPLS","synthetic_regression_p_gt_n_ill_conditioned"
2,1.49611972738482,1.49611972738482,"OPLS","synthetic_regression_p_gt_n_ill_conditioned"
3,1.07741568019901,1.07741568019901,"OPLS","synthetic_regression_p_gt_n_ill_conditioned"
4,0.97634673393828,0.976346733938282,"OPLS","synthetic_regression_p_gt_n_ill_conditioned"
5,0.973988539827681,0.973988539827647,"OPLS","synthetic_regression_p_gt_n_ill_conditioned"
1,2.11397144938291,2.11397144938291,"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned"
2,1.71136835988101,1.71136835988101,"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned"
3,1.34436043342602,1.34436043342602,"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned"
4,1.19551637788425,1.19551637788425,"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned"
5,1.02262945714952,1.02262945714952,"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned"
1,2.11979832981948,2.11979832981948,"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned"
2,1.72588930789751,1.72588930789751,"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned"
3,1.32860339144318,1.32860339144318,"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned"
4,1.11598347942698,1.11598347942698,"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned"
5,0.878925414876756,0.878925414876756,"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned"
1,0.472316397053239,0.472316397053239,"OPLS","synthetic_classification_p_lt_n"
2,0.600196703880914,0.600196703880914,"OPLS","synthetic_classification_p_lt_n"
3,0.628504594820384,0.628504594820384,"OPLS","synthetic_classification_p_lt_n"
4,0.640120756436546,0.640120756436546,"OPLS","synthetic_classification_p_lt_n"
5,0.601550087339561,0.601550087339561,"OPLS","synthetic_classification_p_lt_n"
1,0.428670160249108,0.428670160249108,"kernelPLS_rbf","synthetic_classification_p_lt_n"
