"family","case","task","grid","fast_selected_ncomp","reference_selected_ncomp","selected_component_agreement","failed_folds"
"OPLS","synthetic_regression_p_lt_n","regression","1;2;3;4;5",4,4,TRUE,0
"kernelPLS_rbf","synthetic_regression_p_lt_n","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS_poly","synthetic_regression_p_lt_n","regression","1;2;3;4;5",5,5,TRUE,0
"OPLS","synthetic_regression_p_gt_n_ill_conditioned","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS_rbf","synthetic_regression_p_gt_n_ill_conditioned","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS_poly","synthetic_regression_p_gt_n_ill_conditioned","regression","1;2;3;4;5",5,5,TRUE,0
"OPLS","synthetic_classification_p_lt_n","classification","1;2;3;4;5",4,4,TRUE,0
"kernelPLS_rbf","synthetic_classification_p_lt_n","classification","1;2;3;4;5",5,5,TRUE,0
"kernelPLS_poly","synthetic_classification_p_lt_n","classification","1;2;3;4;5",5,5,TRUE,0
"OPLS","synthetic_classification_p_gt_n","classification","1;2;3;4;5",4,4,TRUE,0
"kernelPLS_rbf","synthetic_classification_p_gt_n","classification","1;2;3;4;5",4,4,TRUE,0
"kernelPLS_poly","synthetic_classification_p_gt_n","classification","1;2;3;4;5",5,5,TRUE,0
"OPLS","gasoline_real_regression","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS_rbf","gasoline_real_regression","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS_poly","gasoline_real_regression","regression","1;2;3;4;5",5,5,TRUE,0
"OPLS","breast_real_classification","classification","1;2;3",3,3,TRUE,0
"kernelPLS_rbf","breast_real_classification","classification","1;2;3",3,3,TRUE,0
"kernelPLS_poly","breast_real_classification","classification","1;2;3",3,3,TRUE,0
