"family","case","source","task","n_train","n_test","p","q","ncomp","north","kernel","solver","operator_relative_error","prediction_relative_error","prediction_correlation","coefficient_relative_error","max_predictive_score_angle_deg","max_orthogonal_score_angle_deg","label_agreement","fast_metric","reference_metric","metric_absolute_difference","status","error","setting","gamma","degree","coef0","passes_operator","passes_prediction","passes_coefficient","passes_predictive_subspace","passes_orthogonal_subspace","passes_labels","passes_metric","passes_all"
"OPLS","synthetic_regression_p_lt_n","synthetic","regression",140,60,30,8,5,1,NA,"deterministic_irlba",6.54788873925756e-16,1.3548016361666e-15,1,1.4834187038438e-15,2.25887274392255e-06,0,NA,0.889676137932638,0.889676137932638,4.44089209850063e-16,"success",NA,"north_1",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"OPLS","synthetic_regression_p_lt_n","synthetic","regression",140,60,30,8,5,2,NA,"deterministic_irlba",1.44460839305557e-15,2.14579298791097e-12,1,3.72266531286782e-11,1.20741826972573e-06,0,NA,1.04632063488955,1.04632063488969,1.43218770176645e-13,"success",NA,"north_2",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"OPLS","synthetic_regression_p_lt_n","synthetic","regression",140,60,30,8,5,3,NA,"deterministic_irlba",6.55265251667672e-15,1.14524258228137e-12,1,1.84033915295097e-11,1.20741826972573e-06,0,NA,1.23998567318712,1.23998567318708,3.95239396766556e-14,"success",NA,"north_3",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_regression_p_lt_n","synthetic","regression",140,60,30,8,5,NA,"linear","deterministic_irlba",2.09492672183873e-16,9.92269323317629e-16,1,9.03713655012873e-16,2.41483653945147e-06,NA,NA,0.432568740981888,0.432568740981888,3.33066907387547e-16,"success",NA,"linear",0.0333333333333333,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_regression_p_lt_n","synthetic","regression",140,60,30,8,5,NA,"rbf","deterministic_irlba",2.29349783938507e-15,1.31795068411877e-15,1,1.64405143016615e-15,1.4787793334711e-06,NA,NA,0.666814971283438,0.666814971283438,2.22044604925031e-16,"success",NA,"rbf_gamma_0.25_over_p",0.00833333333333333,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_regression_p_lt_n","synthetic","regression",140,60,30,8,5,NA,"rbf","deterministic_irlba",7.89018655912641e-16,1.50802839209505e-15,1,1.82205739879275e-15,1.20741826972573e-06,NA,NA,1.14035196823746,1.14035196823746,4.44089209850063e-16,"success",NA,"rbf_gamma_1_over_p",0.0333333333333333,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_regression_p_lt_n","synthetic","regression",140,60,30,8,5,NA,"rbf","deterministic_irlba",6.25248656991844e-16,1.42300991564063e-15,1,1.55036918498437e-15,8.53773646251594e-07,NA,NA,1.75900424118794,1.75900424118794,0,"success",NA,"rbf_gamma_4_over_p",0.133333333333333,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_regression_p_lt_n","synthetic","regression",140,60,30,8,5,NA,"poly","deterministic_irlba",6.33120727012182e-16,1.1605189590325e-15,1,1.12451091051603e-15,0,NA,NA,0.668072562217799,0.668072562217798,3.33066907387547e-16,"success",NA,"poly_degree2_offset1",0.0333333333333333,2,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_regression_p_lt_n","synthetic","regression",140,60,30,8,5,NA,"poly","deterministic_irlba",4.71326198194575e-16,7.92214635038906e-16,1,1.13779138843656e-15,1.20741826972573e-06,NA,NA,0.910963997273201,0.910963997273201,1.11022302462516e-16,"success",NA,"poly_degree3_offset1",0.0333333333333333,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"kernelPLS","synthetic_regression_p_lt_n","synthetic","regression",140,60,30,8,5,NA,"poly","deterministic_irlba",3.0029105893105e-16,1.05081809549226e-15,1,1.19249197660627e-15,1.4787793334711e-06,NA,NA,1.26108887553644,1.26108887553644,0,"success",NA,"poly_degree4_offset1",0.0333333333333333,4,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
