"family","setting","runs","successes","failures","passes_all","max_operator_relative_error","max_prediction_relative_error","min_prediction_correlation","max_coefficient_relative_error","max_predictive_score_angle_deg","max_orthogonal_score_angle_deg","min_label_agreement","max_metric_absolute_difference"
"kernelPLS","linear",6,6,0,6,4.65698078208078e-15,4.71312399270485e-15,1,6.30863157503365e-13,2.41483653945147e-06,NA,1,3.14304138271382e-13
"OPLS","north_1",6,6,0,6,9.36396657330685e-16,5.20922011448178e-14,1,9.55358807822136e-12,2.25887274392255e-06,1.20741826972573e-06,1,3.19216875155348e-12
"OPLS","north_2",6,6,0,6,3.33016720411169e-15,2.49549913359515e-12,0.999999999999998,1.10774585363654e-10,1.70754729250319e-06,1.70754729250319e-06,1,4.33875158023511e-13
"OPLS","north_3",6,6,0,6,1.56520115913204e-13,9.4781425342429e-12,0.999999999999999,3.06822365166231e-10,1.4787793334711e-06,1.90909591041642e-06,1,2.92177393390602e-12
"kernelPLS","poly_degree2_offset1",6,6,0,6,9.17122746967171e-16,1.60845009130913e-15,1,2.61919650521168e-14,2.09130978915187e-06,NA,1,4.49640324973188e-15
"kernelPLS","poly_degree3_offset0",6,6,0,6,6.12463611521953e-16,1.16508122294031e-14,1,5.03236979883235e-13,2.41483653945147e-06,NA,1,7.97140131680862e-13
"kernelPLS","poly_degree3_offset1",6,6,0,6,6.85624568057704e-16,4.74608999142367e-15,1,1.60027142710458e-14,1.70754729250319e-06,NA,1,3.17523785042795e-13
"kernelPLS","poly_degree4_offset1",6,6,0,6,6.30780588022182e-16,1.90631920701635e-15,1,1.42024107258367e-13,1.4787793334711e-06,NA,1,6.43929354282591e-14
"kernelPLS","rbf_gamma_0.25_over_p",6,6,0,6,3.57990081472251e-15,4.26216552183736e-15,1,1.06091175638667e-13,1.4787793334711e-06,NA,1,5.56221735337203e-14
"kernelPLS","rbf_gamma_1_over_p",6,6,0,6,1.54920025901754e-15,2.12438482250572e-15,1,4.11149226897808e-15,1.20741826972573e-06,NA,1,2.66453525910038e-15
"kernelPLS","rbf_gamma_4_over_p",6,6,0,6,7.98102155621059e-16,1.55549955700809e-15,1,6.3359913831515e-15,1.4787793334711e-06,NA,1,2.44249065417534e-15
