"family","setting","case","task","component","fold","fast_metric","reference_metric","status","error"
"OPLS","north_1","synthetic_regression_p_lt_n","regression",1,1,1.739844126274,1.739844126274,"success",NA
"OPLS","north_1","synthetic_regression_p_lt_n","regression",1,2,1.60546729502845,1.60546729502845,"success",NA
"OPLS","north_1","synthetic_regression_p_lt_n","regression",1,3,1.83646032587549,1.83646032587549,"success",NA
"OPLS","north_1","synthetic_regression_p_lt_n","regression",1,4,1.70532985639026,1.70532985639026,"success",NA
"OPLS","north_1","synthetic_regression_p_lt_n","regression",1,5,1.97067906856247,1.97067906856247,"success",NA
"OPLS","north_1","synthetic_regression_p_lt_n","regression",2,1,1.41719201625309,1.41719201625309,"success",NA
"OPLS","north_1","synthetic_regression_p_lt_n","regression",2,2,1.40730221030354,1.40730221030354,"success",NA
"OPLS","north_1","synthetic_regression_p_lt_n","regression",2,3,1.41938519722091,1.41938519722091,"success",NA
"OPLS","north_1","synthetic_regression_p_lt_n","regression",2,4,1.45783257038962,1.45783257038962,"success",NA
"OPLS","north_1","synthetic_regression_p_lt_n","regression",2,5,1.44838089005311,1.44838089005311,"success",NA
"OPLS","north_1","synthetic_regression_p_lt_n","regression",3,1,1.24184032393622,1.24184032393622,"success",NA
"OPLS","north_1","synthetic_regression_p_lt_n","regression",3,2,1.20267540169139,1.20267540169139,"success",NA
"OPLS","north_1","synthetic_regression_p_lt_n","regression",3,3,1.18249074573583,1.18249074573583,"success",NA
"OPLS","north_1","synthetic_regression_p_lt_n","regression",3,4,1.06678855978929,1.06678855978929,"success",NA
"OPLS","north_1","synthetic_regression_p_lt_n","regression",3,5,1.09061131271541,1.09061131271541,"success",NA
"OPLS","north_1","synthetic_regression_p_lt_n","regression",4,1,1.05055691325999,1.05055691325999,"success",NA
"OPLS","north_1","synthetic_regression_p_lt_n","regression",4,2,1.0147046668572,1.0147046668572,"success",NA
"OPLS","north_1","synthetic_regression_p_lt_n","regression",4,3,0.98438686339487,0.98438686339487,"success",NA
"OPLS","north_1","synthetic_regression_p_lt_n","regression",4,4,0.690925021752505,0.690925021752505,"success",NA
"OPLS","north_1","synthetic_regression_p_lt_n","regression",4,5,0.804344013589263,0.804344013589263,"success",NA
