"component","fast_metric","reference_metric","family","setting","case"
1,1.77155613442613,1.77155613442613,"OPLS","north_1","synthetic_regression_p_lt_n"
2,1.43001857684405,1.43001857684405,"OPLS","north_1","synthetic_regression_p_lt_n"
3,1.15688126877363,1.15688126877363,"OPLS","north_1","synthetic_regression_p_lt_n"
4,0.908983495770765,0.908983495770765,"OPLS","north_1","synthetic_regression_p_lt_n"
5,0.742059842314573,0.742059842314573,"OPLS","north_1","synthetic_regression_p_lt_n"
1,1.76607241877477,1.76607241877477,"OPLS","north_2","synthetic_regression_p_lt_n"
2,1.42610146682847,1.42610146682847,"OPLS","north_2","synthetic_regression_p_lt_n"
3,1.21828383466424,1.21828383466424,"OPLS","north_2","synthetic_regression_p_lt_n"
4,1.0244387091406,1.0244387091406,"OPLS","north_2","synthetic_regression_p_lt_n"
5,1.02461742181968,1.02461742181964,"OPLS","north_2","synthetic_regression_p_lt_n"
1,1.76533767742644,1.76533767742644,"OPLS","north_3","synthetic_regression_p_lt_n"
2,1.3982736419773,1.3982736419773,"OPLS","north_3","synthetic_regression_p_lt_n"
3,1.2142969295815,1.2142969295815,"OPLS","north_3","synthetic_regression_p_lt_n"
4,1.21519347286878,1.21519347286876,"OPLS","north_3","synthetic_regression_p_lt_n"
5,1.21598204530836,1.21598204530832,"OPLS","north_3","synthetic_regression_p_lt_n"
1,1.82635685112215,1.82635685112215,"kernelPLS","linear","synthetic_regression_p_lt_n"
2,1.36637576265195,1.36637576265195,"kernelPLS","linear","synthetic_regression_p_lt_n"
3,1.07930911304261,1.07930911304261,"kernelPLS","linear","synthetic_regression_p_lt_n"
4,0.881490060321646,0.881490060321646,"kernelPLS","linear","synthetic_regression_p_lt_n"
5,0.453317287769972,0.453317287769972,"kernelPLS","linear","synthetic_regression_p_lt_n"
1,1.90338268970011,1.90338268970011,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n"
2,1.473107332572,1.473107332572,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n"
3,1.26898010321858,1.26898010321858,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n"
4,0.990618182268995,0.990618182268995,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n"
5,0.638481275882685,0.638481275882685,"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n"
1,1.82747728404012,1.82747728404012,"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n"
2,1.53778519694073,1.53778519694073,"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n"
3,1.3454426310156,1.3454426310156,"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n"
4,1.20490150251814,1.20490150251814,"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n"
5,0.989412349124501,0.989412349124501,"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n"
1,1.97642028073128,1.97642028073128,"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n"
