"family","setting","case","task","grid","fast_selected_ncomp","reference_selected_ncomp","selected_component_agreement","failed_folds"
"OPLS","north_1","synthetic_regression_p_lt_n","regression","1;2;3;4;5",5,5,TRUE,0
"OPLS","north_2","synthetic_regression_p_lt_n","regression","1;2;3;4;5",4,4,TRUE,0
"OPLS","north_3","synthetic_regression_p_lt_n","regression","1;2;3;4;5",3,3,TRUE,0
"kernelPLS","linear","synthetic_regression_p_lt_n","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_lt_n","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_lt_n","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS","poly_degree4_offset1","synthetic_regression_p_lt_n","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS","poly_degree3_offset0","synthetic_regression_p_lt_n","regression","1;2;3;4;5",5,5,TRUE,0
"OPLS","north_1","synthetic_regression_p_gt_n_ill_conditioned","regression","1;2;3;4;5",5,5,TRUE,0
"OPLS","north_2","synthetic_regression_p_gt_n_ill_conditioned","regression","1;2;3;4;5",5,5,TRUE,0
"OPLS","north_3","synthetic_regression_p_gt_n_ill_conditioned","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS","linear","synthetic_regression_p_gt_n_ill_conditioned","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS","rbf_gamma_0.25_over_p","synthetic_regression_p_gt_n_ill_conditioned","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS","rbf_gamma_1_over_p","synthetic_regression_p_gt_n_ill_conditioned","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_gt_n_ill_conditioned","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_gt_n_ill_conditioned","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_gt_n_ill_conditioned","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS","poly_degree4_offset1","synthetic_regression_p_gt_n_ill_conditioned","regression","1;2;3;4;5",5,5,TRUE,0
"kernelPLS","poly_degree3_offset0","synthetic_regression_p_gt_n_ill_conditioned","regression","1;2;3;4;5",5,5,TRUE,0
