"method_id","dataset","task_type","package","algorithm","ncomp_requested","input_precision","execution_precision","classifier","classifier_backend","classifier_numeric_path","requested_estimator","executed_estimator","reps_ok","median_time_ms","iqr_time_ms","median_peak_host_rss_mb","iqr_peak_host_rss_mb","median_metric","iqr_metric","metric_name","median_accuracy","median_balanced_accuracy","median_macro_f1","median_rmse","median_q2","reps_attempted","reps_ok_status","n_timeout","n_error","n_skipped","method_label","dataset_label","status_label","time_sec","accuracy_label","time_label","rss_label"
"chemometrics_pls_eigen","ccle","classification","chemometrics","PLS eigen",26,"float64","float64","argmax","chemometrics","float64","PLS eigen","PLS eigen",10,925,4.25,165.2089845,0.419921750000015,0.676056338028169,0,"accuracy",0.676056338028169,0.561243386243386,0.565722267533862,NA,NA,10,10,0,0,0,"chemometrics / PLS eigen","CCLE","",0.925,"0.676","0.93","165"
"chemometrics_pls_eigen","cifar100","classification","chemometrics","PLS eigen",263,"float64","float64","argmax","chemometrics","float64","PLS eigen","PLS eigen",3,34188,15,2027.5,0.332030999999915,0.8741,0,"accuracy",0.8741,0.8741,0.871947611199974,NA,NA,3,3,0,0,0,"chemometrics / PLS eigen","CIFAR-100","",34.188,"0.874","34","2028"
"chemometrics_pls_eigen","gtex_v8","classification","chemometrics","PLS eigen",190,"float64","float64","argmax","chemometrics","float64","PLS eigen","PLS eigen",3,3429,20,280.445312,0.197265499999958,0.941028858218319,0,"accuracy",0.941028858218319,0.770679859726495,0.781395675597552,NA,NA,3,3,0,0,0,"chemometrics / PLS eigen","GTEx v8","",3.429,"0.941","3.43","280"
"chemometrics_pls_eigen","metref","classification","chemometrics","PLS eigen",118,"float64","float64","argmax","chemometrics","float64","PLS eigen","PLS eigen",10,108.5,4.25,138.169922,0.536133000000007,0.82,0,"accuracy",0.82,0.839935064935065,0.809346209346209,NA,NA,10,10,0,0,0,"chemometrics / PLS eigen","MetRef","",0.1085,"0.820","0.11","138"
"chemometrics_pls_eigen","retina","classification","chemometrics","PLS eigen",30,"float64","float64","argmax","chemometrics","float64","PLS eigen","PLS eigen",10,136,1.75,163.189453,0.22265625,0.934392573417835,0,"accuracy",0.934392573417835,0.753518881508825,0.838363295027981,NA,NA,10,10,0,0,0,"chemometrics / PLS eigen","Retina","",0.136,"0.934","0.14","163"
"chemometrics_pls_eigen","tabula","classification","chemometrics","PLS eigen",44,"float64","float64","argmax","chemometrics","float64","PLS eigen","PLS eigen",10,603,5,314.660156,0.501953500000013,0.783275734633133,0,"accuracy",0.783275734633133,0.586035023863962,0.572764211743705,NA,NA,10,10,0,0,0,"chemometrics / PLS eigen","Tabula Muris","",0.603,"0.783","0.60","315"
"chemometrics_pls_eigen","tcga_brca","classification","chemometrics","PLS eigen",7,"float64","float64","argmax","chemometrics","float64","PLS eigen","PLS eigen",3,1016,5.5,181.101562,0.103516000000013,0.886363636363636,0,"accuracy",0.886363636363636,0.679634551495017,0.695970602562468,NA,NA,3,3,0,0,0,"chemometrics / PLS eigen","TCGA-BRCA","",1.016,"0.886","1.02","181"
"chemometrics_pls_eigen","tcga_hnsc_methylation","classification","chemometrics","PLS eigen",2,"float64","float64","argmax","chemometrics","float64","PLS eigen","PLS eigen",10,467,14.25,132.667969,0.318359750000013,1,0,"accuracy",1,1,1,NA,NA,10,10,0,0,0,"chemometrics / PLS eigen","TCGA-HNSC methyl.","",0.467,"1.000","0.47","133"
"chemometrics_pls_eigen","tcga_pan_cancer","classification","chemometrics","PLS eigen",185,"float64","float64","argmax","chemometrics","float64","PLS eigen","PLS eigen",3,1634,5.5,215.984375,0.0722659999999848,0.881873727087576,0,"accuracy",0.881873727087576,0.823255035432532,0.807572341636232,NA,NA,3,3,0,0,0,"chemometrics / PLS eigen","TCGA Pan-Cancer","",1.634,"0.882","1.63","216"
"fastPLS_simpls_cpu_irlba","ccle","classification","fastPLS","SIMPLS",26,"float64","float64","argmax","argmax","float64","simpls","simpls",10,48,0.749999999999929,463.123047,0.278320250000036,0.71830985915493,0,"accuracy",0.71830985915493,0.59021164021164,0.602765752765753,NA,NA,10,10,0,0,0,"fastPLS SIMPLS / argmax","CCLE","",0.048,"0.718","0.05","463"
