"dataset","task_type","dataset_path","split_seed","n_train","n_test","p","n_response","input_precision","execution_precision","classifier","classifier_backend","classifier_numeric_path","input_storage_mb","ncomp_requested","replicate","method_id","package","package_version","function_name","algorithm","requested_estimator","executed_estimator","independent_implementation","total_runtime_ms","metric_name","metric_value","accuracy","balanced_accuracy","macro_f1","rmse","q2","mae","status","warning_message","error_message","peak_host_rss_mb","user_cpu_sec","system_cpu_sec","process_status"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","chemometrics","float64",4.89482116699219,26,1,"chemometrics_pls_eigen","chemometrics","1.4.4","chemometrics::pls_eigen","PLS eigen","PLS eigen","PLS eigen",TRUE,923,"accuracy",0.676056338028169,0.676056338028169,0.561243386243386,0.565722267533862,,,,"ok",,,165.480469,1.45,0.08,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","chemometrics","float64",4.89482116699219,26,2,"chemometrics_pls_eigen","chemometrics","1.4.4","chemometrics::pls_eigen","PLS eigen","PLS eigen","PLS eigen",TRUE,925,"accuracy",0.676056338028169,0.676056338028169,0.561243386243386,0.565722267533862,,,,"ok",,,164.828125,1.44,0.06,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","chemometrics","float64",4.89482116699219,26,3,"chemometrics_pls_eigen","chemometrics","1.4.4","chemometrics::pls_eigen","PLS eigen","PLS eigen","PLS eigen",TRUE,928,"accuracy",0.676056338028169,0.676056338028169,0.561243386243386,0.565722267533862,,,,"ok",,,165.179688,1.46,0.05,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","chemometrics","float64",4.89482116699219,26,4,"chemometrics_pls_eigen","chemometrics","1.4.4","chemometrics::pls_eigen","PLS eigen","PLS eigen","PLS eigen",TRUE,925,"accuracy",0.676056338028169,0.676056338028169,0.561243386243386,0.565722267533862,,,,"ok",,,165.238281,1.43,0.07,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","chemometrics","float64",4.89482116699219,26,5,"chemometrics_pls_eigen","chemometrics","1.4.4","chemometrics::pls_eigen","PLS eigen","PLS eigen","PLS eigen",TRUE,924,"accuracy",0.676056338028169,0.676056338028169,0.561243386243386,0.565722267533862,,,,"ok",,,165.609375,1.42,0.09,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","chemometrics","float64",4.89482116699219,26,6,"chemometrics_pls_eigen","chemometrics","1.4.4","chemometrics::pls_eigen","PLS eigen","PLS eigen","PLS eigen",TRUE,926,"accuracy",0.676056338028169,0.676056338028169,0.561243386243386,0.565722267533862,,,,"ok",,,164.980469,1.46,0.09,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","chemometrics","float64",4.89482116699219,26,7,"chemometrics_pls_eigen","chemometrics","1.4.4","chemometrics::pls_eigen","PLS eigen","PLS eigen","PLS eigen",TRUE,931,"accuracy",0.676056338028169,0.676056338028169,0.561243386243386,0.565722267533862,,,,"ok",,,165.515625,1.46,0.08,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","chemometrics","float64",4.89482116699219,26,8,"chemometrics_pls_eigen","chemometrics","1.4.4","chemometrics::pls_eigen","PLS eigen","PLS eigen","PLS eigen",TRUE,919,"accuracy",0.676056338028169,0.676056338028169,0.561243386243386,0.565722267533862,,,,"ok",,,165.296875,1.42,0.09,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","chemometrics","float64",4.89482116699219,26,9,"chemometrics_pls_eigen","chemometrics","1.4.4","chemometrics::pls_eigen","PLS eigen","PLS eigen","PLS eigen",TRUE,922,"accuracy",0.676056338028169,0.676056338028169,0.561243386243386,0.565722267533862,,,,"ok",,,164.925781,1.44,0.08,"ok"
"ccle","classification","/home/chiamaka/Documents/fastpls/data/ccle.RData",123,547,71,1000,18,"float64","float64","argmax","chemometrics","float64",4.89482116699219,26,10,"chemometrics_pls_eigen","chemometrics","1.4.4","chemometrics::pls_eigen","PLS eigen","PLS eigen","PLS eigen",TRUE,928,"accuracy",0.676056338028169,0.676056338028169,0.561243386243386,0.565722267533862,,,,"ok",,,165.117188,1.45,0.09,"ok"
