"dataset","task_type","method_id","package","algorithm","ncomp_requested","input_precision","execution_precision","requested_estimator","executed_estimator","reps_attempted","reps_ok","n_timeout","n_error","n_skipped"
"ccle","classification","chemometrics_pls_eigen","chemometrics","PLS eigen",26,"float64","float64","PLS eigen","PLS eigen",10,10,0,0,0
"cifar100","classification","chemometrics_pls_eigen","chemometrics","PLS eigen",263,"float64","float64","PLS eigen","PLS eigen",3,3,0,0,0
"gtex_v8","classification","chemometrics_pls_eigen","chemometrics","PLS eigen",190,"float64","float64","PLS eigen","PLS eigen",3,3,0,0,0
"metref","classification","chemometrics_pls_eigen","chemometrics","PLS eigen",118,"float64","float64","PLS eigen","PLS eigen",10,10,0,0,0
"retina","classification","chemometrics_pls_eigen","chemometrics","PLS eigen",30,"float64","float64","PLS eigen","PLS eigen",10,10,0,0,0
"tabula","classification","chemometrics_pls_eigen","chemometrics","PLS eigen",44,"float64","float64","PLS eigen","PLS eigen",10,10,0,0,0
"tcga_brca","classification","chemometrics_pls_eigen","chemometrics","PLS eigen",7,"float64","float64","PLS eigen","PLS eigen",3,3,0,0,0
"tcga_hnsc_methylation","classification","chemometrics_pls_eigen","chemometrics","PLS eigen",2,"float64","float64","PLS eigen","PLS eigen",10,10,0,0,0
"tcga_pan_cancer","classification","chemometrics_pls_eigen","chemometrics","PLS eigen",185,"float64","float64","PLS eigen","PLS eigen",3,3,0,0,0
"ccle","classification","fastPLS_simpls_cpu_irlba","fastPLS","SIMPLS",26,"float64","float64","simpls","simpls",10,10,0,0,0
"cifar100","classification","fastPLS_simpls_cpu_irlba","fastPLS","SIMPLS",263,"float64","float64","simpls","simpls",3,3,0,0,0
"gtex_v8","classification","fastPLS_simpls_cpu_irlba","fastPLS","SIMPLS",190,"float64","float64","simpls","simpls",10,10,0,0,0
"metref","classification","fastPLS_simpls_cpu_irlba","fastPLS","SIMPLS",118,"float64","float64","simpls","simpls",10,10,0,0,0
"retina","classification","fastPLS_simpls_cpu_irlba","fastPLS","SIMPLS",30,"float64","float64","simpls","simpls",10,10,0,0,0
"tabula","classification","fastPLS_simpls_cpu_irlba","fastPLS","SIMPLS",44,"float64","float64","simpls","simpls",10,10,0,0,0
"tcga_brca","classification","fastPLS_simpls_cpu_irlba","fastPLS","SIMPLS",7,"float64","float64","simpls","simpls",10,10,0,0,0
"tcga_hnsc_methylation","classification","fastPLS_simpls_cpu_irlba","fastPLS","SIMPLS",2,"float64","float64","simpls","simpls",10,10,0,0,0
"tcga_pan_cancer","classification","fastPLS_simpls_cpu_irlba","fastPLS","SIMPLS",185,"float64","float64","simpls","simpls",10,10,0,0,0
"ccle","classification","fastPLS_simpls_cpu_irlba_lda","fastPLS","SIMPLS + LDA",26,"float64","float64","simpls","simpls",10,10,0,0,0
"cifar100","classification","fastPLS_simpls_cpu_irlba_lda","fastPLS","SIMPLS + LDA",263,"float64","float64","simpls","simpls",3,3,0,0,0
"gtex_v8","classification","fastPLS_simpls_cpu_irlba_lda","fastPLS","SIMPLS + LDA",190,"float64","float64","simpls","simpls",3,3,0,0,0
"metref","classification","fastPLS_simpls_cpu_irlba_lda","fastPLS","SIMPLS + LDA",118,"float64","float64","simpls","simpls",10,10,0,0,0
"retina","classification","fastPLS_simpls_cpu_irlba_lda","fastPLS","SIMPLS + LDA",30,"float64","float64","simpls","simpls",10,10,0,0,0
"tabula","classification","fastPLS_simpls_cpu_irlba_lda","fastPLS","SIMPLS + LDA",44,"float64","float64","simpls","simpls",10,10,0,0,0
"tcga_brca","classification","fastPLS_simpls_cpu_irlba_lda","fastPLS","SIMPLS + LDA",7,"float64","float64","simpls","simpls",10,10,0,0,0
"tcga_hnsc_methylation","classification","fastPLS_simpls_cpu_irlba_lda","fastPLS","SIMPLS + LDA",2,"float64","float64","simpls","simpls",10,10,0,0,0
"tcga_pan_cancer","classification","fastPLS_simpls_cpu_irlba_lda","fastPLS","SIMPLS + LDA",185,"float64","float64","simpls","simpls",3,3,0,0,0
"ccle","classification","mdatools_plsda_or_pls","mdatools","SIMPLS/PLS-DA",26,"float64","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",10,10,0,0,0
"cifar100","classification","mdatools_plsda_or_pls","mdatools","SIMPLS/PLS-DA",263,"float64","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",3,0,0,0,2
"gtex_v8","classification","mdatools_plsda_or_pls","mdatools","SIMPLS/PLS-DA",190,"float64","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",3,3,0,0,0
"metref","classification","mdatools_plsda_or_pls","mdatools","SIMPLS/PLS-DA",118,"float64","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",3,3,0,0,0
"retina","classification","mdatools_plsda_or_pls","mdatools","SIMPLS/PLS-DA",30,"float64","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",3,3,0,0,0
"tabula","classification","mdatools_plsda_or_pls","mdatools","SIMPLS/PLS-DA",44,"float64","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",3,3,0,0,0
"tcga_brca","classification","mdatools_plsda_or_pls","mdatools","SIMPLS/PLS-DA",7,"float64","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",10,10,0,0,0
"tcga_hnsc_methylation","classification","mdatools_plsda_or_pls","mdatools","SIMPLS/PLS-DA",2,"float64","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",10,10,0,0,0
"tcga_pan_cancer","classification","mdatools_plsda_or_pls","mdatools","SIMPLS/PLS-DA",185,"float64","float64","SIMPLS/PLS-DA","SIMPLS/PLS-DA",3,3,0,0,0
"ccle","classification","mixOmics_plsda","mixOmics","PLS-DA",26,"float64","float64","PLS-DA","PLS-DA",3,3,0,0,0
"cifar100","classification","mixOmics_plsda","mixOmics","PLS-DA",263,"float64","float64","PLS-DA","PLS-DA",3,0,1,0,2
"gtex_v8","classification","mixOmics_plsda","mixOmics","PLS-DA",190,"float64","float64","PLS-DA","PLS-DA",3,3,0,0,0
"metref","classification","mixOmics_plsda","mixOmics","PLS-DA",118,"float64","float64","PLS-DA","PLS-DA",3,3,0,0,0
"retina","classification","mixOmics_plsda","mixOmics","PLS-DA",30,"float64","float64","PLS-DA","PLS-DA",3,3,0,0,0
"tabula","classification","mixOmics_plsda","mixOmics","PLS-DA",44,"float64","float64","PLS-DA","PLS-DA",3,0,1,0,2
"tcga_brca","classification","mixOmics_plsda","mixOmics","PLS-DA",7,"float64","float64","PLS-DA","PLS-DA",10,10,0,0,0
"tcga_hnsc_methylation","classification","mixOmics_plsda","mixOmics","PLS-DA",2,"float64","float64","PLS-DA","PLS-DA",10,10,0,0,0
"tcga_pan_cancer","classification","mixOmics_plsda","mixOmics","PLS-DA",185,"float64","float64","PLS-DA","PLS-DA",3,3,0,0,0
"ccle","classification","pcv_simpls","pcv","SIMPLS",26,"float64","float64","simpls","simpls",10,10,0,0,0
"cifar100","classification","pcv_simpls","pcv","SIMPLS",263,"float64","float64","simpls","simpls",3,3,0,0,0
"gtex_v8","classification","pcv_simpls","pcv","SIMPLS",190,"float64","float64","simpls","simpls",3,3,0,0,0
"metref","classification","pcv_simpls","pcv","SIMPLS",118,"float64","float64","simpls","simpls",10,10,0,0,0
"retina","classification","pcv_simpls","pcv","SIMPLS",30,"float64","float64","simpls","simpls",10,10,0,0,0
"tabula","classification","pcv_simpls","pcv","SIMPLS",44,"float64","float64","simpls","simpls",10,10,0,0,0
"tcga_brca","classification","pcv_simpls","pcv","SIMPLS",7,"float64","float64","simpls","simpls",10,10,0,0,0
"tcga_hnsc_methylation","classification","pcv_simpls","pcv","SIMPLS",2,"float64","float64","simpls","simpls",10,10,0,0,0
"tcga_pan_cancer","classification","pcv_simpls","pcv","SIMPLS",185,"float64","float64","simpls","simpls",3,3,0,0,0
"ccle","classification","pls_simpls_fit","pls","SIMPLS",26,"float64","float64","simpls","simpls",10,10,0,0,0
"cifar100","classification","pls_simpls_fit","pls","SIMPLS",263,"float64","float64","simpls","simpls",3,0,0,0,2
"gtex_v8","classification","pls_simpls_fit","pls","SIMPLS",190,"float64","float64","simpls","simpls",3,3,0,0,0
"metref","classification","pls_simpls_fit","pls","SIMPLS",118,"float64","float64","simpls","simpls",10,10,0,0,0
"retina","classification","pls_simpls_fit","pls","SIMPLS",30,"float64","float64","simpls","simpls",10,10,0,0,0
"tabula","classification","pls_simpls_fit","pls","SIMPLS",44,"float64","float64","simpls","simpls",3,3,0,0,0
"tcga_brca","classification","pls_simpls_fit","pls","SIMPLS",7,"float64","float64","simpls","simpls",10,10,0,0,0
"tcga_hnsc_methylation","classification","pls_simpls_fit","pls","SIMPLS",2,"float64","float64","simpls","simpls",10,10,0,0,0
"tcga_pan_cancer","classification","pls_simpls_fit","pls","SIMPLS",185,"float64","float64","simpls","simpls",3,3,0,0,0
"ccle","classification","plsdepot_simpls","plsdepot","SIMPLS",26,"float64","float64","simpls","simpls",3,3,0,0,0
"cifar100","classification","plsdepot_simpls","plsdepot","SIMPLS",263,"float64","float64","simpls","simpls",3,3,0,0,0
"gtex_v8","classification","plsdepot_simpls","plsdepot","SIMPLS",190,"float64","float64","simpls","simpls",3,3,0,0,0
"metref","classification","plsdepot_simpls","plsdepot","SIMPLS",118,"float64","float64","simpls","simpls",3,3,0,0,0
"retina","classification","plsdepot_simpls","plsdepot","SIMPLS",30,"float64","float64","simpls","simpls",10,10,0,0,0
"tabula","classification","plsdepot_simpls","plsdepot","SIMPLS",44,"float64","float64","simpls","simpls",3,3,0,0,0
"tcga_brca","classification","plsdepot_simpls","plsdepot","SIMPLS",7,"float64","float64","simpls","simpls",3,3,0,0,0
"tcga_hnsc_methylation","classification","plsdepot_simpls","plsdepot","SIMPLS",2,"float64","float64","simpls","simpls",10,10,0,0,0
"tcga_pan_cancer","classification","plsdepot_simpls","plsdepot","SIMPLS",185,"float64","float64","simpls","simpls",3,3,0,0,0
"ccle","classification","plsgenomics_pls_lda","plsgenomics","PLS-LDA",26,"float64","float64","PLS-LDA","PLS-LDA",10,10,0,0,0
"cifar100","classification","plsgenomics_pls_lda","plsgenomics","PLS-LDA",263,"float64","float64","PLS-LDA","PLS-LDA",3,3,0,0,0
"gtex_v8","classification","plsgenomics_pls_lda","plsgenomics","PLS-LDA",190,"float64","float64","PLS-LDA","PLS-LDA",3,3,0,0,0
"metref","classification","plsgenomics_pls_lda","plsgenomics","PLS-LDA",118,"float64","float64","PLS-LDA","PLS-LDA",10,10,0,0,0
"retina","classification","plsgenomics_pls_lda","plsgenomics","PLS-LDA",30,"float64","float64","PLS-LDA","PLS-LDA",10,10,0,0,0
"tabula","classification","plsgenomics_pls_lda","plsgenomics","PLS-LDA",44,"float64","float64","PLS-LDA","PLS-LDA",3,3,0,0,0
"tcga_brca","classification","plsgenomics_pls_lda","plsgenomics","PLS-LDA",7,"float64","float64","PLS-LDA","PLS-LDA",10,10,0,0,0
"tcga_hnsc_methylation","classification","plsgenomics_pls_lda","plsgenomics","PLS-LDA",2,"float64","float64","PLS-LDA","PLS-LDA",10,10,0,0,0
"tcga_pan_cancer","classification","plsgenomics_pls_lda","plsgenomics","PLS-LDA",185,"float64","float64","PLS-LDA","PLS-LDA",3,3,0,0,0
"ccle","classification","spls_splsda","spls","sPLS-DA",26,"float64","float64","sPLS-DA","sPLS-DA",10,10,0,0,0
"cifar100","classification","spls_splsda","spls","sPLS-DA",263,"float64","float64","sPLS-DA","sPLS-DA",3,0,0,0,2
"gtex_v8","classification","spls_splsda","spls","sPLS-DA",190,"float64","float64","sPLS-DA","sPLS-DA",3,3,0,0,0
"metref","classification","spls_splsda","spls","sPLS-DA",118,"float64","float64","sPLS-DA","sPLS-DA",3,3,0,0,0
"retina","classification","spls_splsda","spls","sPLS-DA",30,"float64","float64","sPLS-DA","sPLS-DA",3,3,0,0,0
"tabula","classification","spls_splsda","spls","sPLS-DA",44,"float64","float64","sPLS-DA","sPLS-DA",3,3,0,0,0
"tcga_brca","classification","spls_splsda","spls","sPLS-DA",7,"float64","float64","sPLS-DA","sPLS-DA",10,10,0,0,0
