"dataset","task_type","method_id","package","algorithm","ncomp_requested","input_precision","execution_precision","classifier","classifier_backend","classifier_numeric_path","requested_estimator","executed_estimator","reps_ok","median_time_ms","iqr_time_ms","median_peak_host_rss_mb","iqr_peak_host_rss_mb","median_metric","iqr_metric","metric_name","median_accuracy","median_balanced_accuracy","median_macro_f1","median_rmse","median_q2"
"ccle","classification","chemometrics_pls_eigen","chemometrics","PLS eigen",26,"float64","float64","argmax","chemometrics","float64","PLS eigen","PLS eigen",10,925,4.25,165.2089845,0.419921750000015,0.676056338028169,0,"accuracy",0.676056338028169,0.561243386243386,0.565722267533862,,
"cifar100","classification","chemometrics_pls_eigen","chemometrics","PLS eigen",263,"float64","float64","argmax","chemometrics","float64","PLS eigen","PLS eigen",3,34188,15,2027.5,0.332030999999915,0.8741,0,"accuracy",0.8741,0.8741,0.871947611199974,,
"gtex_v8","classification","chemometrics_pls_eigen","chemometrics","PLS eigen",190,"float64","float64","argmax","chemometrics","float64","PLS eigen","PLS eigen",3,3429,20,280.445312,0.197265499999958,0.941028858218319,0,"accuracy",0.941028858218319,0.770679859726495,0.781395675597552,,
"metref","classification","chemometrics_pls_eigen","chemometrics","PLS eigen",118,"float64","float64","argmax","chemometrics","float64","PLS eigen","PLS eigen",10,108.5,4.25,138.169922,0.536133000000007,0.82,0,"accuracy",0.82,0.839935064935065,0.809346209346209,,
"retina","classification","chemometrics_pls_eigen","chemometrics","PLS eigen",30,"float64","float64","argmax","chemometrics","float64","PLS eigen","PLS eigen",10,136,1.75,163.189453,0.22265625,0.934392573417835,0,"accuracy",0.934392573417835,0.753518881508825,0.838363295027981,,
"tabula","classification","chemometrics_pls_eigen","chemometrics","PLS eigen",44,"float64","float64","argmax","chemometrics","float64","PLS eigen","PLS eigen",10,603,5,314.660156,0.501953500000013,0.783275734633133,0,"accuracy",0.783275734633133,0.586035023863962,0.572764211743705,,
"tcga_brca","classification","chemometrics_pls_eigen","chemometrics","PLS eigen",7,"float64","float64","argmax","chemometrics","float64","PLS eigen","PLS eigen",3,1016,5.5,181.101562,0.103516000000013,0.886363636363636,0,"accuracy",0.886363636363636,0.679634551495017,0.695970602562468,,
"tcga_hnsc_methylation","classification","chemometrics_pls_eigen","chemometrics","PLS eigen",2,"float64","float64","argmax","chemometrics","float64","PLS eigen","PLS eigen",10,467,14.25,132.667969,0.318359750000013,1,0,"accuracy",1,1,1,,
"tcga_pan_cancer","classification","chemometrics_pls_eigen","chemometrics","PLS eigen",185,"float64","float64","argmax","chemometrics","float64","PLS eigen","PLS eigen",3,1634,5.5,215.984375,0.0722659999999848,0.881873727087576,0,"accuracy",0.881873727087576,0.823255035432532,0.807572341636232,,
"ccle","classification","fastPLS_simpls_cpu_irlba","fastPLS","SIMPLS",26,"float64","float64","argmax","argmax","float64","simpls","simpls",10,48,0.749999999999929,463.123047,0.278320250000036,0.71830985915493,0,"accuracy",0.71830985915493,0.59021164021164,0.602765752765753,,
"cifar100","classification","fastPLS_simpls_cpu_irlba","fastPLS","SIMPLS",263,"float64","float64","argmax","argmax","float64","simpls","simpls",3,16387,50,1687.101562,0.0195314999998573,0.8912,0,"accuracy",0.8912,0.8912,0.88985913883586,,
"gtex_v8","classification","fastPLS_simpls_cpu_irlba","fastPLS","SIMPLS",190,"float64","float64","argmax","argmax","float64","simpls","simpls",10,993.5,4.5,501.783203,0.354492499999992,0.963613550815558,0,"accuracy",0.963613550815558,0.823156168906619,0.829612729932731,,
"metref","classification","fastPLS_simpls_cpu_irlba","fastPLS","SIMPLS",118,"float64","float64","argmax","argmax","float64","simpls","simpls",10,82.5000000000001,0.999999999999901,465.3691405,0.278320000000008,0.97,0,"accuracy",0.97,0.972727272727273,0.973096348096348,,
"retina","classification","fastPLS_simpls_cpu_irlba","fastPLS","SIMPLS",30,"float64","float64","argmax","argmax","float64","simpls","simpls",10,80.0000000000001,2.50000000000004,518.375,0.399414499999921,0.967776488440596,0,"accuracy",0.967776488440596,0.901549874457733,0.933160842295358,,
"tabula","classification","fastPLS_simpls_cpu_irlba","fastPLS","SIMPLS",44,"float64","float64","argmax","argmax","float64","simpls","simpls",10,342,2.75,648.546875,0.724609500000042,0.800435486126371,0,"accuracy",0.800435486126371,0.598654992864988,0.58682068731277,,
"tcga_brca","classification","fastPLS_simpls_cpu_irlba","fastPLS","SIMPLS",7,"float64","float64","argmax","argmax","float64","simpls","simpls",10,26.9999999999999,0.999999999999901,465.1992185,0.25390625,0.852272727272727,0,"accuracy",0.852272727272727,0.680919158361019,0.669563167418508,,
"tcga_hnsc_methylation","classification","fastPLS_simpls_cpu_irlba","fastPLS","SIMPLS",2,"float64","float64","argmax","argmax","float64","simpls","simpls",10,18.5,0.999999999999901,461.3671875,0.613280750000001,1,0,"accuracy",1,1,1,,
"tcga_pan_cancer","classification","fastPLS_simpls_cpu_irlba","fastPLS","SIMPLS",185,"float64","float64","argmax","argmax","float64","simpls","simpls",10,798.5,8,498.027344,0.146483999999987,0.940936863543788,0,"accuracy",0.940936863543788,0.90513809166767,0.902001623474065,,
"ccle","classification","fastPLS_simpls_cpu_irlba_lda","fastPLS","SIMPLS + LDA",26,"float64","float64","lda","cpp_project","float64","simpls","simpls",10,54.9999999999999,1.49999999999993,463.6875,0.549804999999992,0.774647887323944,0,"accuracy",0.774647887323944,0.685582010582011,0.705659772326439,,
"cifar100","classification","fastPLS_simpls_cpu_irlba_lda","fastPLS","SIMPLS + LDA",263,"float64","float64","lda","cpp_project","float64","simpls","simpls",3,23343,12.5,1686.828125,0.417969000000085,0.8847,0,"accuracy",0.8847,0.8847,0.888974693902574,,
"gtex_v8","classification","fastPLS_simpls_cpu_irlba_lda","fastPLS","SIMPLS + LDA",190,"float64","float64","lda","cpp_project","float64","simpls","simpls",3,1286,12,502.039062,1.89257799999996,0.969887076537014,0,"accuracy",0.969887076537014,0.867805915711538,0.87156122383465,,
"metref","classification","fastPLS_simpls_cpu_irlba_lda","fastPLS","SIMPLS + LDA",118,"float64","float64","lda","cpp_project","float64","simpls","simpls",10,99.0000000000001,0.750000000000057,465.714844,0.177734250000015,0.99,0,"accuracy",0.99,0.988636363636364,0.988455988455988,,
"retina","classification","fastPLS_simpls_cpu_irlba_lda","fastPLS","SIMPLS + LDA",30,"float64","float64","lda","cpp_project","float64","simpls","simpls",10,90.0000000000001,0.749999999999929,494.7167965,0.301758250000034,0.969115415513702,0,"accuracy",0.969115415513702,0.909706872612551,0.936189749405791,,
