"dataset","method","classifier","backend","svd_method","outer_index","outer_seed","n_total","n_outer_train","n_outer_test","p","q","inner_kfold","component_grid","effective_component_grid","grid_min","grid_max","effective_grid_min","effective_grid_max","selected_ncomp","selected_lower_boundary","selected_upper_boundary","upper_grid_rank_constrained","metric_name","metric_value","accuracy","RMSD","Q2","selection_time_sec","final_fit_prediction_time_sec","total_time_sec","status","error"
"gtex_v8","kernelpls","argmax","cpu","rsvd",1,101,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.968992248062015,0.968992248062015,NA,0.8086807123958,9.17599999999999,1.85500000000002,11.031,"ok",NA
"gtex_v8","kernelpls","argmax","cpu","rsvd",2,211,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.96640826873385,0.96640826873385,NA,0.811148000035023,9.08500000000004,1.90000000000003,10.9850000000001,"ok",NA
"gtex_v8","kernelpls","argmax","cpu","rsvd",3,307,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.959948320413437,0.959948320413437,NA,0.806480335069254,9.089,1.84899999999999,10.938,"ok",NA
"gtex_v8","kernelpls","argmax","cpu","rsvd",4,401,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.965116279069767,0.965116279069767,NA,0.806275641211446,9.09199999999998,1.85499999999996,10.9469999999999,"ok",NA
"gtex_v8","kernelpls","argmax","cpu","rsvd",5,503,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.954780361757106,0.954780361757106,NA,0.797838243795528,9.214,1.887,11.101,"ok",NA
"gtex_v8","kernelpls","argmax","cpu","rsvd",6,601,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.963824289405685,0.963824289405685,NA,0.813189376514594,9.14300000000003,1.851,10.994,"ok",NA
"gtex_v8","kernelpls","argmax","cpu","rsvd",7,701,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.958656330749354,0.958656330749354,NA,0.807356565065885,9.11699999999996,1.85499999999996,10.9719999999999,"ok",NA
"gtex_v8","kernelpls","argmax","cpu","rsvd",8,809,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.959948320413437,0.959948320413437,NA,0.809336798041382,9.13300000000004,1.85500000000002,10.9880000000001,"ok",NA
"gtex_v8","kernelpls","argmax","cpu","rsvd",9,907,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.96640826873385,0.96640826873385,NA,0.816714608526309,9.09199999999998,1.87299999999999,10.965,"ok",NA
"gtex_v8","kernelpls","argmax","cpu","rsvd",10,1009,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.967700258397933,0.967700258397933,NA,0.809397150077899,9.108,1.85399999999998,10.962,"ok",NA
"gtex_v8","kernelpls","lda","cpu","rsvd",1,101,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,75,FALSE,FALSE,FALSE,"accuracy",0.979328165374677,0.979328165374677,NA,NA,10.459,1.637,12.096,"ok",NA
"gtex_v8","kernelpls","lda","cpu","rsvd",2,211,3797,3023,774,1000,32,5,"2;5;10;20;32;50;75;100","2;5;10;20;32;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"accuracy",0.972868217054264,0.972868217054264,NA,NA,10.44,2.20799999999997,12.648,"ok",NA
