"dataset","method","classifier","backend","svd_method","outer_index","outer_seed","n_total","n_outer_train","n_outer_test","p","q","inner_kfold","component_grid","effective_component_grid","grid_min","grid_max","effective_grid_min","effective_grid_max","selected_ncomp","selected_lower_boundary","selected_upper_boundary","upper_grid_rank_constrained","metric_name","metric_value","accuracy","RMSD","Q2","selection_time_sec","final_fit_prediction_time_sec","total_time_sec","status","error"
"metref","kernelpls","argmax","cpu","rsvd",1,101,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.72316384180791,0.72316384180791,NA,0.293454565490953,0.314999999999998,0.0670000000000002,0.381999999999998,"ok",NA
"metref","kernelpls","argmax","cpu","rsvd",2,211,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.779661016949153,0.779661016949153,NA,0.265001794317865,0.315000000000001,0.0700000000000003,0.385000000000002,"ok",NA
"metref","kernelpls","argmax","cpu","rsvd",3,307,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.774011299435028,0.774011299435028,NA,0.279219746622492,0.317999999999998,0.065999999999999,0.383999999999997,"ok",NA
"metref","kernelpls","argmax","cpu","rsvd",4,401,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.745762711864407,0.745762711864407,NA,0.29720486886236,0.32,0.0670000000000002,0.387,"ok",NA
"metref","kernelpls","argmax","cpu","rsvd",5,503,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.711864406779661,0.711864406779661,NA,0.262059511466301,0.318999999999999,0.065999999999999,0.384999999999998,"ok",NA
"metref","kernelpls","argmax","cpu","rsvd",6,601,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.779661016949153,0.779661016949153,NA,0.310491008480611,0.317999999999998,0.0670000000000002,0.384999999999998,"ok",NA
"metref","kernelpls","argmax","cpu","rsvd",7,701,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.745762711864407,0.745762711864407,NA,0.258835015726236,0.317,0.065999999999999,0.382999999999999,"ok",NA
"metref","kernelpls","argmax","cpu","rsvd",8,809,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.796610169491525,0.796610169491525,NA,0.296941634627866,0.317,0.0670000000000002,0.384,"ok",NA
"metref","kernelpls","argmax","cpu","rsvd",9,907,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.740112994350282,0.740112994350282,NA,0.304869273561391,0.317,0.0679999999999978,0.384999999999998,"ok",NA
"metref","kernelpls","argmax","cpu","rsvd",10,1009,873,696,177,375,22,5,"2;5;10;15;20;22","2;5;10;15;20;22",2,22,2,22,22,FALSE,TRUE,FALSE,"accuracy",0.751412429378531,0.751412429378531,NA,0.298041030446358,0.317,0.0650000000000048,0.382000000000005,"ok",NA
