"dataset","method","classifier","backend","svd_method","outer_index","outer_seed","n_total","n_outer_train","n_outer_test","p","q","inner_kfold","component_grid","effective_component_grid","grid_min","grid_max","effective_grid_min","effective_grid_max","selected_ncomp","selected_lower_boundary","selected_upper_boundary","upper_grid_rank_constrained","metric_name","metric_value","accuracy","RMSD","Q2","selection_time_sec","final_fit_prediction_time_sec","total_time_sec","status","error"
"nmr","plssvd","regression","cpu","rsvd",1,1201,1521,1216,305,13000,28355,3,"2;5;10;20;50;75;100","2;5;10;20;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"RMSD",0.000878793215112703,NA,0.000878793215112703,0.872888136162322,511.692,82.566,594.258,"ok",NA
"nmr","plssvd","regression","cpu","rsvd",2,2203,1521,1216,305,13000,28355,3,"2;5;10;20;50;75;100","2;5;10;20;50;75;100",2,100,2,100,100,FALSE,TRUE,FALSE,"RMSD",0.000777439257843464,NA,0.000777439257843464,0.896838067872139,533.665,82.8139999999999,616.479,"ok",NA
"nmr","plssvd","regression","cpu","rsvd",3,3209,1521,1216,305,13000,28355,3,"2;5;10;20;50;75;100","2;5;10;20;50;75;100",2,100,2,100,50,FALSE,FALSE,FALSE,"RMSD",0.000918288446777466,NA,0.000918288446777466,0.866557670668803,552.231,51.3009999999999,603.532,"ok",NA
"nmr","plssvd","regression","cpu","rsvd",4,4211,1521,1216,305,13000,28355,3,"2;5;10;20;50;75;100","2;5;10;20;50;75;100",2,100,2,100,50,FALSE,FALSE,FALSE,"RMSD",0.000925774812631919,NA,0.000925774812631919,0.865396363715948,519.342,50.9090000000001,570.251,"ok",NA
"nmr","plssvd","regression","cpu","rsvd",5,5231,1521,1216,305,13000,28355,3,"2;5;10;20;50;75;100","2;5;10;20;50;75;100",2,100,2,100,50,FALSE,FALSE,FALSE,"RMSD",0.00101384582658139,NA,0.00101384582658139,0.853748453241601,501.706,50.998,552.704,"ok",NA
"nmr","simpls","regression","cpu","rsvd",1,1201,1521,1216,305,13000,28355,3,"10;25;50;75;100;125;150;165;200","10;25;50;75;100;125;150;165;200",10,200,10,200,50,FALSE,FALSE,FALSE,"RMSD",0.000872921799604029,NA,0.000872921799604029,0.874580988059391,596.641,18.472,615.113,"ok",""
"nmr","simpls","regression","cpu","rsvd",2,2203,1521,1216,305,13000,28355,3,"10;25;50;75;100;125;150;165;200","10;25;50;75;100;125;150;165;200",10,200,10,200,50,FALSE,FALSE,FALSE,"RMSD",0.000751490073101801,NA,0.000751490073101801,0.903609767149588,579.437,18.037,597.474,"ok",""
"nmr","simpls","regression","cpu","rsvd",3,3209,1521,1216,305,13000,28355,3,"10;25;50;75;100;125;150;165;200","10;25;50;75;100;125;150;165;200",10,200,10,200,50,FALSE,FALSE,FALSE,"RMSD",0.000857689388292777,NA,0.000857689388292777,0.883588617436027,570.116,18.595,588.711,"ok",""
"nmr","simpls","regression","cpu","rsvd",4,4211,1521,1216,305,13000,28355,3,"10;25;50;75;100;125;150;165;200","10;25;50;75;100;125;150;165;200",10,200,10,200,75,FALSE,FALSE,FALSE,"RMSD",0.000865044120671718,NA,0.000865044120671718,0.882477076007231,579.399,24.2779999999998,603.677,"ok",""
"nmr","simpls","regression","cpu","rsvd",5,5231,1521,1216,305,13000,28355,3,"10;25;50;75;100;125;150;165;200","10;25;50;75;100;125;150;165;200",10,200,10,200,50,FALSE,FALSE,FALSE,"RMSD",0.000937338893925843,NA,0.000937338893925843,0.874988516662981,587.593,19.48,607.073,"ok",""
