"dataset","method","classifier","backend","svd_method","outer_index","outer_seed","n_total","n_outer_train","n_outer_test","p","q","inner_kfold","component_grid","effective_component_grid","grid_min","grid_max","effective_grid_min","effective_grid_max","selected_ncomp","selected_lower_boundary","selected_upper_boundary","upper_grid_rank_constrained","metric_name","metric_value","accuracy","RMSD","Q2","selection_time_sec","final_fit_prediction_time_sec","total_time_sec","status","error"
"retina","kernelpls","argmax","cpu","rsvd",1,101,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.969105509703324,0.969105509703324,NA,0.847003085564966,1.232,0.0550000000000068,1.28700000000001,"ok",NA
"retina","kernelpls","argmax","cpu","rsvd",2,211,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,50,FALSE,TRUE,FALSE,"accuracy",0.967655587776043,0.967655587776043,NA,0.84377250844367,1.23399999999999,0.0559999999999974,1.28999999999999,"ok",NA
"retina","kernelpls","argmax","cpu","rsvd",3,307,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,40,FALSE,FALSE,FALSE,"accuracy",0.970666964086549,0.970666964086549,NA,0.850688872608641,1.245,0.0550000000000068,1.30000000000001,"ok",NA
"retina","kernelpls","argmax","cpu","rsvd",4,401,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,40,FALSE,FALSE,FALSE,"accuracy",0.9685478474236,0.9685478474236,NA,0.847916197020458,1.232,0.0530000000000115,1.28500000000001,"ok",NA
"retina","kernelpls","argmax","cpu","rsvd",5,503,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,40,FALSE,FALSE,FALSE,"accuracy",0.964867276377426,0.964867276377426,NA,0.842062912330481,1.22799999999999,0.0559999999999974,1.28399999999999,"ok",NA
"retina","kernelpls","argmax","cpu","rsvd",6,601,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.967544055320098,0.967544055320098,NA,0.846435781604413,1.242,0.054000000000002,1.29600000000001,"ok",NA
"retina","kernelpls","argmax","cpu","rsvd",7,701,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,20,FALSE,FALSE,FALSE,"accuracy",0.966986393040375,0.966986393040375,NA,0.84261751790757,1.28599999999999,0.054000000000002,1.33999999999999,"ok",NA
"retina","kernelpls","argmax","cpu","rsvd",8,809,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,20,FALSE,FALSE,FALSE,"accuracy",0.968101717599822,0.968101717599822,NA,0.847792057882245,1.24000000000001,0.0529999999999973,1.29300000000001,"ok",NA
"retina","kernelpls","argmax","cpu","rsvd",9,907,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,40,FALSE,FALSE,FALSE,"accuracy",0.968213250055766,0.968213250055766,NA,0.844161376273773,1.24000000000001,0.0550000000000068,1.29500000000002,"ok",NA
"retina","kernelpls","argmax","cpu","rsvd",10,1009,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.967320990408209,0.967320990408209,NA,0.844295077935575,1.226,0.0530000000000115,1.27900000000001,"ok",NA
