"dataset","method","classifier","selected_ncomp","count","frequency"
"retina","kernelpls","argmax",20,2,0.2
"retina","kernelpls","argmax",30,3,0.3
"retina","kernelpls","argmax",40,4,0.4
"retina","kernelpls","argmax",50,1,0.1
"retina","opls","argmax",30,7,0.7
"retina","opls","argmax",40,3,0.3
"retina","plssvd","argmax",11,10,1
"retina","simpls","argmax",20,2,0.2
"retina","simpls","argmax",30,3,0.3
"retina","simpls","argmax",40,4,0.4
"retina","simpls","argmax",50,1,0.1
"retina","kernelpls","lda",20,5,0.5
"retina","kernelpls","lda",30,2,0.2
"retina","kernelpls","lda",40,1,0.1
"retina","kernelpls","lda",50,2,0.2
"retina","opls","lda",20,2,0.2
"retina","opls","lda",30,6,0.6
"retina","opls","lda",40,2,0.2
"retina","plssvd","lda",11,10,1
"retina","simpls","lda",20,5,0.5
"retina","simpls","lda",30,2,0.2
"retina","simpls","lda",40,1,0.1
"retina","simpls","lda",50,2,0.2
