"run_id","experiment","dataset","task_type","method","backend_requested","backend_reported","prediction_backend","svd_method","classifier","precision","ncomp","n_train","n_test","p","q","seed","replicate","requested_oversample","requested_power","control_profile","oversample","power","direction_rule","directions_per_solve","refresh_width","refresh_iterations","fresh_start","kernel","north","fit_sec","prediction_sec","total_sec","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","peak_rss_mb","incremental_peak_rss_mb","metric_name","metric_value","accuracy","q2","rmsd","prediction_checksum","prediction_length","status","warnings","error","package_version"
"selected_backend__cbmc_citeseq__plssvd__cpu__r1","selected_component_backend_panel","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",10,7755,862,1000,10,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.131,0.01,0.141,452.91796875,456.1796875,456.1796875,524.02734375,71.109375,"rmsd",1096.50042330597,NA,0.470082959556193,1096.50042330597,2368212056.6836,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__plssvd__cpu__r2","selected_component_backend_panel","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",10,7755,862,1000,10,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.131,0.0089999999999999,0.14,452.81640625,456.17578125,456.17578125,524.02734375,71.2109375,"rmsd",1096.50042330597,NA,0.470082959556193,1096.50042330597,2368212056.6836,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__plssvd__cpu__r3","selected_component_backend_panel","cbmc_citeseq","regression","plssvd","cpu","cpu","cpu_flash","rsvd","argmax","float64",10,7755,862,1000,10,1003,3,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.133,0.01,0.143,452.8203125,456.19921875,456.19921875,523.7578125,70.9375,"rmsd",1096.50042330597,NA,0.470082959556193,1096.50042330597,2368212056.6836,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__plssvd__cuda__r1","selected_component_backend_panel","cbmc_citeseq","regression","plssvd","cuda","cuda","cuda_flash","rsvd","argmax","float64",10,7755,862,1000,10,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.417,0.00800000000000001,0.425,452.76171875,787.19140625,788.59765625,856.71484375,403.953125,"rmsd",1096.50042330599,NA,0.470082959556182,1096.50042330599,2368212056.68361,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__plssvd__cuda__r2","selected_component_backend_panel","cbmc_citeseq","regression","plssvd","cuda","cuda","cuda_flash","rsvd","argmax","float64",10,7755,862,1000,10,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.313,0.00800000000000001,0.321,452.8359375,786.6640625,788.07421875,856.328125,403.4921875,"rmsd",1096.50042330598,NA,0.470082959556184,1096.50042330598,2368212056.68361,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__plssvd__cuda__r3","selected_component_backend_panel","cbmc_citeseq","regression","plssvd","cuda","cuda","cuda_flash","rsvd","argmax","float64",10,7755,862,1000,10,1003,3,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.314,0.00800000000000001,0.322,452.765625,786.8984375,788.359375,856.5390625,403.7734375,"rmsd",1096.50042330598,NA,0.470082959556189,1096.50042330598,2368212056.68361,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__simpls__cpu__r1","selected_component_backend_panel","cbmc_citeseq","regression","simpls","cpu","cpu","cpu_flash","rsvd","argmax","float64",49,7755,862,1000,10,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.608,0.01,0.618,452.74609375,455.7734375,455.7734375,573.0078125,120.26171875,"rmsd",1050.86326615961,NA,0.513276068667307,1050.86326615961,2377403560.98692,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__simpls__cpu__r2","selected_component_backend_panel","cbmc_citeseq","regression","simpls","cpu","cpu","cpu_flash","rsvd","argmax","float64",49,7755,862,1000,10,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.6,0.00900000000000012,0.609,452.84765625,455.8984375,455.8984375,573.53125,120.68359375,"rmsd",1050.8632661615,NA,0.513276068665562,1050.8632661615,2377403560.98502,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__simpls__cpu__r3","selected_component_backend_panel","cbmc_citeseq","regression","simpls","cpu","cpu","cpu_flash","rsvd","argmax","float64",49,7755,862,1000,10,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.599,0.00900000000000012,0.608,452.8359375,455.90625,455.90625,573.22265625,120.38671875,"rmsd",1050.86326616939,NA,0.513276068658251,1050.86326616939,2377403560.97963,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__simpls__cuda__r1","selected_component_backend_panel","cbmc_citeseq","regression","simpls","cuda","cuda","cuda_flash","rsvd","argmax","float64",49,7755,862,1000,10,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.612,0.00800000000000001,0.62,452.8125,790.13671875,791.16015625,859.44140625,406.62890625,"rmsd",1050.86326613946,NA,0.513276068685973,1050.86326613946,2377403561.00128,8620,"success","","","0.99.39"
