"package_version","accelerator","dataset","method","ncomp","cpu_total_sec","accelerator_total_sec","cpu_accelerator_ratio","metric_cpu","metric_accelerator","metric_delta","prediction_agreement","cpu_peak_rss_mb","accelerator_peak_rss_mb","cpu_incremental_rss_mb","accelerator_incremental_rss_mb","cpu_ok","accelerator_ok"
"0.99.39","metal","cbmc_citeseq","plssvd",10,0.138,0.217,0.63594470046083,1096.50042330597,1096.50040684303,-1.6462941403006e-05,0.999995695151315,349.4375,473.6875,66.875,186.546875,3,3
"0.99.39","metal","cbmc_citeseq","simpls",49,0.362,1.68,0.21547619047619,1050.86326616619,1050.86303425771,-0.000231908478781406,0.999996887580293,411.9375,512.1875,125.734375,226.40625,3,3
"0.99.39","metal","cbmc_citeseq","opls",48,0.472,1.836,0.257080610021787,1051.00988214453,1051.01003222134,0.000150076805311983,0.999996228350221,480.734375,517.65625,191.75,229.875,3,3
"0.99.39","metal","cbmc_citeseq","kernelpls",49,0.359,1.591,0.225644248900063,1050.86326616619,1050.86303425771,-0.000231908478781406,0.999996887580293,413.28125,516.5,125.84375,226.921875,3,3
"0.99.39","metal","ccle","plssvd",17,0.0189999999999999,0.069,0.275362318840579,0.647887323943662,0.647887323943662,0,1,229.03125,244.171875,5.265625,17.828125,3,3
"0.99.39","metal","ccle","simpls",26,0.155,0.237,0.654008438818565,0.71830985915493,0.71830985915493,0,1,235.359375,262.453125,9.15625,34.65625,3,3
"0.99.39","metal","ccle","opls",25,0.164,0.285,0.575438596491228,0.676056338028169,0.676056338028169,0,1,241.65625,261.1875,14.140625,34.90625,3,3
"0.99.39","metal","ccle","kernelpls",26,0.155,0.222,0.698198198198198,0.71830985915493,0.71830985915493,0,1,235.296875,262.9375,9.15625,34.359375,3,3
"0.99.39","metal","cifar100","plssvd",99,6.094,1.428,4.26750700280112,0.874,0.874,0,1,857.4375,1313.390625,349.09375,737.8125,3,3
"0.99.39","metal","cifar100","simpls",263,15.276,35.189,0.434112933018841,0.8911,0.8912,9.9999999999989e-05,0.9996,1098.28125,1355.953125,524.9375,781.140625,3,3
"0.99.39","metal","cifar100","opls",286,20.797,39.062,0.53241001484819,0.8908,0.8908,0,0.9996,1236.359375,1355.28125,663.015625,781.609375,3,3
"0.99.39","metal","cifar100","kernelpls",263,15.016,34.811,0.43135790411077,0.8911,0.8912,9.9999999999989e-05,0.9996,1275,1470.28125,700.640625,896.375,3,3
"0.99.39","metal","gtex_v8","plssvd",30,0.152,0.152,1,0.941028858218319,0.941028858218319,0,1,284.890625,334.484375,30.8125,84.84375,3,3
"0.99.39","metal","gtex_v8","simpls",190,3.515,3.069,1.14532420984034,0.963613550815558,0.963613550815558,0,1,305.875,382.84375,54.3125,129.25,3,3
"0.99.39","metal","gtex_v8","opls",179,3.425,3.058,1.12001308044474,0.961104140526976,0.961104140526976,0,1,338.71875,404.328125,84.90625,148.671875,3,3
"0.99.39","metal","gtex_v8","kernelpls",190,3.512,3.055,1.14959083469722,0.963613550815558,0.963613550815558,0,1,307.46875,387.828125,54.28125,135.109375,3,3
"0.99.39","metal","metref","plssvd",21,0.015,0.069,0.217391304347826,0.8,0.8,0,1,225.890625,236.859375,1.140625,12.015625,3,3
"0.99.39","metal","metref","simpls",118,0.353,0.89,0.396629213483146,0.97,0.97,0,1,229.890625,274.953125,4.546875,52.09375,3,3
"0.99.39","metal","metref","opls",118,0.361,0.896,0.402901785714286,0.97,0.97,0,1,229.21875,278.578125,5.53125,54.703125,3,3
"0.99.39","metal","metref","kernelpls",118,0.353,0.828,0.426328502415459,0.97,0.97,0,1,229.421875,272.46875,5.28125,49.8125,3,3
"0.99.39","metal","prism","plssvd",7,0.997,0.43,2.31860465116279,0.549632282859677,0.549632285311472,2.45179521130012e-09,0.999999869276636,366.359375,461.296875,124.3125,217.28125,3,3
"0.99.39","metal","prism","simpls",6,7.66,2.37,3.23206751054852,0.547758816210537,0.547758816460513,2.49976150890063e-10,0.999999952283931,402.234375,612.796875,157.5,369.40625,3,3
"0.99.39","metal","prism","opls",5,14.404,2.418,5.95698924731183,0.549646861460087,0.549646862524272,1.06418485135151e-09,0.999999949441339,458.9375,636.078125,214.796875,396.96875,3,3
"0.99.39","metal","prism","kernelpls",6,7.802,2.377,3.28228859907446,0.547758816210537,0.547758816460513,2.49976150890063e-10,0.999999952283931,372.234375,587.078125,127.84375,343.484375,3,3
"0.99.39","metal","retina","plssvd",11,0.045,0.115,0.391304347826087,0.927251629027939,0.927251629027939,0,1,308.515625,348.46875,41.375,81.890625,3,3
"0.99.39","metal","retina","simpls",30,0.049,0.441,0.111111111111111,0.967776488440596,0.967776488440596,0,1,315.328125,369.859375,49.734375,104.984375,3,3
"0.99.39","metal","retina","opls",22,0.073,0.451,0.161862527716186,0.94974560385611,0.94974560385611,0,1,330.265625,374.484375,62.328125,106.578125,3,3
"0.99.39","metal","retina","kernelpls",30,0.05,0.438,0.114155251141553,0.967776488440596,0.967776488440596,0,1,314.0625,373.765625,46.8125,110.40625,3,3
"0.99.39","metal","tabula","plssvd",31,0.287,0.418,0.686602870813397,0.779999600471444,0.779999600471444,0,1,468.953125,524.578125,165.953125,221.453125,3,3
"0.99.39","metal","tabula","simpls",44,0.238,1.301,0.18293620292083,0.800435486126371,0.800435486126371,0,1,456.015625,527.953125,154.03125,223.046875,3,3
"0.99.39","metal","tabula","opls",47,0.351,1.589,0.220893643801133,0.798138196927625,0.798138196927625,0,1,465.140625,601.5,164.984375,292.625,3,3
"0.99.39","metal","tabula","kernelpls",44,0.237,1.258,0.188394276629571,0.800435486126371,0.800435486126371,0,1,440.890625,523.40625,137.859375,222.3125,3,3
"0.99.39","metal","tcga_brca","plssvd",3,0.0119999999999999,0.076,0.157894736842104,0.840909090909091,0.840909090909091,0,1,235.640625,253.359375,6.875,25.765625,3,3
"0.99.39","metal","tcga_brca","simpls",7,0.016,0.117,0.136752136752137,0.852272727272727,0.852272727272727,0,1,241.46875,249.640625,12.40625,25.765625,3,3
"0.99.39","metal","tcga_brca","opls",5,0.023,0.163,0.141104294478528,0.818181818181818,0.818181818181818,0,1,250.765625,253.203125,18.8125,25.890625,3,3
"0.99.39","metal","tcga_brca","kernelpls",7,0.017,0.12,0.141666666666667,0.852272727272727,0.852272727272727,0,1,241.671875,252.140625,12.484375,25.734375,3,3
"0.99.39","metal","tcga_hnsc_methylation","plssvd",1,0.0069999999999999,0.073,0.0958904109589027,1,1,0,1,228.3125,242.171875,4.15625,17.75,3,3
