"run_id","experiment","dataset","task_type","method","backend_requested","backend_reported","prediction_backend","svd_method","classifier","precision","ncomp","n_train","n_test","p","q","seed","replicate","requested_oversample","requested_power","control_profile","oversample","power","direction_rule","directions_per_solve","refresh_width","refresh_iterations","fresh_start","kernel","north","fit_sec","prediction_sec","total_sec","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","peak_rss_mb","incremental_peak_rss_mb","metric_name","metric_value","accuracy","q2","rmsd","prediction_checksum","prediction_length","status","warnings","error","package_version"
"selected_backend__cbmc_citeseq__plssvd__cpu__r1","selected_component_backend_panel","cbmc_citeseq","regression","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",10,7755,862,1000,10,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.138,0.00700000000000001,0.145,279.828125,321.828125,328.90625,336.765625,56.9375,"rmsd",1096.50042330597,NA,0.470082959556205,1096.50042330597,2368212056.68359,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__plssvd__cpu__r2","selected_component_backend_panel","cbmc_citeseq","regression","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",10,7755,862,1000,10,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.134,0.004,0.138,291.203125,351.265625,357.9375,358.078125,66.875,"rmsd",1096.50042330597,NA,0.470082959556205,1096.50042330597,2368212056.68359,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__plssvd__cpu__r3","selected_component_backend_panel","cbmc_citeseq","regression","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",10,7755,862,1000,10,1003,3,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.123,0.004,0.127,281.75,342.40625,349.078125,349.4375,67.6875,"rmsd",1096.50042330597,NA,0.470082959556205,1096.50042330597,2368212056.68359,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__plssvd__metal__r1","selected_component_backend_panel","cbmc_citeseq","regression","plssvd","metal","metal","metal","rsvd","argmax","float64",10,7755,862,1000,10,1001,1,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.268,0.015,0.283,287.59375,414.859375,434.875,473.6875,186.09375,"rmsd",1096.50040684303,NA,0.470082975468634,1096.50040684303,2368211345.79998,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__plssvd__metal__r2","selected_component_backend_panel","cbmc_citeseq","regression","plssvd","metal","metal","metal","rsvd","argmax","float64",10,7755,862,1000,10,1002,2,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.204,0.013,0.217,287.234375,414.484375,440.859375,473.890625,186.65625,"rmsd",1096.50040684303,NA,0.470082975468634,1096.50040684303,2368211345.79998,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__plssvd__metal__r3","selected_component_backend_panel","cbmc_citeseq","regression","plssvd","metal","metal","metal","rsvd","argmax","float64",10,7755,862,1000,10,1003,3,NA,NA,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.202,0.015,0.217,285.859375,413.078125,439.453125,472.40625,186.546875,"rmsd",1096.50040684303,NA,0.470082975468634,1096.50040684303,2368211345.79998,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__simpls__cpu__r1","selected_component_backend_panel","cbmc_citeseq","regression","simpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",49,7755,862,1000,10,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.355,0.00500000000000012,0.36,286.203125,405.15625,411.828125,411.9375,125.734375,"rmsd",1050.86326616619,NA,0.513276068661223,1050.86326616619,2377403560.98199,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__simpls__cpu__r2","selected_component_backend_panel","cbmc_citeseq","regression","simpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",49,7755,862,1000,10,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.358,0.004,0.362,286.703125,405.71875,412.390625,412.5,125.796875,"rmsd",1050.86326616376,NA,0.513276068663474,1050.86326616376,2377403560.98391,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__simpls__cpu__r3","selected_component_backend_panel","cbmc_citeseq","regression","simpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",49,7755,862,1000,10,1003,3,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.359,0.00499999999999989,0.364,288.015625,407.15625,407.3125,407.421875,119.40625,"rmsd",1050.86326616982,NA,0.513276068657855,1050.86326616982,2377403560.9796,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__simpls__metal__r1","selected_component_backend_panel","cbmc_citeseq","regression","simpls","metal","metal","metal","rsvd","argmax","float64",49,7755,862,1000,10,1001,1,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.659,0.0129999999999999,1.672,286.078125,452.796875,467.078125,511.453125,225.375,"rmsd",1050.86303425771,NA,0.513276283485352,1050.86303425771,2377402865.49314,8620,"success","","","0.99.39"
"selected_backend__cbmc_citeseq__simpls__metal__r2","selected_component_backend_panel","cbmc_citeseq","regression","simpls","metal","metal","metal","rsvd","argmax","float64",49,7755,862,1000,10,1002,2,NA,NA,"ordinary_fast",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,1.666,0.0140000000000002,1.68,285.859375,455.625,464.21875,513.625,227.765625,"rmsd",1050.86303425771,NA,0.513276283485352,1050.86303425771,2377402865.49314,8620,"success","","","0.99.39"
