"package_version","dataset","method","backend","ncomp","n_ok","n_failed","median_total_sec","iqr_total_sec","median_metric","median_peak_rss_mb","median_incremental_rss_mb","error"
"0.99.39","cbmc_citeseq","plssvd","cpu",10,3,0,0.138,0.00900000000000001,1096.50042330597,349.4375,66.875,""
"0.99.39","cbmc_citeseq","plssvd","metal",10,3,0,0.217,0.033,1096.50040684303,473.6875,186.546875,""
"0.99.39","cbmc_citeseq","simpls","cpu",49,3,0,0.362,0.00199999999999989,1050.86326616619,411.9375,125.734375,""
"0.99.39","cbmc_citeseq","simpls","metal",49,3,0,1.68,0.0355000000000003,1050.86303425771,512.1875,226.40625,""
"0.99.39","cbmc_citeseq","opls","cpu",48,3,0,0.472,0.00400000000000011,1051.00988214453,480.734375,191.75,""
"0.99.39","cbmc_citeseq","opls","metal",48,3,0,1.836,0.0634999999999999,1051.01003222134,517.65625,229.875,""
"0.99.39","cbmc_citeseq","kernelpls","cpu",49,3,0,0.359,0.0035,1050.86326616619,413.28125,125.84375,""
"0.99.39","cbmc_citeseq","kernelpls","metal",49,3,0,1.591,0.0814999999999999,1050.86303425771,516.5,226.921875,""
"0.99.39","ccle","plssvd","cpu",17,3,0,0.0189999999999999,0.003,0.647887323943662,229.03125,5.265625,""
"0.99.39","ccle","plssvd","metal",17,3,0,0.069,0.005,0.647887323943662,244.171875,17.828125,""
"0.99.39","ccle","simpls","cpu",26,3,0,0.155,0,0.71830985915493,235.359375,9.15625,""
"0.99.39","ccle","simpls","metal",26,3,0,0.237,0.00550000000000006,0.71830985915493,262.453125,34.65625,""
"0.99.39","ccle","opls","cpu",25,3,0,0.164,0.00100000000000006,0.676056338028169,241.65625,14.140625,""
"0.99.39","ccle","opls","metal",25,3,0,0.285,0.013,0.676056338028169,261.1875,34.90625,""
"0.99.39","ccle","kernelpls","cpu",26,3,0,0.155,5e-04,0.71830985915493,235.296875,9.15625,""
"0.99.39","ccle","kernelpls","metal",26,3,0,0.222,0.00850000000000006,0.71830985915493,262.9375,34.359375,""
"0.99.39","cifar100","plssvd","cpu",99,3,0,6.094,0.124,0.874,857.4375,349.09375,""
"0.99.39","cifar100","plssvd","metal",99,3,0,1.428,0.19,0.874,1313.390625,737.8125,""
"0.99.39","cifar100","simpls","cpu",263,3,0,15.276,0.0474999999999994,0.8911,1098.28125,524.9375,""
"0.99.39","cifar100","simpls","metal",263,3,0,35.189,0.468500000000006,0.8912,1355.953125,781.140625,""
"0.99.39","cifar100","opls","cpu",286,3,0,20.797,0.163500000000003,0.8908,1236.359375,663.015625,""
"0.99.39","cifar100","opls","metal",286,3,0,39.062,0.323500000000003,0.8908,1355.28125,781.609375,""
"0.99.39","cifar100","kernelpls","cpu",263,3,0,15.016,0.111000000000001,0.8911,1275,700.640625,""
"0.99.39","cifar100","kernelpls","metal",263,3,0,34.811,0.447499999999998,0.8912,1470.28125,896.375,""
"0.99.39","gtex_v8","plssvd","cpu",30,3,0,0.152,0.0025,0.941028858218319,284.890625,30.8125,""
"0.99.39","gtex_v8","plssvd","metal",30,3,0,0.152,0.015,0.941028858218319,334.484375,84.84375,""
"0.99.39","gtex_v8","simpls","cpu",190,3,0,3.515,0.00699999999999967,0.963613550815558,305.875,54.3125,""
"0.99.39","gtex_v8","simpls","metal",190,3,0,3.069,0.0134999999999996,0.963613550815558,382.84375,129.25,""
"0.99.39","gtex_v8","opls","cpu",179,3,0,3.425,0.00399999999999956,0.961104140526976,338.71875,84.90625,""
"0.99.39","gtex_v8","opls","metal",179,3,0,3.058,0.103,0.961104140526976,404.328125,148.671875,""
"0.99.39","gtex_v8","kernelpls","cpu",190,3,0,3.512,0.004,0.963613550815558,307.46875,54.28125,""
"0.99.39","gtex_v8","kernelpls","metal",190,3,0,3.055,0.0549999999999997,0.963613550815558,387.828125,135.109375,""
"0.99.39","metref","plssvd","cpu",21,3,0,0.015,0.000500000000000056,0.8,225.890625,1.140625,""
"0.99.39","metref","plssvd","metal",21,3,0,0.069,0.006,0.8,236.859375,12.015625,""
"0.99.39","metref","simpls","cpu",118,3,0,0.353,5.55111512312578e-17,0.97,229.890625,4.546875,""
"0.99.39","metref","simpls","metal",118,3,0,0.89,0.0359999999999999,0.97,274.953125,52.09375,""
"0.99.39","metref","opls","cpu",118,3,0,0.361,0.000499999999999889,0.97,229.21875,5.53125,""
"0.99.39","metref","opls","metal",118,3,0,0.896,0.0180000000000001,0.97,278.578125,54.703125,""
"0.99.39","metref","kernelpls","cpu",118,3,0,0.353,0.00100000000000006,0.97,229.421875,5.28125,""
"0.99.39","metref","kernelpls","metal",118,3,0,0.828,0.208,0.97,272.46875,49.8125,""
"0.99.39","prism","plssvd","cpu",7,3,0,0.997,0.00550000000000006,0.549632282859677,366.359375,124.3125,""
"0.99.39","prism","plssvd","metal",7,3,0,0.43,0.0175,0.549632285311472,461.296875,217.28125,""
"0.99.39","prism","simpls","cpu",6,3,0,7.66,0.0205000000000002,0.547758816210537,402.234375,157.5,""
"0.99.39","prism","simpls","metal",6,3,0,2.37,0.00550000000000006,0.547758816460513,612.796875,369.40625,""
"0.99.39","prism","opls","cpu",5,3,0,14.404,0.0649999999999995,0.549646861460087,458.9375,214.796875,""
"0.99.39","prism","opls","metal",5,3,0,2.418,0.0225,0.549646862524272,636.078125,396.96875,""
"0.99.39","prism","kernelpls","cpu",6,3,0,7.802,0.0989999999999993,0.547758816210537,372.234375,127.84375,""
"0.99.39","prism","kernelpls","metal",6,3,0,2.377,0.0310000000000001,0.547758816460513,587.078125,343.484375,""
"0.99.39","retina","plssvd","cpu",11,3,0,0.045,0.00100000000000006,0.927251629027939,308.515625,41.375,""
"0.99.39","retina","plssvd","metal",11,3,0,0.115,0.00349999999999995,0.927251629027939,348.46875,81.890625,""
"0.99.39","retina","simpls","cpu",30,3,0,0.049,0.000500000000000056,0.967776488440596,315.328125,49.734375,""
"0.99.39","retina","simpls","metal",30,3,0,0.441,0.00799999999999995,0.967776488440596,369.859375,104.984375,""
"0.99.39","retina","opls","cpu",22,3,0,0.073,0.001,0.94974560385611,330.265625,62.328125,""
"0.99.39","retina","opls","metal",22,3,0,0.451,0.0100000000000001,0.94974560385611,374.484375,106.578125,""
"0.99.39","retina","kernelpls","cpu",30,3,0,0.05,0.00100000000000006,0.967776488440596,314.0625,46.8125,""
"0.99.39","retina","kernelpls","metal",30,3,0,0.438,0.021,0.967776488440596,373.765625,110.40625,""
"0.99.39","tabula","plssvd","cpu",31,3,0,0.287,0.0105000000000001,0.779999600471444,468.953125,165.953125,""
"0.99.39","tabula","plssvd","metal",31,3,0,0.418,0.0255000000000001,0.779999600471444,524.578125,221.453125,""
"0.99.39","tabula","simpls","cpu",44,3,0,0.238,0.0015,0.800435486126371,456.015625,154.03125,""
"0.99.39","tabula","simpls","metal",44,3,0,1.301,0.0375000000000001,0.800435486126371,527.953125,223.046875,""
"0.99.39","tabula","opls","cpu",47,3,0,0.351,0.00150000000000006,0.798138196927625,465.140625,164.984375,""
"0.99.39","tabula","opls","metal",47,3,0,1.589,0.0235000000000001,0.798138196927625,601.5,292.625,""
"0.99.39","tabula","kernelpls","cpu",44,3,0,0.237,0.0115,0.800435486126371,440.890625,137.859375,""
"0.99.39","tabula","kernelpls","metal",44,3,0,1.258,0.0314999999999999,0.800435486126371,523.40625,222.3125,""
"0.99.39","tcga_brca","plssvd","cpu",3,3,0,0.0119999999999999,5e-04,0.840909090909091,235.640625,6.875,""
"0.99.39","tcga_brca","plssvd","metal",3,3,0,0.076,0.00149999999999995,0.840909090909091,253.359375,25.765625,""
"0.99.39","tcga_brca","simpls","cpu",7,3,0,0.016,5e-04,0.852272727272727,241.46875,12.40625,""
"0.99.39","tcga_brca","simpls","metal",7,3,0,0.117,0.00700000000000001,0.852272727272727,249.640625,25.765625,""
"0.99.39","tcga_brca","opls","cpu",5,3,0,0.023,5e-04,0.818181818181818,250.765625,18.8125,""
"0.99.39","tcga_brca","opls","metal",5,3,0,0.163,0.00899999999999995,0.818181818181818,253.203125,25.890625,""
"0.99.39","tcga_brca","kernelpls","cpu",7,3,0,0.017,5.55111512312578e-17,0.852272727272727,241.671875,12.484375,""
"0.99.39","tcga_brca","kernelpls","metal",7,3,0,0.12,0.004,0.852272727272727,252.140625,25.734375,""
"0.99.39","tcga_hnsc_methylation","plssvd","cpu",1,3,0,0.0069999999999999,0.00100000000000006,1,228.3125,4.15625,""
"0.99.39","tcga_hnsc_methylation","plssvd","metal",1,3,0,0.073,0.00550000000000006,1,242.171875,17.75,""
"0.99.39","tcga_hnsc_methylation","simpls","cpu",2,3,0,0.00700000000000001,0.00100000000000006,1,229.828125,7.03125,""
"0.99.39","tcga_hnsc_methylation","simpls","metal",2,3,0,0.0840000000000001,0.0115,1,242.984375,15.28125,""
