"dataset","task_type","n_train","n_test","p","q","ncomp","method","backend","svd_method","pair","configuration","optimized_value","optimization_applicable","xprod","replicate","fit_time_sec","predict_time_sec","total_time_sec","metric_name","metric_value","rss_before_fit_mb","status","error","fit_window_peak_rss_mb","incremental_peak_rss_mb","prediction_agreement","max_abs_prediction_diff"
"ccle","classification",547,71,1000,18,20,"simpls","cpu","irlba","compact_prediction","coefficient_cube",FALSE,TRUE,FALSE,1,0.0289999999999999,0.011,0.0399999999999999,"accuracy",0.647887323943662,195.046875,"success",NA,201.796875,6.75,1,NA
"ccle","classification",547,71,1000,18,20,"simpls","cpu","irlba","compact_prediction","coefficient_cube",FALSE,TRUE,FALSE,2,0.029,0.011,0.04,"accuracy",0.647887323943662,195.890625,"success",NA,204.96875,9.078125,1,NA
"ccle","classification",547,71,1000,18,20,"simpls","cpu","irlba","compact_prediction","coefficient_cube",FALSE,TRUE,FALSE,3,0.028,0.011,0.039,"accuracy",0.647887323943662,192.578125,"success",NA,208.859375,16.28125,1,NA
"ccle","classification",547,71,1000,18,20,"simpls","cpu","irlba","incremental_coefficients","coefficients_incremental",TRUE,TRUE,FALSE,1,0.028,0.011,0.039,"accuracy",0.647887323943662,194.484375,"success",NA,206.109375,11.625,1,NA
"ccle","classification",547,71,1000,18,20,"simpls","cpu","irlba","incremental_coefficients","coefficients_incremental",TRUE,TRUE,FALSE,2,0.029,0.012,0.041,"accuracy",0.647887323943662,199.234375,"success",NA,205.359375,6.125,1,NA
"ccle","classification",547,71,1000,18,20,"simpls","cpu","irlba","incremental_coefficients","coefficients_incremental",TRUE,TRUE,FALSE,3,0.028,0.011,0.039,"accuracy",0.647887323943662,193.734375,"success",NA,198.90625,5.171875,1,NA
"ccle","classification",547,71,1000,18,20,"simpls","cpu","irlba","incremental_coefficients","coefficients_recomputed",FALSE,TRUE,FALSE,1,0.03,0.011,0.041,"accuracy",0.647887323943662,193.78125,"success",NA,210.34375,16.5625,1,NA
"ccle","classification",547,71,1000,18,20,"simpls","cpu","irlba","incremental_coefficients","coefficients_recomputed",FALSE,TRUE,FALSE,2,0.029,0.011,0.04,"accuracy",0.647887323943662,189.71875,"success",NA,201.40625,11.6875,1,NA
"ccle","classification",547,71,1000,18,20,"simpls","cpu","irlba","incremental_coefficients","coefficients_recomputed",FALSE,TRUE,FALSE,3,0.029,0.011,0.04,"accuracy",0.647887323943662,186.234375,"success",NA,203.265625,17.03125,1,NA
"ccle","classification",547,71,1000,18,20,"simpls","cpu","irlba","compact_prediction","compact_prediction",TRUE,TRUE,FALSE,1,0.028,0.00800000000000001,0.036,"accuracy",0.647887323943662,195.046875,"success",NA,205.625,10.578125,1,NA
