"dataset","task_type","n_train","n_test","p","q","ncomp","pair","configuration","optimized_value","optimization_applicable","metric_name","replicates","total_time_median_sec","total_time_iqr_sec","incremental_rss_median_mb","incremental_rss_iqr_mb","metric_median","prediction_agreement_min","max_abs_prediction_diff"
"ccle","classification",547,71,1000,18,20,"cached_deflation_products","deflation_cached",TRUE,TRUE,"accuracy",3,0.039,5e-04,13.53125,2.3515625,0.647887323943662,1,NA
"ccle","classification",547,71,1000,18,20,"cached_deflation_products","deflation_inline",FALSE,TRUE,"accuracy",3,0.039,5e-04,15.640625,4.578125,0.647887323943662,1,NA
"ccle","classification",547,71,1000,18,20,"cached_XtX","xtx_off",FALSE,FALSE,"accuracy",3,0.04,0.001,13.28125,1.2578125,0.647887323943662,1,NA
"ccle","classification",547,71,1000,18,20,"cached_XtX","xtx_on",TRUE,FALSE,"accuracy",3,0.039,5e-04,13.8125,2.09375,0.647887323943662,1,NA
"ccle","classification",547,71,1000,18,20,"compact_prediction","coefficient_cube",FALSE,TRUE,"accuracy",3,0.0399999999999999,5e-04,9.078125,4.765625,0.647887323943662,1,NA
"ccle","classification",547,71,1000,18,20,"compact_prediction","compact_prediction",TRUE,TRUE,"accuracy",3,0.036,5e-04,10.578125,2.9453125,0.647887323943662,1,NA
"ccle","classification",547,71,1000,18,20,"incremental_coefficients","coefficients_incremental",TRUE,TRUE,"accuracy",3,0.039,0.001,6.125,3.2265625,0.647887323943662,1,NA
"ccle","classification",547,71,1000,18,20,"incremental_coefficients","coefficients_recomputed",FALSE,TRUE,"accuracy",3,0.04,5e-04,16.5625,2.671875,0.647887323943662,1,NA
"ccle","classification",547,71,1000,18,20,"matrix_free","explicit_crosscov",FALSE,TRUE,"accuracy",3,0.036,0.000499999999999994,10.484375,4.640625,0.647887323943662,1,NA
"ccle","classification",547,71,1000,18,20,"matrix_free","matrix_free",TRUE,TRUE,"accuracy",3,0.285,0.002,6.828125,0.2421875,0.647887323943662,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"cached_deflation_products","deflation_cached",TRUE,TRUE,"accuracy",3,0.591,0.002,132.125,12.3203125,0.957340025094103,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"cached_deflation_products","deflation_inline",FALSE,TRUE,"accuracy",3,0.589,0.00149999999999995,148.84375,13.2109375,0.957340025094103,1,NA
"gtex_v8","classification",3000,797,1000,32,50,"cached_XtX","xtx_off",FALSE,FALSE,"accuracy",3,0.597,0.002,138.359375,19.8984375,0.957340025094103,1,NA
