"case","condition","task_type","component_prefixes","max_coefficient_relative_error","max_fitted_value_relative_error","max_prediction_relative_error","max_score_subspace_angle_degrees","max_loading_subspace_angle_degrees","max_projection_subspace_angle_degrees","max_score_orthogonality_residual","max_deflation_basis_orthogonality_residual","max_deflation_residual","min_classification_label_agreement","convergence_failures"
"component_at_effective_rank","requested_component_equals_effective_rank","regression",8,1.12424645055173e-15,8.10545004533962e-16,8.72345962331064e-16,8.53773646251594e-07,1.20741826972573e-06,2.09130978915187e-06,1.87264397077436e-15,6.69908383011453e-16,2.34999438532759e-16,NA,0
"dummy_classification_p_gt_n","dummy_response_classification_p_gt_n","classification",9,1.19898844310353e-15,8.57019156581345e-16,9.11602933357394e-16,1.4787793334711e-06,2.25887274392255e-06,2.25887274392255e-06,4.65617118611515e-15,1.10532056336849e-15,3.7856946153401e-16,1,0
"dummy_classification_p_lt_n","dummy_response_classification","classification",5,7.52180690186607e-16,5.50894556936543e-16,5.25827604695925e-16,8.53773646251594e-07,8.53773646251594e-07,8.53773646251594e-07,1.30849039671072e-15,4.27883060562292e-16,3.14173261487066e-16,1,0
"high_q","high_response_dimension","regression",14,5.23773297934824e-15,3.93687250285511e-15,4.53347189604343e-15,1.4787793334711e-06,1.70754729250319e-06,1.90909591041642e-06,2.89175656229413e-15,1.00694411469908e-15,1.95168023614197e-16,NA,0
"highly_collinear_x","highly_collinear_predictors","regression",9,1.63255384505714e-15,1.46025178226071e-15,1.43424345415897e-15,1.20741826972573e-06,2.25887274392255e-06,2.41483653945147e-06,6.35039066673795e-15,1.30950578958696e-15,4.58476549759244e-16,NA,0
"nearly_tied_leading_values","relative_gap_1e-12","regression",8,0.000369825399714791,0.000369825399714789,0.000335795989416539,0.0149831929798689,0.0149831930041938,0.0149831930285187,2.13380154072195e-15,7.44046068790121e-16,4.29360179041085e-16,NA,0
"p_gt_n","p_greater_than_n","regression",7,1.32376590867201e-15,1.02580015235768e-15,1.16231194889043e-15,1.20741826972573e-06,1.90909591041642e-06,1.90909591041642e-06,4.19285853065812e-15,1.83806628720961e-15,8.66855785813668e-16,NA,0
"rank_deficient_x","rank_deficient_X","regression",8,1.15673426504006e-15,9.61000153775954e-16,9.97107342905106e-16,1.90909591041642e-06,1.70754729250319e-06,1.20741826972573e-06,2.35629132807654e-15,7.63275798164957e-16,4.77942037618306e-16,NA,0
"rank_deficient_y","rank_deficient_Y","regression",9,1.55779726683947e-15,1.1863989506869e-15,1.41154321606408e-15,1.4787793334711e-06,1.90909591041642e-06,1.70754729250319e-06,2.73254092310104e-15,8.14461755760119e-16,3.77953256822428e-16,NA,0
"well_conditioned_p_lt_n","well_conditioned","regression",5,1.28645465971496e-15,1.22242968653406e-15,1.08885830531151e-15,2.25887274392255e-06,1.20741826972573e-06,1.90909591041642e-06,1.15689170178785e-15,5.91933332235095e-16,4.51820318359993e-16,NA,0
