"run_id","experiment","dataset","task_type","method","backend_requested","backend_reported","prediction_backend","svd_method","classifier","precision","ncomp","n_train","n_test","p","q","seed","replicate","requested_oversample","requested_power","control_profile","oversample","power","direction_rule","directions_per_solve","refresh_width","refresh_iterations","fresh_start","kernel","north","fit_sec","prediction_sec","total_sec","baseline_rss_mb","rss_after_fit_mb","rss_after_prediction_mb","peak_rss_mb","incremental_peak_rss_mb","metric_name","metric_value","accuracy","q2","rmsd","prediction_checksum","prediction_length","status","warnings","error"
"matched_shape__wide__plssvd__cpu__r1__s101","matched_shape_family","synthetic_wide","regression","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",10,400,100,2000,20,101,1,32,5,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.029,0.003,0.032,232.46875,233.65625,229.6875,NA,NA,"rmsd",4.61158128853745,NA,0.141254419795065,4.61158128853745,-10473.1295917516,2000,"success","",""
"matched_shape__wide__plssvd__cpu__r2__s102","matched_shape_family","synthetic_wide","regression","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",10,400,100,2000,20,102,2,32,5,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.025,0.00299999999999989,0.0279999999999999,220.609375,214.3125,215.9375,NA,NA,"rmsd",4.61158128853745,NA,0.141254419795065,4.61158128853745,-10473.1295917516,2000,"success","",""
"matched_shape__wide__plssvd__cpu__r3__s103","matched_shape_family","synthetic_wide","regression","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",10,400,100,2000,20,103,3,32,5,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.024,0.002,0.026,229.625,235.09375,234.03125,NA,NA,"rmsd",4.61158128853745,NA,0.141254419795065,4.61158128853745,-10473.1295917516,2000,"success","",""
"matched_shape__wide__simpls__cpu__r1__s101","matched_shape_family","synthetic_wide","regression","simpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",10,400,100,2000,20,101,1,32,5,"explicit",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.185,0.003,0.188,219.515625,218.96875,220.421875,NA,NA,"rmsd",4.61374359974481,NA,0.14044892146007,4.61374359974481,-9369.89380366247,2000,"success","",""
"matched_shape__wide__simpls__cpu__r2__s102","matched_shape_family","synthetic_wide","regression","simpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",10,400,100,2000,20,102,2,32,5,"explicit",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.149,0.002,0.151,232.453125,233,233.125,NA,NA,"rmsd",4.61374359974481,NA,0.14044892146007,4.61374359974481,-9369.8938036625,2000,"success","",""
"matched_shape__wide__simpls__cpu__r3__s103","matched_shape_family","synthetic_wide","regression","simpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",10,400,100,2000,20,103,3,32,5,"explicit",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.152,0.002,0.154,248.84375,248.515625,248.640625,NA,NA,"rmsd",4.61374359974481,NA,0.14044892146007,4.61374359974481,-9369.89380366236,2000,"success","",""
"matched_shape__tall_thin__plssvd__cpu__r1__s101","matched_shape_family","synthetic_tall_thin","regression","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",10,5000,1000,50,20,101,1,32,5,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.012,0.002,0.014,220.0625,218.46875,218.578125,NA,NA,"rmsd",1.43539831616949,NA,0.885379546171855,1.43539831616949,-452737.346856136,20000,"success","",""
"matched_shape__tall_thin__plssvd__cpu__r2__s102","matched_shape_family","synthetic_tall_thin","regression","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",10,5000,1000,50,20,102,2,32,5,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.011,0.001,0.012,214.03125,216.078125,214.84375,NA,NA,"rmsd",1.43539831616949,NA,0.885379546171855,1.43539831616949,-452737.346856136,20000,"success","",""
"matched_shape__tall_thin__plssvd__cpu__r3__s103","matched_shape_family","synthetic_tall_thin","regression","plssvd","cpu",NA,"cpu_flash","rsvd","argmax","float64",10,5000,1000,50,20,103,3,32,5,"not_applicable",32,5,NA,NA,NA,NA,NA,"linear",1,0.011,0.001,0.012,223.546875,217.984375,218.125,NA,NA,"rmsd",1.43539831616949,NA,0.885379546171855,1.43539831616949,-452737.346856136,20000,"success","",""
"matched_shape__tall_thin__simpls__cpu__r1__s101","matched_shape_family","synthetic_tall_thin","regression","simpls","cpu",NA,"cpu_flash","rsvd","argmax","float64",10,5000,1000,50,20,101,1,32,5,"explicit",32,5,"fresh_oversampled_sketch_per_component",1,NA,NA,TRUE,"linear",1,0.011,0.002,0.013,222,219.78125,220.375,NA,NA,"rmsd",1.43545276390158,NA,0.88537085040838,1.43545276390158,-452326.237506013,20000,"success","",""
