"dataset","method","backend","n_train","n_test","p","q","ncomp","oversample","power","seeds","median_total_sec","iqr_total_sec","median_fit_sec","median_prediction_sec","median_rmsd","median_q2","median_peak_rss_mb","completed_runs"
"synthetic_balanced","plssvd","cpu",5000,1000,500,50,50,32,5,"101/102/103",0.197,0.001,0.188,0.00900000000000001,1.3572505287504,0.908184921018765,NA,3
"synthetic_balanced","simpls","cpu",5000,1000,500,50,50,32,5,"101/102/103",0.953,0.00350000000000006,0.944,0.0089999999999999,0.340930370189943,0.99420670887566,NA,3
"synthetic_high_components","plssvd","cpu",3000,600,768,200,100,32,5,"101/102/103",0.91,0.00250000000000017,0.881,0.03,2.00636865153548,0.79582127801991,NA,3
"synthetic_high_components","simpls","cpu",3000,600,768,200,100,32,5,"101/102/103",4.985,0.0119999999999996,4.956,0.0289999999999999,0.287640125085248,0.995803493000487,NA,3
"synthetic_high_response","plssvd","cpu",1000,250,300,500,50,32,5,"101/102/103",0.308,0.0015,0.294,0.0139999999999999,2.11998360522342,0.770056747887751,NA,3
"synthetic_high_response","simpls","cpu",1000,250,300,500,50,32,5,"101/102/103",2.054,0.00450000000000017,2.041,0.0129999999999999,0.884858447491284,0.959940708192478,NA,3
"synthetic_tall_thin","plssvd","cpu",5000,1000,50,20,10,32,5,"101/102/103",0.012,0.001,0.011,0.001,1.43539831616949,0.885379546171855,NA,3
"synthetic_tall_thin","simpls","cpu",5000,1000,50,20,10,32,5,"101/102/103",0.011,0.001,0.01,0.001,1.43545276390158,0.88537085040838,NA,3
"synthetic_wide","plssvd","cpu",400,100,2000,20,10,32,5,"101/102/103",0.0279999999999999,0.003,0.025,0.00299999999999989,4.61158128853745,0.141254419795065,NA,3
"synthetic_wide","simpls","cpu",400,100,2000,20,10,32,5,"101/102/103",0.154,0.0185,0.152,0.002,4.61374359974481,0.14044892146007,NA,3
